will it rain today in French Southern Territories of Highland Beach  [predicted:  SearchCreativeWork ; correct:  GetWeather ]
Can you get me the All Night Long 3: The Final Chapter novel?  [predicted:  RateBook ; correct:  SearchCreativeWork ]
Let me listen to an eighties ep.  [predicted:  SearchCreativeWork ; correct:  PlayMusic ]
stacy watson and adriana want to go to the best osteria in Hallowell Minnesota this afternoon  [predicted:  SearchCreativeWork ; correct:  BookRestaurant ]
play If You Go  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Find The Press of Atlantic City movie  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
Showtimes for Medal for the General  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
Where can I see Young Goethe in Love?  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
I want to find a nice coffeehouse in South Burlington Illinois  [predicted:  SearchCreativeWork ; correct:  BookRestaurant ]
can you find me a showing for Before the Music Dies in one second ?  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
play the song Red Lanta  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Get a chimichanga meal at a bakery  [predicted:  GetWeather ; correct:  BookRestaurant ]
I want the song Phrazes for the Young  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
I want to take christy, louise and alexandra to eat at 17:38:04 anywhere in NE  [predicted:  SearchCreativeWork ; correct:  BookRestaurant ]
I want to go to the pub with angelita, susan reed and ashlee watson after us parking  [predicted:  SearchCreativeWork ; correct:  BookRestaurant ]
SCORE:  2926 / 3140  ( 0.9318471337579618 )
Play The News Virginian song  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Find a table somewhere for me and my step mother in Graniteville DE  [predicted:  SearchCreativeWork ; correct:  BookRestaurant ]
Please give me information on when Prisoner of Zenda will be shown.  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
I want to hear the soundtrack to The Platinum Rule  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Start playing anything Mike Muir made in the thirties  [predicted:  SearchScreeningEvent ; correct:  PlayMusic ]
Play me a trailer for The North-West Passage  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Can I get the showtimes for Fit for a King?  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Listen to Power Gaming playlist  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
where is My Song Goes Forth playing  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
I'd like hear the song Sit Down and Talk to Me  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
find an outdoor facility for midday in Datil at a pub for six  [predicted:  SearchCreativeWork ; correct:  BookRestaurant ]
is Ce cher intrus at IMAX Corporation  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
add this song to my Classical Dance Music Ballet & Beyond list  [predicted:  PlayMusic ; correct:  AddToPlaylist ]
listen to ballad songs from 1999  [predicted:  SearchCreativeWork ; correct:  PlayMusic ]
i want to watch The Shamrock Handicap right now  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
What are the showtimes for Boy of Mine  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
find the movie Shake Your Spirit  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
What time does Kraken: Tentacles of the Deep play  [predicted:  PlayMusic ; correct:  SearchScreeningEvent ]
I'd like to watch Demolition Man at 11:09 PM  [predicted:  BookRestaurant ; correct:  SearchScreeningEvent ]
Add Spanish Harlem Incident to cleaning the house  [predicted:  PlayMusic ; correct:  AddToPlaylist ]
I'd like to watch The Holy Office at Cooper Foundation  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
I want to eat in Wallis and Futuna and get a blizzard  [predicted:  SearchCreativeWork ; correct:  GetWeather ]
give me the showtimes for Down Where The Buffalo Go at Amco Entertainment  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
use Iheart to listen to retro  [predicted:  SearchCreativeWork ; correct:  PlayMusic ]
Reserve me a resturant for 5 at seventeen o'clock  [predicted:  GetWeather ; correct:  BookRestaurant ]
find Endless Horizons  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Will it be warmer at 2 pm at the Ak-Suu Complex Nature Reserve  [predicted:  BookRestaurant ; correct:  GetWeather ]
give Jackass Investing a three  [predicted:  GetWeather ; correct:  RateBook ]
How cold will it get in Tajikistan around oct. eleventh?  [predicted:  SearchScreeningEvent ; correct:  GetWeather ]
find Belle of the Yukon  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
play the Discografia de The Pretty Reckless saga  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
I want to watch the movie X Window Display Manager  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
what time can i see Girls to Marry  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
show me the movie called People and Masks Part 2  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
Find a reservation at Fish Express  [predicted:  SearchCreativeWork ; correct:  BookRestaurant ]
play the song Culture and Psychology  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
find Mysterious Castles of Clay  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Which cinema can I go to to see Lilly the Witch: The Dragon and the Magic Book?  [predicted:  BookRestaurant ; correct:  SearchScreeningEvent ]
I want to listen to the track Close To The Edge  [predicted:  SearchCreativeWork ; correct:  PlayMusic ]
forecase for Ohio in twenty one hours and one second  [predicted:  RateBook ; correct:  GetWeather ]
Play Rock This playlist with Badonviller Marsch  [predicted:  PlayMusic ; correct:  AddToPlaylist ]
I'd like to see the current showtimes for His Kind of Woman  [predicted:  BookRestaurant ; correct:  SearchScreeningEvent ]
I need seats for 6 at a place in AK  [predicted:  RateBook ; correct:  BookRestaurant ]
Give me some info on when Hands Across the Border will be laying at the cinema.  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
when can i see We and Our Mountains  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
What time does A King in New York play in Malco Theatres  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Can you let me know where I can watch The Nest?  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
I need a table at a restaurant in Montserrat  [predicted:  BookRestaurant ; correct:  GetWeather ]
Look up The Stars Are Indifferent to Astronomy  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
What time could I see A Mile in His Shoes?  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
play the Baldur’s Gate II: Throne of Bhaal saga  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
I want to listen to the song Only the Greatest  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Find the Ghostly Swim 2 book  [predicted:  BookRestaurant ; correct:  SearchCreativeWork ]
When and where is DistroWatch playing  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
Freud: A Life for Our Time deserves a solid 4  [predicted:  GetWeather ; correct:  RateBook ]
Open Netflix and find a movie with the song heartful  [predicted:  SearchCreativeWork ; correct:  PlayMusic ]
I want to listen to a popular melody by David Bazan  [predicted:  SearchCreativeWork ; correct:  PlayMusic ]
Please reserve a spot at Ballachulish House.  [predicted:  SearchScreeningEvent ; correct:  BookRestaurant ]
Give me the current showtimes for Tarass Boulba.  [predicted:  RateBook ; correct:  SearchScreeningEvent ]
Will there be rain next year in New Hampshire?  [predicted:  SearchCreativeWork ; correct:  GetWeather ]
I want to eat in Ramona  [predicted:  SearchCreativeWork ; correct:  BookRestaurant ]
Schedule the food truck to be at your place in the distant future.  [predicted:  SearchScreeningEvent ; correct:  BookRestaurant ]
I rate A Moment in Time  a 5  [predicted:  GetWeather ; correct:  RateBook ]
Find a table at a pizzeria in New Hampshire that has parking  [predicted:  SearchCreativeWork ; correct:  BookRestaurant ]
I want to read the novel Love Is in Control  [predicted:  BookRestaurant ; correct:  SearchCreativeWork ]
I want to be Main Deli Steak House near Hendley.  [predicted:  SearchScreeningEvent ; correct:  BookRestaurant ]
Let me listen to an eighties ep.  [predicted:  SearchCreativeWork ; correct:  PlayMusic ]
Rate A Taste of Blackberries  a three  [predicted:  GetWeather ; correct:  RateBook ]
When is One Sunday Morning scheduled to be played?  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
Is Happy Ghost III at Caribbean Cinemas  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
An interesting piece from 1991 please  [predicted:  SearchCreativeWork ; correct:  PlayMusic ]
I want ohear the 1996 soundtrack from deezer  [predicted:  SearchCreativeWork ; correct:  PlayMusic ]
show creativity of The House of the Dead  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
find Chained Heat  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Will it be snowy at the current position by March 3?  [predicted:  RateBook ; correct:  GetWeather ]
I want to listen to Born On The Bayou on Iheart  [predicted:  SearchCreativeWork ; correct:  PlayMusic ]
Locate me the novel entitled Isthmus.  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
Play me the saga The Party’s Over  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
me and edith want to eat in Coventry Lake  [predicted:  SearchCreativeWork ; correct:  BookRestaurant ]
find Un weekend da bamboccioni  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Turn on Slacker radio.  [predicted:  SearchCreativeWork ; correct:  PlayMusic ]
Play The Last Mile album  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
is One Night Surprise at the cinema  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
find Good Night, and Good Luck at a Cinemark Theatres  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
me, bobbie and colette want to go to The Peak Lookout in Felicity  [predicted:  SearchCreativeWork ; correct:  BookRestaurant ]
Find a table close by in the downtown area for sherri and I  [predicted:  SearchScreeningEvent ; correct:  BookRestaurant ]
What is the Paranormal Activity: Ghost Dimension album?  [predicted:  AddToPlaylist ; correct:  SearchCreativeWork ]
I'd like to see the movie Edinburgh Evening News  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
I want to eat in 19 hours  at NM  [predicted:  SearchCreativeWork ; correct:  BookRestaurant ]
Do you have something like Impossible Is Nothing by Abderrahmane Abdelli?  [predicted:  GetWeather ; correct:  PlayMusic ]
find Now and Forever  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
what film to see at ArcLight Hollywood  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
What will it be like in six PM at the current place  [predicted:  RateBook ; correct:  GetWeather ]
Where can I watch the TV series Polite People  [predicted:  BookRestaurant ; correct:  SearchCreativeWork ]
rate The Ape-Man Within 4  [predicted:  GetWeather ; correct:  RateBook ]
Let me listen to Rouhollah Khaleghi on deezer.  [predicted:  SearchCreativeWork ; correct:  PlayMusic ]
Find a coffeehouse in Illinois for three  [predicted:  SearchCreativeWork ; correct:  BookRestaurant ]
Where and at what time can I see Paragraphe 78  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
I want to listen to some Aaliyah  [predicted:  SearchCreativeWork ; correct:  PlayMusic ]
I want to listen to Merrily We Roll Along by Marko Desantis.  [predicted:  SearchCreativeWork ; correct:  PlayMusic ]
Find the schedule for Ghost World.  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
The Battle for Skies gets a three  [predicted:  GetWeather ; correct:  RateBook ]
Is The Divine Jetta at Marcus Corporation  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
Is the start eim 23 hours twenty one minutes and one second from now for Morgan – A Suitable Case for Treatment at Santikos Theatres  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
When can I go see The Untold Story?  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Showtimes for Butterfly on a Wheel.  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
Plan an album by Roni Duani.  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
me, maggie and ellen want to eat at Lentil as Anything  [predicted:  SearchCreativeWork ; correct:  BookRestaurant ]
What is The Cave Canem Demos photograph?  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
Can I get the showtimes for The Kitchen Toto at Cineplex Odeon Corporation.  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
find The Bride  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
my great grandfather and I would like to get together at a taverna.  [predicted:  GetWeather ; correct:  BookRestaurant ]
Buy novel Brokeback Mountain  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
I'd like for this song to be added to the new waltz.  [predicted:  PlayMusic ; correct:  AddToPlaylist ]
Find me the East Asia Image Collection movie.  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
Find time for The Thirty Nine Steps  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Play the soundtrack for Back to the Future  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
play the Caps Lock trailer  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Where can I buy a hardcover copy of the book The Intangibles of Leadership?  [predicted:  BookRestaurant ; correct:  SearchCreativeWork ]
Go to Your Heart Belongs to Me  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
Who rated the book Women, Culture, and Society only 3 stars?  [predicted:  BookRestaurant ; correct:  RateBook ]
I want to watch the movie Godslayer  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
Play some diva house.  [predicted:  SearchCreativeWork ; correct:  PlayMusic ]
I want the movie Perseo Miranda and his Theatre  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
Can you let me know when Troopers Three is scheduled?  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
Plaly The Ladybug Transistor by Loreena Mckennitt.  [predicted:  GetWeather ; correct:  PlayMusic ]
put my Family Road Trip playlist  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
I'm in MI and want to eat somwhere nearby Midday.  [predicted:  SearchCreativeWork ; correct:  BookRestaurant ]
I'd like to watch All on the Red at 9 o'clock  [predicted:  BookRestaurant ; correct:  SearchScreeningEvent ]
I want to take christy, louise and alexandra to eat at 17:38:04 anywhere in NE  [predicted:  SearchCreativeWork ; correct:  BookRestaurant ]
When is Spyforce playing?  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
what time can i see Mojave Phone Booth  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
show movie CrossGenesis  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
Play trailer of Do Whatever Turns You On  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Where can I see Young Goethe in Love?  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Show me the movie Operetta for the Theatre Organ  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
Where can I see The Somme starting at 16:01:04?  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Turn on Spotify to Tiny Tim ep  [predicted:  SearchCreativeWork ; correct:  PlayMusic ]
Please find the schedule for Jappeloup at Bow Tie Cinemas.  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Lets eat now somewhere in Roach  [predicted:  SearchCreativeWork ; correct:  BookRestaurant ]
I want to reserve a gastropub that has a spa.  [predicted:  SearchCreativeWork ; correct:  BookRestaurant ]
get me House of Stairs  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
I want to dine in Luray  [predicted:  SearchCreativeWork ; correct:  BookRestaurant ]
need a table now somewhere nearby Petit Manan National Wildlife Refuge  [predicted:  BookRestaurant ; correct:  GetWeather ]
Help me locate The Tristan Betrayal  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
I want to find a nice coffeehouse in South Burlington Illinois  [predicted:  SearchCreativeWork ; correct:  BookRestaurant ]
rate this book titled The Silver Chalice a 1  [predicted:  BookRestaurant ; correct:  RateBook ]
Rate The Keys to the White House a zero  [predicted:  GetWeather ; correct:  RateBook ]
What time is A Battle of Wits starting?  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
play the song Red Lanta  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Please make a booking at Sonoy in Montague, LA.  [predicted:  SearchCreativeWork ; correct:  BookRestaurant ]
i want to watch Mister Cool  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
I want to watch the movie Maxime  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
play A Box of Birds trailer  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Play me a song from Movies For The Blind on Pandora  [predicted:  SearchCreativeWork ; correct:  PlayMusic ]
Will there be a storm on Christmas Day in my current place?  [predicted:  RateBook ; correct:  GetWeather ]
play the song Memories Are My Only Witness  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Play Keep Their Heads Ringin’  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Show me the book Playlist: The Very Best of Dolly Parton  [predicted:  AddToPlaylist ; correct:  SearchCreativeWork ]
where can i watch Wartime Romance in the morning  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Where to buy book Bright Ambush  [predicted:  BookRestaurant ; correct:  SearchCreativeWork ]
Find the schedule for Fear Chamber.  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Look up Applied Linguistics  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
The A Mighty Fortress series should be rated a two  [predicted:  BookRestaurant ; correct:  RateBook ]
will Dick Tracy e il gas misterioso start twenty one hours from now  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
Will you pull up my Jueves de Antaño playlist  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
Find a place for me to eat in Connecticut for 9 and a half months from now  [predicted:  SearchCreativeWork ; correct:  BookRestaurant ]
Give me the showtimes for Sign of the Anchor.  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
I want to take me and my momy to eat in Flossmoor  [predicted:  SearchCreativeWork ; correct:  BookRestaurant ]
Can i get the showtimes for Man in Blues?  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Get a chimichanga meal at a bakery  [predicted:  GetWeather ; correct:  BookRestaurant ]
Rat Short Trips: A Christmas Treasury a 3  [predicted:  GetWeather ; correct:  RateBook ]
Show me when Scandalous John is playing.  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Can you locate West Coast Wrestling Connection  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
PLpay the top ten track from Asia Nitollano on spotify.  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
does Red e Toby nemiciamici start thirteen hours from now  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
I think that this book deserves a 3  [predicted:  BookRestaurant ; correct:  RateBook ]
I want to book a restaurant in 40 weeks in Iowa.  [predicted:  BookRestaurant ; correct:  GetWeather ]
Lets eat near Oakfield 17 seconds from now at Ted Peters Famous Smoked Fish  [predicted:  SearchCreativeWork ; correct:  BookRestaurant ]
I'd like to listen to the song The Natural Farmer  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Where can I find the movie The National Law Review  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
I'm wondering when I can see Hurry Sundown.  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
I'd like to know when I can see The Taking of Flight 847: The Uli Derickson Story at Amco Entertainment.  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
find Partners in Action at Dickinson Theatres  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
What is the price for the album Praise the Lord and Pass the Ammunition?  [predicted:  AddToPlaylist ; correct:  SearchCreativeWork ]
Play 30 Greatest Hits  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
I want to read the book The Minotaur  [predicted:  BookRestaurant ; correct:  SearchCreativeWork ]
Play The Lousy Dance trailer  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Where is Winterheart’s Guild  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
Include stefanie in Pre-Party R&B Jams  [predicted:  SearchCreativeWork ; correct:  AddToPlaylist ]
Put any 1972 record on.  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
find Wish You Were Here, a movie  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
SCORE:  2948 / 3140  ( 0.9388535031847134 )
I want to hear the new movement from Richard Harvey  [predicted:  SearchCreativeWork ; correct:  PlayMusic ]
find Long Hello and Short Goodbye, a movie  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
I want to book a restaurant in 40 weeks in Iowa.  [predicted:  BookRestaurant ; correct:  GetWeather ]
Fine a movie called Right Here Right Now.  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
play Blind Company  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Do you have something like Impossible Is Nothing by Abderrahmane Abdelli?  [predicted:  GetWeather ; correct:  PlayMusic ]
Ply best 1973 sound track  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
Show me the movie Sonic Triple Trouble  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
Pull up the movie Toy and Help Yourself  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
add this song to my Classical Dance Music Ballet & Beyond list  [predicted:  PlayMusic ; correct:  AddToPlaylist ]
Find a reservation for a tea house in Lorain  [predicted:  SearchScreeningEvent ; correct:  BookRestaurant ]
I'd like to see the picture The Collection – The Collector 2  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
find On Dress Parade  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
rate the book English Grammar In Use a five  [predicted:  BookRestaurant ; correct:  RateBook ]
Freud: A Life for Our Time deserves a solid 4  [predicted:  GetWeather ; correct:  RateBook ]
play Disney Sing It! – High School Musical 3: Senior Year  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Play the next ep by Video Game Pianist on netflix  [predicted:  SearchCreativeWork ; correct:  PlayMusic ]
I want global top 50 to have marit bergman added to it.  [predicted:  SearchCreativeWork ; correct:  AddToPlaylist ]
find the movie Don’t Break the Heart That Loves You  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
My group of seven wants to eat at Yogurt Mountain in Slick tonight.  [predicted:  SearchScreeningEvent ; correct:  BookRestaurant ]
Please get seating at Bouchon in Tonga for jimmie and chasity howard  [predicted:  SearchCreativeWork ; correct:  BookRestaurant ]
Add The Block Brochure Welcome to the Soil 6 onto my Café con Leche list  [predicted:  RateBook ; correct:  AddToPlaylist ]
Find time for All About Hash  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
I'm in MI and want to eat somwhere nearby Midday.  [predicted:  SearchCreativeWork ; correct:  BookRestaurant ]
Open The Second Adventure album by Hans Nilsson  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
I'd like to hear the song Impractical Jokers UK  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
book of Two for the Road  [predicted:  BookRestaurant ; correct:  SearchCreativeWork ]
I want to listen to the album going back to the blue ridge mountains on iheart  [predicted:  SearchCreativeWork ; correct:  PlayMusic ]
I want lance king in my list called One Love  [predicted:  SearchCreativeWork ; correct:  AddToPlaylist ]
want to eat at Diners of Allentown, Pennsylvania on purim  [predicted:  SearchCreativeWork ; correct:  BookRestaurant ]
Who published the novel JamesEdition?  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
Please play Bitch Please Ii  [predicted:  SearchCreativeWork ; correct:  PlayMusic ]
The Battle for Skies gets a three  [predicted:  GetWeather ; correct:  RateBook ]
play the Cabin Fever 2: Spring Fever saga  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Lets go eat in Friday 43 days from now  [predicted:  SearchCreativeWork ; correct:  BookRestaurant ]
Can you locate the saga for the Ringo Sheena discography  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
play the album by Paul Barker playing the greatest from 1978  [predicted:  SearchCreativeWork ; correct:  PlayMusic ]
What is Party All Night  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
Play Rock This playlist with Badonviller Marsch  [predicted:  PlayMusic ; correct:  AddToPlaylist ]
Where do i purchase the book, Baby-Sittor?  [predicted:  BookRestaurant ; correct:  SearchCreativeWork ]
show schedule for Loved by Thousands  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
I need to hear the new Kevin Fowler album  [predicted:  SearchCreativeWork ; correct:  PlayMusic ]
The book Choper, Coffee, Gilson should get a zero  [predicted:  BookRestaurant ; correct:  RateBook ]
I need some ambient music.  [predicted:  SearchCreativeWork ; correct:  PlayMusic ]
Find a restaurant in FM that servec quiche  [predicted:  SearchCreativeWork ; correct:  BookRestaurant ]
Find a pub for me in FM  [predicted:  SearchCreativeWork ; correct:  BookRestaurant ]
show movie schedule of The Big Mouth  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
play Myth II: Soulblighter  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
play If You Go  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
play Baby Workout  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
find Death Is Called Engelchen at Neighborhood Cinema Group  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Can this song get added to lunchtime?  [predicted:  SearchCreativeWork ; correct:  AddToPlaylist ]
I'd like to see the picture TeleForm  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
I need to episodes for the TV series, Fast Food Nation.  [predicted:  BookRestaurant ; correct:  SearchCreativeWork ]
I need a table at a restaurant in Montserrat  [predicted:  BookRestaurant ; correct:  GetWeather ]
Rate The Costs of Accidents a three  [predicted:  GetWeather ; correct:  RateBook ]
I'd like to hear one of Eric Clapton's most popular melody on Pandora.  [predicted:  SearchScreeningEvent ; correct:  PlayMusic ]
I'd like to hear Ami Suzuki's latest record  [predicted:  SearchCreativeWork ; correct:  PlayMusic ]
show Thousand Miles movie  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
Rate trailer Geek Chic  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
Where can I view the photograph Dinosaur from the Deep?  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
Play Halid 08 by video game pianist on Pandora  [predicted:  SearchCreativeWork ; correct:  PlayMusic ]
I want to read the novel Alone at the Microphone  [predicted:  BookRestaurant ; correct:  SearchCreativeWork ]
Looking for novel Build Engine  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
Please get seating for me and my children  [predicted:  SearchCreativeWork ; correct:  BookRestaurant ]
play The Rest of My Life  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
I think that this book deserves a 3  [predicted:  BookRestaurant ; correct:  RateBook ]
Can you pull up Queen of the Organ  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
when can i see Dinosaur from the Deep  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
I'd like to see the book City University of Hong Kong Law Review  [predicted:  BookRestaurant ; correct:  SearchCreativeWork ]
Find a coffeehouse in Illinois for three  [predicted:  SearchCreativeWork ; correct:  BookRestaurant ]
What is the cheapest online price for the Instincts saga?  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
find Careless Love  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
show creativity of The Greatest Movie Ever Sold  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
I want to eat in 19 hours  at NM  [predicted:  SearchCreativeWork ; correct:  BookRestaurant ]
add September to winter music  [predicted:  PlayMusic ; correct:  AddToPlaylist ]
Rat Short Trips: A Christmas Treasury a 3  [predicted:  GetWeather ; correct:  RateBook ]
Play me the trailer for Gainesville Daily Register.  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
I'd like to hear some trip-hop  [predicted:  SearchCreativeWork ; correct:  PlayMusic ]
