I want the song Phrazes for the Young  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Lets go far to The Wolseley in Maine  [predicted:  GetWeather ; correct:  BookRestaurant ]
Lets go to a steakhouse before we go to the pool  [predicted:  PlayMusic ; correct:  BookRestaurant ]
find Fox Theatres with The Caretaker  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
I want the song Phrazes for the Young  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
where is No Sleep til Shanghai showing in three hours from now  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
Read The Open Ecology Journal  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
I want to eat in Rowan Bay on a nice cloud less day  [predicted:  BookRestaurant ; correct:  GetWeather ]
Search for To Heart 2  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
I need the book titled Lullaby of Broadway  [predicted:  BookRestaurant ; correct:  SearchCreativeWork ]
Find me the song 2 Fast 2 Furious  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
I didn't like the book Nobody Lives For Ever, I give it a 2.  [predicted:  BookRestaurant ; correct:  RateBook ]
Will it be sunny at three pm in my current position  [predicted:  RateBook ; correct:  GetWeather ]
find soundtrack titled The House of the Yellow Carpet  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
Showtimes for Butterfly on a Wheel.  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
Play the Knockabout soundtrack  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Is there any way to see Tailspin Tommy in the Great Air Mystery  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
I have a party of 7 in East Timor  [predicted:  GetWeather ; correct:  BookRestaurant ]
where can i watch Wartime Romance in the morning  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Find time for The Thirty Nine Steps  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Play the soundtrack for Back to the Future  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Is The Two Gladiators playing  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
I want to listen to the song Shamus  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Find me the book My People Were Fair and Had Sky in Their Hair… But Now They’re Content to Wear Stars on Their Brows  [predicted:  BookRestaurant ; correct:  SearchCreativeWork ]
Can you please get me the book Dracula 5: The Blood Legacy?  [predicted:  BookRestaurant ; correct:  SearchCreativeWork ]
Find time for Ace of the Saddle  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Can You tell me the Actors of the saga awards/  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
Is Worms Will Turn running at any movie hall?  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
I want to go see A Simple Noodle Story in seventeen seconds at Goodrich Quality Theaters.  [predicted:  BookRestaurant ; correct:  SearchScreeningEvent ]
Where can I buy a hardcover copy of the book The Intangibles of Leadership?  [predicted:  BookRestaurant ; correct:  SearchCreativeWork ]
Can I get the Butterfly Crush showings  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
find Andreas Hofer at elevenses  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
When and where is DistroWatch playing  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
Rate The Keys to the White House a zero  [predicted:  GetWeather ; correct:  RateBook ]
Find Secret Command.  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
rate The Ghost House series a one  [predicted:  GetWeather ; correct:  RateBook ]
Play me the soundtrack for Nothing Personal.  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
I'd like to see the book City University of Hong Kong Law Review  [predicted:  BookRestaurant ; correct:  SearchCreativeWork ]
Can I get the Cineplex Odeon Corporation showings for Small Town Story?  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Can I hear the song Visual Audio Sensory Theater?  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
is The Singing Nun at Regal Entertainment Group  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
Where is Journal of Geriatric Psychiatry and Neurology  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
find Naomi & Wynonna: Love Can Build a Bridge  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Can you get me The Education of Little Tree song?  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
find Endless Horizons  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Find Four Songs  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
Rate Soul Music a 0.  [predicted:  PlayMusic ; correct:  RateBook ]
Go to Attack of the Planet Smashers  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
Go to Your Heart Belongs to Me  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
Can you get me the All Night Long 3: The Final Chapter novel?  [predicted:  RateBook ; correct:  SearchCreativeWork ]
Bring up the book Perfume: The Story of a Murderer  [predicted:  BookRestaurant ; correct:  SearchCreativeWork ]
Help me locate The Tristan Betrayal  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
find Half a Truth  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Is it possible to see Seed of Chucky  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Where can I locate Leo the Lion for purchase  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
I'd like to watch Mission to Mir  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Can you play The Wanderer and His Shadow  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Is it supposed to rain nearby my current location at 0 o'clock?  [predicted:  RateBook ; correct:  GetWeather ]
Where can I see The Prime Ministers: The Pioneers  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Where can I view the trailer Jeeves and Wooster in Perfect Nonsense  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
Is there rain in Nauru at 6 am  [predicted:  RateBook ; correct:  GetWeather ]
I want to play the video game Miss Castaway And The Island Girls  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Where can I see Joy of Learning?  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Is The Ghost Breakers playing at Plitt Theatres in two hours  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
find Set the Thames on Fire for seventeen  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
SCORE:  2877 / 3129  ( 0.9194630872483222 )
I need work of Father Dearest  [predicted:  BookRestaurant ; correct:  SearchCreativeWork ]
The ultimate 90s needs avant que l’ombre à bercy in it.  [predicted:  GetWeather ; correct:  AddToPlaylist ]
Play Pirates of the Caribbean Online  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
is Transcending Fear at Malco Theatres  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
When can I see The Crew of the Dora  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Include Hermann Baumann in my Texas Red Dirt list  [predicted:  GetWeather ; correct:  AddToPlaylist ]
I want to see Outcast.  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Which cinema can I go to to see Lilly the Witch: The Dragon and the Magic Book?  [predicted:  BookRestaurant ; correct:  SearchScreeningEvent ]
Please include danni bassan in my Perfect Concentration  [predicted:  SearchCreativeWork ; correct:  AddToPlaylist ]
play Another Time  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
I need some Hardcore Hip Hop  [predicted:  BookRestaurant ; correct:  PlayMusic ]
What is Fantasy Zone II: The Tears of Opa-Opa  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
find Naomi & Wynonna: Love Can Build a Bridge  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Find Manual of Love 2.  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
play Off the Ground  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
I'd like to see the movie The Ooze  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
Get me information on The Riverfront Times  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
I need the book titled Lullaby of Broadway  [predicted:  BookRestaurant ; correct:  SearchCreativeWork ]
play used to love her to my this is animal collective playlist  [predicted:  PlayMusic ; correct:  AddToPlaylist ]
Play The Crowd: A Study of the Popular Mind soundtrack  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
is there a Chinese Wikipedia  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
put th Power Gaming playlist  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
Where to buy book Charlie Countryman deve morire  [predicted:  BookRestaurant ; correct:  SearchCreativeWork ]
Is Happy Ghost III at Caribbean Cinemas  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
i want to see JLA Adventures: Trapped In Time  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
give me some Hank Shermann from 1975 on Lastfm  [predicted:  GetWeather ; correct:  PlayMusic ]
where can i watch Willy Wonka & the Chocolate Factory  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Add Falling Stars to my Intense Studying  [predicted:  RateBook ; correct:  AddToPlaylist ]
find Set the Thames on Fire for seventeen  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
please, a sound track of Jyotsna Radhakrishnan  [predicted:  SearchCreativeWork ; correct:  PlayMusic ]
is it possible to see Corn at eleven A.M. at Loews Cineplex Entertainment  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Play the soundtrack for The Lord of the Rings: Conquest  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
I want to see Sympathy for the Devil  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
show movie schedule of The Big Mouth  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
Go to After Dusk They Come  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
find The Broken  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Go to Attack of the Planet Smashers  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
find Wild at Heart  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
find 16 starting time for Heavenly Body  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
I need to find Best of the West Rides Again  [predicted:  BookRestaurant ; correct:  SearchCreativeWork ]
Look up The Baltic Times picture  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
Will it get colder in Alaska?  [predicted:  SearchCreativeWork ; correct:  GetWeather ]
What are the timings for Starship Troopers 2?  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
Play me the trailer for Chasing After Shadows... Living with the Ghosts.  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
play Bliss Torn from Emptiness  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
play saga The Yellow Rose of Texas  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
give me something from the fifties  [predicted:  SearchCreativeWork ; correct:  PlayMusic ]
I'm looking for something by Young Rome from 2001 on Groove Shark  [predicted:  SearchCreativeWork ; correct:  PlayMusic ]
find Careless Love  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
When can I catch a screening of Shivers in Summer?  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
give me some Last Emperor  [predicted:  SearchCreativeWork ; correct:  PlayMusic ]
Play the Seamus Heaney Collected Poems song  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Where can I see The Prime Ministers: The Pioneers  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
I want to see Teeny Little Super Guy at Malco Theatres  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
I wish to listen to Gonna Get Along Without Ya Now by Ian Curtis.  [predicted:  SearchCreativeWork ; correct:  PlayMusic ]
i want to listen to Say It Again by Blackstratblues  [predicted:  SearchCreativeWork ; correct:  PlayMusic ]
I'd like to play the song In a Reverie  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Add tune to cleaning the house  [predicted:  PlayMusic ; correct:  AddToPlaylist ]
Where do i purchase the book, Baby-Sittor?  [predicted:  BookRestaurant ; correct:  SearchCreativeWork ]
Will it get colder in Cape Fair  [predicted:  SearchCreativeWork ; correct:  GetWeather ]
Will there be sun at four PM at Runkaus Strict Nature Reserve  [predicted:  RateBook ; correct:  GetWeather ]
Something by Danielle Polanco in 1986  [predicted:  SearchCreativeWork ; correct:  PlayMusic ]
I want to see DOA: Dead or Alive at Loews Cineplex Entertainment.  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Will it get chillier in Furano-Ashibetsu Prefectural Natural Park?  [predicted:  SearchCreativeWork ; correct:  GetWeather ]
play The Catholic Sun album  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
is Terminal Station at Cinemark Theatres  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
find Partners in Action at Dickinson Theatres  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Where can I see Getting There: Sweet 16 and Licensed to Drive  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
I want to play the game Guitar Heaven ... The Greatest Guitar Classics of All Time  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Is The Divine Jetta at Marcus Corporation  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
See if Netflix has the Lightspeed Champion album boris  [predicted:  SearchCreativeWork ; correct:  PlayMusic ]
Is A Closed Book playing at United Paramount Theatres  [predicted:  BookRestaurant ; correct:  SearchScreeningEvent ]
What is Lost Land of the Tiger  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
What time does A King in New York play in Malco Theatres  [predicted:  PlayMusic ; correct:  SearchScreeningEvent ]
Play The Aviation Cocktail album  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
fimd Glory  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
I'd like to play the album Clarke  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Put Kim Kibum in my the martin garrix show playlist.  [predicted:  SearchCreativeWork ; correct:  AddToPlaylist ]
I wanna listen to Electroclash  [predicted:  GetWeather ; correct:  PlayMusic ]
play the song Evocation I – The Arcane Dominion  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Find time for Ace of the Saddle  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Let's listen to Matthew Shipp.  [predicted:  GetWeather ; correct:  PlayMusic ]
I'd like to hear the soundtrack for Just Once in My Life.  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
let's listen to the 1986 sound track by Mike Park  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
find Harry Potter and the Deathly Hallows – Part 2  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
I want to see Michel Strogoff  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
I want maximilian mutzke added to Acoustic Concentration  [predicted:  BookRestaurant ; correct:  AddToPlaylist ]
add house afterwork to my the cave canem demos  [predicted:  SearchScreeningEvent ; correct:  AddToPlaylist ]
Look up The Brave Archer 2  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
Play The XYY Man soundtrack  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Will it be cloudy one hour from now in my current position  [predicted:  RateBook ; correct:  GetWeather ]
At meal time while I'm here will it be hot?  [predicted:  SearchCreativeWork ; correct:  GetWeather ]
Can I get the showtimes for The Scarlet and the Black  at 12 pm.  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
I want to read the book Crash Landing  [predicted:  BookRestaurant ; correct:  SearchCreativeWork ]
Play Halid 08 by video game pianist on Pandora  [predicted:  SearchCreativeWork ; correct:  PlayMusic ]
Can I buy the book Vacation of Petrov and Vasechkin online?  [predicted:  BookRestaurant ; correct:  SearchCreativeWork ]
I want to see Train  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
I need a SOUNDTRACK FOR STUDY purposes.  [predicted:  BookRestaurant ; correct:  PlayMusic ]
Can you pull up My Name Is Brain Brian  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
play the album Journeyman  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
find Three in the Attic  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
How snowy will it be in this current place on Feb. first, 2034?  [predicted:  RateBook ; correct:  GetWeather ]
Play me the soundtrack Ready  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Need to see if there will be fog  [predicted:  BookRestaurant ; correct:  GetWeather ]
play the song S.F. sound furniture  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
I'd like to play the album Beloved Rogues  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
I'm looking for the last track by Fei Yu Ching from the fourties  [predicted:  SearchCreativeWork ; correct:  PlayMusic ]
Go to BioRuby  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
Play Remains of the Day  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Will it get colder by 11 in Jacobsburg. Syria?  [predicted:  SearchCreativeWork ; correct:  GetWeather ]
Start blasting my Latin Jazz playlist.  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
I want to see Medal for the General  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
find Hear Me Good  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Can my electro sur have this song added to it?  [predicted:  SearchCreativeWork ; correct:  AddToPlaylist ]
Where can I purchase Paradise Tonight online?  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
Wish to hear the album Since I Saw You Last  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
I'd like to listen to mark rae  [predicted:  SearchScreeningEvent ; correct:  PlayMusic ]
find Heat Wave  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Can I hear the song American High.  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
I'd like a new england added to Classical Moments in Movies.  [predicted:  SearchScreeningEvent ; correct:  AddToPlaylist ]
Open The Second Adventure album by Hans Nilsson  [predicted:  SearchCreativeWork ; correct:  PlayMusic ]
I'd like to watch Demolition Man at 11:09 PM  [predicted:  BookRestaurant ; correct:  SearchScreeningEvent ]
I'm looking for a movement by Asim Brkan that's on Netflix best channel  [predicted:  SearchCreativeWork ; correct:  PlayMusic ]
put El Mejor Rock en Español playlist  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
I would like Ignacio Figueredo's tune added to electroNOW.  [predicted:  SearchCreativeWork ; correct:  AddToPlaylist ]
I want to see Shattered Image.  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
give me the showtimes for Down Where The Buffalo Go at Amco Entertainment  [predicted:  BookRestaurant ; correct:  SearchScreeningEvent ]
Can jovino santos neto's album get added to my Confidence Boost playlist?  [predicted:  SearchCreativeWork ; correct:  AddToPlaylist ]
can i lesten to the latest album of T-bone Burnett  [predicted:  SearchCreativeWork ; correct:  PlayMusic ]
Can you pull up The Sanford Herald  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
I want to listen to Foreign Affair.  [predicted:  SearchCreativeWork ; correct:  PlayMusic ]
I'd like to see Snowball Express  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
find On Dress Parade  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Where can I listen to Willy and the Poor Boys  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
Will there be a snowstorm in NC 6 years from now  [predicted:  RateBook ; correct:  GetWeather ]
Where can I see The Somme starting at 16:01:04?  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
something on Spotify please  [predicted:  SearchCreativeWork ; correct:  PlayMusic ]
What is Marty Stuart discography  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
Can you check the timings for Super Sweet 16: The Movie?  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
find Half a Truth  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
What time is A Battle of Wits starting?  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
Show The Singles Collection Volume 4  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
Go to Mick Fleetwood on my Vimeo  [predicted:  SearchCreativeWork ; correct:  PlayMusic ]
painting of Live from the El Rey Theatre  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
play Disney Sing It! – High School Musical 3: Senior Year  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
put on a Serge Robert track  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
Can I see the show Heroes of Might & Magic 4?  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
What time could I see A Mile in His Shoes?  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
find The Flying Ace  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Book a restaurant 1 hour from now in Dorchester Shores Reservation  [predicted:  BookRestaurant ; correct:  GetWeather ]
I need the wather for next week in the Philippines  [predicted:  BookRestaurant ; correct:  GetWeather ]
find Now and Forever  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Listen to Dragon Ball: Music Collection  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Can this song get added to lunchtime?  [predicted:  SearchCreativeWork ; correct:  AddToPlaylist ]
ad i should have known better to this is bb king  [predicted:  GetWeather ; correct:  AddToPlaylist ]
Include hohenfriedberger marsch to my Novedades Pop list.  [predicted:  SearchCreativeWork ; correct:  AddToPlaylist ]
insert Rock Me UP song to my list  [predicted:  PlayMusic ; correct:  AddToPlaylist ]
I want to listen to an album from Sibel.  [predicted:  SearchCreativeWork ; correct:  PlayMusic ]
I want to see Fear Chamber.  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
add Hot House to Have You Met Miss Jones  [predicted:  SearchScreeningEvent ; correct:  AddToPlaylist ]
Will there be a blizzard at 2 am in my current place  [predicted:  RateBook ; correct:  GetWeather ]
Give me the current showtimes for Tarass Boulba.  [predicted:  RateBook ; correct:  SearchScreeningEvent ]
I want If I Could Be with You added to mellow dinner  [predicted:  SearchCreativeWork ; correct:  AddToPlaylist ]
Please look up Two More Years soundtrack.  [predicted:  AddToPlaylist ; correct:  SearchCreativeWork ]
Play the Electrochemical and Solid State Letters song  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Put Lo mejor de Radio 3 on in the background  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
I'd like to see the painting Empire of Two Worlds  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
Bring up the book Perfume: The Story of a Murderer  [predicted:  BookRestaurant ; correct:  SearchCreativeWork ]
Show me when and where I can see Song of Summer  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
put my raining playlist on  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
I want to listen to the Music of Ghost in the Shell: Stand Alone Complex  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
I need a photograph of The Oregon Desert  [predicted:  BookRestaurant ; correct:  SearchCreativeWork ]
I want new steps to go on the leche con chocolate list  [predicted:  PlayMusic ; correct:  AddToPlaylist ]
Can I hear the song Visual Audio Sensory Theater?  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Showtimes for Medal for the General  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
What is the book Sell Your Body?  [predicted:  BookRestaurant ; correct:  SearchCreativeWork ]
Play me the trailer for Gainesville Daily Register.  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Song from Brian Chase in 2004  [predicted:  SearchCreativeWork ; correct:  PlayMusic ]
Is it cold in the current location more than it was in 3 years  [predicted:  RateBook ; correct:  GetWeather ]
will Dick Tracy e il gas misterioso start twenty one hours from now  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
play the Graduate Faculty Philosophy Journal album  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Put The Silent Enigma album by Yoko Kanno  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
read the Background to Danger book  [predicted:  BookRestaurant ; correct:  SearchCreativeWork ]
Where to get painting of Channel 4 News  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
When can I see Ghost World  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
is it supposed to get colder here on 12/28/2019  [predicted:  SearchCreativeWork ; correct:  GetWeather ]
when can i see Dinosaur from the Deep  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
What is the television show Phil Ochs: There but for Fortune playing  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
Play Suus to my the funny thing about football is playlist  [predicted:  PlayMusic ; correct:  AddToPlaylist ]
I'd like to hear the song In a Reverie  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
my té para tres needs Brave and Crazy added on.  [predicted:  GetWeather ; correct:  AddToPlaylist ]
When and where can I see A Film with Me in It  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Can Super Turnt Up get added to my emotron playlist?  [predicted:  SearchCreativeWork ; correct:  AddToPlaylist ]
Find Secret Command.  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Is the start eim 23 hours twenty one minutes and one second from now for Morgan – A Suitable Case for Treatment at Santikos Theatres  [predicted:  RateBook ; correct:  SearchScreeningEvent ]
Give me some Musica Post-industriale from Groove Shark  [predicted:  SearchCreativeWork ; correct:  PlayMusic ]
play Closer to the Sun album  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Will it be hotter in CT at 6 am  [predicted:  RateBook ; correct:  GetWeather ]
Will it get warmer in Czechia  [predicted:  SearchCreativeWork ; correct:  GetWeather ]
Find time for All About Hash  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
What is Party All Night  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
SCORE:  2928 / 3129  ( 0.9357622243528284 )
i want to watch Mister Cool  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
I'd like to watch Abbott and Costello Meet the Keystone Kops at Amco Entertainment at 04:08:11 AM  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
put El Mejor Rock en Español playlist  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
I'd like to watch Sherlock Holmes à New York at KB Theatres  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
I'm looking for the last track by Fei Yu Ching from the fourties  [predicted:  SearchCreativeWork ; correct:  PlayMusic ]
play The Nubians of Plutonia trailer  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
find Manthra Mothiram at Century Theatres  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Give me some Musica Post-industriale from Groove Shark  [predicted:  SearchCreativeWork ; correct:  PlayMusic ]
I'm looking to watch Savage Grace at Showcase Cinemas at thirteen o'clock.  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
When can I see Journey to the End of the Night?  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
I'd like to watch Apocalypse 2024  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
What is the showtime for Arsho  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
Find time for Enkitta Mothathe at Pacific Theatres  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
what time can i see Girls to Marry  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Please show me the movie schedule for today.  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
What is Love in a Mist?  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
Can you pull up the American Music Awards of 1975  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
when can i see Red Hot Tires  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
what movie is at Loews Cineplex Entertainment  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
play Clifford Brown All Stars by Michael Balzary  [predicted:  RateBook ; correct:  PlayMusic ]
