play Disney Sing It! – High School Musical 3: Senior Year  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
I'd like to play the song In a Reverie  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
play the Graduate Faculty Philosophy Journal album  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Where can I see the trailer for Experienced II: Embrace Tour 2013 Budokan?  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
I want to listen to the soundtrack Bed of Roses  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
I'd like to listen to the song The Natural Farmer  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
play Bliss Torn from Emptiness  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
read the Background to Danger book  [predicted:  BookRestaurant ; correct:  SearchCreativeWork ]
Could I download Chavez: Inside the Coup?  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
What is Love in a Mist?  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
I'd like to see Hannah Montana and Miley Cyrus: Best of Both Worlds Concert  [predicted:  BookRestaurant ; correct:  SearchCreativeWork ]
When and where is DistroWatch playing  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
I'm looking to get a seat at a brasserie in Togo.  [predicted:  SearchCreativeWork ; correct:  BookRestaurant ]
Put the song playing on laverne's rapcaviar playlist  [predicted:  PlayMusic ; correct:  AddToPlaylist ]
Find me the song 2 Fast 2 Furious  [predicted:  AddToPlaylist ; correct:  SearchCreativeWork ]
What time is A Battle of Wits starting?  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
trailer of Gate of Thunder  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
I want to take christy, louise and alexandra to eat at 17:38:04 anywhere in NE  [predicted:  PlayMusic ; correct:  BookRestaurant ]
I'd like to play the album Beloved Rogues  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
I want to read the book Crash Landing  [predicted:  BookRestaurant ; correct:  SearchCreativeWork ]
The ultimate 90s needs avant que l’ombre à bercy in it.  [predicted:  GetWeather ; correct:  AddToPlaylist ]
I think that this book deserves a 3  [predicted:  BookRestaurant ; correct:  RateBook ]
I want global top 50 to have marit bergman added to it.  [predicted:  PlayMusic ; correct:  AddToPlaylist ]
I'm looking for a local cafeteria that has wifi accesss for a party of 4  [predicted:  GetWeather ; correct:  BookRestaurant ]
SCORE:  2960 / 3140  ( 0.9426751592356688 )
find Partners in Action at Dickinson Theatres  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Where can I get Fight for Anarchy  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
I want to play the game Pesterminator: The Western Exterminator.  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Where is Mother and Child plkaying  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
Search for Ayumi Hamasaki Countdown Live 2007–2008 Anniversary song  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Where can I buy the movie The Teahouse Fire?  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
Look up Three Fantastic Dances  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
play the Caps Lock trailer  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Get me information on The Riverfront Times  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
I want to listen to an album from Sibel.  [predicted:  SearchCreativeWork ; correct:  PlayMusic ]
add house afterwork to my the cave canem demos  [predicted:  SearchScreeningEvent ; correct:  AddToPlaylist ]
find War & Peace Vol. 1  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
play Another Time  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
play the Hell of a Life movie  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
I'd like to see the movie The Ooze  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
play Disney Sing It! – High School Musical 3: Senior Year  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Start blasting my Latin Jazz playlist.  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
put El Mejor Rock en Español playlist  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
Is The Divine Jetta at Marcus Corporation  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
Can I see the show Heroes of Might & Magic 4?  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
Ad Amal Hijazi tune to my Pura Vida  [predicted:  PlayMusic ; correct:  AddToPlaylist ]
Are there any painting of the 1st Concert Oh Yeah! 1999?  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
I want to listen to the soundtrack And Then There Was Light  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
I want to see the trailer for No One  [predicted:  BookRestaurant ; correct:  SearchCreativeWork ]
show creativity of The House of the Dead  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
Can you pull up The Sanford Herald  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
show movie schedule of The Big Mouth  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
play Closer to the Sun album  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
What time does A King in New York play in Malco Theatres  [predicted:  PlayMusic ; correct:  SearchScreeningEvent ]
Where can I find the movie The National Law Review  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
What is Dear Old Girl Cooper Foundation  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
What is Fantasy Zone II: The Tears of Opa-Opa  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
Look for Hail Satanas We Are The Black Legions  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
find Endless Horizons  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
find soundtrack titled The House of the Yellow Carpet  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
Play The News Virginian song  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
find a painting called The Wipers Times  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
Play me a trailer for The North-West Passage  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Find time for The Thirty Nine Steps  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Bring up the book Perfume: The Story of a Murderer  [predicted:  BookRestaurant ; correct:  SearchCreativeWork ]
Find Manual of Love 2.  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
Play Remains of the Day  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Can you pull up Channel M News  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
Please include danni bassan in my Perfect Concentration  [predicted:  SearchCreativeWork ; correct:  AddToPlaylist ]
Play the soundtrack for Back to the Future  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
I want to listen to Keep the Faith  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
find Invisible Child at Southern Theatres  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
rate the book English Grammar In Use a five  [predicted:  BookRestaurant ; correct:  RateBook ]
play the song Red Lanta  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Showtimes for Butterfly on a Wheel.  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
I'd like to listen to the song The Natural Farmer  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
I'd like to see the movie Edinburgh Evening News  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
I want to hear the soundtrack to The Platinum Rule  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Give me some info on when Hands Across the Border will be laying at the cinema.  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
Can ten green bottles be added to brooklyn beat?  [predicted:  GetWeather ; correct:  AddToPlaylist ]
Please call and reserve seating for march 6 at a diner in Kyrgyzstan  [predicted:  RateBook ; correct:  BookRestaurant ]
Where can I  get Lahore  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
Find The Crucible of Man: Something Wicked Part 2.  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
I want a list of showings of Days of Fire at Harkins Theatres  [predicted:  BookRestaurant ; correct:  SearchScreeningEvent ]
Find Five Came Back for me  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
I'd give A Man Called Ove a 1  [predicted:  GetWeather ; correct:  RateBook ]
Where can I purchase Paradise Tonight online?  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
Can you let me know when Troopers Three is scheduled?  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
I'd like to see the current showtimes for His Kind of Woman  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
play the song Culture and Psychology  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
give me a list showtimes for The Night of Taneyamagahara  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
Who was the artist who did the painting called Spyro 2: Season of Flame?  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
play the album Journeyman  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
find Un weekend da bamboccioni  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Play The Great Adventures of Slick Rick game  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Can i see the Boat People?  [predicted:  BookRestaurant ; correct:  SearchCreativeWork ]
The Songs to Sing in the Car playlist needs k j yesudas discography in it.  [predicted:  PlayMusic ; correct:  AddToPlaylist ]
Include hohenfriedberger marsch to my Novedades Pop list.  [predicted:  GetWeather ; correct:  AddToPlaylist ]
when can iw atch Great Balls of Fire! - Vampate di fuoco  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
rate this book a five.  [predicted:  BookRestaurant ; correct:  RateBook ]
Go to Your Heart Belongs to Me  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
is Las aventuras de Zachary Beaver at Harkins Theatres  [predicted:  PlayMusic ; correct:  SearchScreeningEvent ]
can i lesten to the latest album of T-bone Burnett  [predicted:  SearchCreativeWork ; correct:  PlayMusic ]
I'd like to see the painting I Looked Up  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
play saga The Yellow Rose of Texas  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Can I hear the song Visual Audio Sensory Theater?  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
will Dick Tracy e il gas misterioso start twenty one hours from now  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
I want to listen to the Music of Ghost in the Shell: Stand Alone Complex  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Need a booking for 6 in OK for the city of Boonton  [predicted:  RateBook ; correct:  BookRestaurant ]
put my raining playlist on  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
I'd like a new england added to Classical Moments in Movies.  [predicted:  SearchScreeningEvent ; correct:  AddToPlaylist ]
give me the showtimes for Down Where The Buffalo Go at Amco Entertainment  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
Can I hear the song American High.  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
i want to watch Mister Cool  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
I need the book titled Lullaby of Broadway  [predicted:  BookRestaurant ; correct:  SearchCreativeWork ]
play Bliss Torn from Emptiness  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Please search The World of Music painting.  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
play Clifford Brown All Stars by Michael Balzary  [predicted:  SearchCreativeWork ; correct:  PlayMusic ]
play the song Memories Are My Only Witness  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
I wish to listen to Gonna Get Along Without Ya Now by Ian Curtis.  [predicted:  SearchCreativeWork ; correct:  PlayMusic ]
What is Marty Stuart discography  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
What is Love in a Mist?  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
Shw the picture Twin Husbands  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
I'd like to see the trailer for History and Theory  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
I want the movie Perseo Miranda and his Theatre  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
I want my Reggae Infusions playlist to have Plaid Retina on it.  [predicted:  PlayMusic ; correct:  AddToPlaylist ]
When can I see Journey to the End of the Night?  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Gods and Pawns should get a three  [predicted:  GetWeather ; correct:  RateBook ]
Play The Lousy Dance trailer  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
give me some Hank Shermann from 1975 on Lastfm  [predicted:  GetWeather ; correct:  PlayMusic ]
find Belle of the Yukon  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
When is Spyforce playing?  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
Play me the song Just to See You Smile.  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
does Red e Toby nemiciamici start thirteen hours from now  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
I want to listen to the song First Time for Everything  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
I want to read the book The Minotaur  [predicted:  BookRestaurant ; correct:  SearchCreativeWork ]
Go to BioRuby  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
get me House of Stairs  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
I want to read the book Crash Landing  [predicted:  BookRestaurant ; correct:  SearchCreativeWork ]
Hook me up with a song by Dancing Girl.  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
find Manthra Mothiram at Century Theatres  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
find Now and Forever  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
I want new steps to go on the leche con chocolate list  [predicted:  PlayMusic ; correct:  AddToPlaylist ]
play the Graduate Faculty Philosophy Journal album  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
shawn lane should be moved to my Cena con Amigos playlist  [predicted:  PlayMusic ; correct:  AddToPlaylist ]
find National Amusements with Honey, I Shrunk the Kids  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
play the song Evocation I – The Arcane Dominion  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
What time is A Battle of Wits starting?  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
Play 30 Greatest Hits  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Put Kim Kibum in my the martin garrix show playlist.  [predicted:  SearchCreativeWork ; correct:  AddToPlaylist ]
I want to watch Escape the Fate discography  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Find me the song 2 Fast 2 Furious  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
I'd like to hear the song In a Reverie  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Go to the movie The Best of Pirates of the Mississippi  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
Play Rock This playlist with Badonviller Marsch  [predicted:  PlayMusic ; correct:  AddToPlaylist ]
book in Rocky Mound for four 1 hour from now  [predicted:  RateBook ; correct:  BookRestaurant ]
I'm looking for the last track by Fei Yu Ching from the fourties  [predicted:  SearchCreativeWork ; correct:  PlayMusic ]
Include stefanie in Pre-Party R&B Jams  [predicted:  GetWeather ; correct:  AddToPlaylist ]
What is the book Sell Your Body?  [predicted:  BookRestaurant ; correct:  SearchCreativeWork ]
I'd like to see the painting Empire of Two Worlds  [predicted:  BookRestaurant ; correct:  SearchCreativeWork ]
Bombshells saga download  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
Play Pirates of the Caribbean Online  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
I want If I Could Be with You added to mellow dinner  [predicted:  BookRestaurant ; correct:  AddToPlaylist ]
Please get me The Very Best of Chicago: Only the Beginning.  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Plpay my Disco Fever playlist.  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
Include Laarni Lozada on endorphin rush playlist  [predicted:  PlayMusic ; correct:  AddToPlaylist ]
Which cinema can I go to to see Lilly the Witch: The Dragon and the Magic Book?  [predicted:  BookRestaurant ; correct:  SearchScreeningEvent ]
Please search for Willy and the Poor Boys song.  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
What is Party All Night  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
Where is Winterheart’s Guild  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
find Five Spanish Songs, a photograph  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Please look up Two More Years soundtrack.  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
i want to watch Ghosts of the Abyss at Kerasotes Theatres  [predicted:  PlayMusic ; correct:  SearchScreeningEvent ]
I'd like to watch Miss Congeniality  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
trailer of Gate of Thunder  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
ad i should have known better to this is bb king  [predicted:  GetWeather ; correct:  AddToPlaylist ]
Find the Ghostly Swim 2 book  [predicted:  BookRestaurant ; correct:  SearchCreativeWork ]
Lets go to a bistro in SD  [predicted:  GetWeather ; correct:  BookRestaurant ]
I need work of Father Dearest  [predicted:  BookRestaurant ; correct:  SearchCreativeWork ]
On Jun. the sixteenth, 2032 I'd like to go to Dillard House in Putnam Hall  [predicted:  SearchScreeningEvent ; correct:  BookRestaurant ]
On june 27, 2026 I'd like to go to a Delaware gastropub  [predicted:  SearchScreeningEvent ; correct:  BookRestaurant ]
painting of Live from the El Rey Theatre  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
Put Lo mejor de Radio 3 on in the background  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
search for the song Banquet for the Damned  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
What does For All the Wrong Reasons look like  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
Can you pull up My Name Is Brain Brian  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
Can you locate West Coast Wrestling Connection  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
Play me the saga The Party’s Over  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
I'm looking to watch Savage Grace at Showcase Cinemas at thirteen o'clock.  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
I want to listen to the soundtrack Adobe Digital Editions  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
I want to watch the movie Godslayer  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
put th Power Gaming playlist  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
Place this tune in workout remix  [predicted:  PlayMusic ; correct:  AddToPlaylist ]
Find book The Music Lovers  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Play me the soundtrack Ready  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
find Kebab Connection  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Play the Electrochemical and Solid State Letters song  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
I'd like to play the album Clarke  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
ad this track by Isobel Campbell to my Folk for Kids list  [predicted:  PlayMusic ; correct:  AddToPlaylist ]
where can i watch Wartime Romance in the morning  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Is Happy Ghost III at Caribbean Cinemas  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
I want to watch the trailer to Worms 2: Armageddon.  [predicted:  BookRestaurant ; correct:  SearchCreativeWork ]
Where can I listen to the song The Lost Worlds of Planet Earth  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
read the Background to Danger book  [predicted:  BookRestaurant ; correct:  SearchCreativeWork ]
Help me locate The Tristan Betrayal  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
When and where is DistroWatch playing  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
Play Keep Their Heads Ringin’  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
I'd like to hear the soundtrack for Just Once in My Life.  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
I'd like to see Spyforce  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
Where Can I watch Chaos and Desire?  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Show The Singles Collection Volume 4  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
Anything close to Smith-9th St that can seat two people about one minute from now ?  [predicted:  RateBook ; correct:  BookRestaurant ]
Can i see the Encounters?  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
She me the Sons of Satan Praise the Lord picture  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
The Hot House playlist needs another album  [predicted:  PlayMusic ; correct:  AddToPlaylist ]
find A Tale of Two Cities, a painting  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
ad Sabah to my Evening Groove playlist  [predicted:  PlayMusic ; correct:  AddToPlaylist ]
I want to watch the movie X Window Display Manager  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
Add a song by Jil Y Creek to my spring music  [predicted:  PlayMusic ; correct:  AddToPlaylist ]
play Hell House song  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
When was the soundtrack for Those Were the Days – The Best of Leningrad Cowboys published?  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
What is Lost Land of the Tiger  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
Where can I buy a hardcover copy of the book The Intangibles of Leadership?  [predicted:  BookRestaurant ; correct:  SearchCreativeWork ]
Is A Short Film About Killing at North American Cinemas  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
I want to listen to the soundtrack Bed of Roses  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Where to buy book Bright Ambush  [predicted:  BookRestaurant ; correct:  SearchCreativeWork ]
find Shanghaï Express  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
I want to watch the movie Maxime  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
find Some of My Best Friends Are...The Piano Players  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
I need to find Best of the West Rides Again  [predicted:  BookRestaurant ; correct:  SearchCreativeWork ]
Where do i purchase the book, Baby-Sittor?  [predicted:  BookRestaurant ; correct:  SearchCreativeWork ]
I'd like to play the song In a Reverie  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
The book Choper, Coffee, Gilson should get a zero  [predicted:  BookRestaurant ; correct:  RateBook ]
play the Discografia de The Pretty Reckless saga  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
find Terminator 3: The Redemption, a picture  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
What song is Detective Conan: Dimensional Sniper  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
I want to find The Very Best of Chicago: Only the Beginning  [predicted:  BookRestaurant ; correct:  SearchCreativeWork ]
Sort to the last song on playlist from 1983 a chant by Mark Oliver Everett  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
find The Watcher at United Paramount Theatres  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Lets go and take elsa and I to Westhampton Beach in 1 hour to the american chinese cuisine at the tea house  [predicted:  SearchScreeningEvent ; correct:  BookRestaurant ]
Read The Open Ecology Journal  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
What are the current showtimes for Love Fiction?  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
Play Elizeth Cardoso to my Nothing But A Party R&B playlist  [predicted:  PlayMusic ; correct:  AddToPlaylist ]
Something by Danielle Polanco in 1986  [predicted:  SearchCreativeWork ; correct:  PlayMusic ]
Can I get The Marine 2 showtimes.  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
give me some Last Emperor  [predicted:  GetWeather ; correct:  PlayMusic ]
I want to listen to the song Only the Greatest  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Play me the trailer for Gainesville Daily Register.  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Show me the movie Operetta for the Theatre Organ  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
Is You Will Meet a Tall Dark Stranger at Bow Tie Cinemas  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
Where to buy book Charlie Countryman deve morire  [predicted:  BookRestaurant ; correct:  SearchCreativeWork ]
Play The XYY Man soundtrack  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
I want to see Plague Soundscapes  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Play me the trailer for Chasing After Shadows... Living with the Ghosts.  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Play trailer of Do Whatever Turns You On  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
give two star to As Long as We Both Shall Live book  [predicted:  BookRestaurant ; correct:  RateBook ]
Give me some Musica Post-industriale from Groove Shark  [predicted:  GetWeather ; correct:  PlayMusic ]
Give me the current showtimes for Tarass Boulba.  [predicted:  RateBook ; correct:  SearchScreeningEvent ]
Find Make Your Play  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
play the Baldur’s Gate II: Throne of Bhaal saga  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Where can I find the picture of House Foundation  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
insert Rock Me UP song to my list  [predicted:  PlayMusic ; correct:  AddToPlaylist ]
I'd like to listen to the soundtrack In the Air  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
I'd like hear the song Sit Down and Talk to Me  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Listen to Dragon Ball: Music Collection  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
play A Box of Birds trailer  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Play The Last Mile album  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
What time will the Amco Entertainment  be plying The Teeth of the Tiger  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
Play the Seamus Heaney Collected Poems song  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
I'd like to play the album Beloved Rogues  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
find Italy Has Awakened at a Goodrich Quality Theaters  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
SCORE:  2894 / 3140  ( 0.921656050955414 )
insert Rock Me UP song to my list  [predicted:  PlayMusic ; correct:  AddToPlaylist ]
find Hear Me Good  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
What is Love in a Mist?  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
What time is Beat the Devil coming on at Mann Theatres  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
I'd like to hear Helen Baylor  [predicted:  SearchCreativeWork ; correct:  PlayMusic ]
Plaly The Ladybug Transistor by Loreena Mckennitt.  [predicted:  GetWeather ; correct:  PlayMusic ]
where can i watch Willy Wonka & the Chocolate Factory  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
find Careless Love  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
i wanna listen to a the top-twenty track of Denniz Pop in Pandora  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
Give the Televised Morality series a one.  [predicted:  SearchCreativeWork ; correct:  RateBook ]
An interesting piece from 1991 please  [predicted:  SearchCreativeWork ; correct:  PlayMusic ]
I want If I Could Be with You added to mellow dinner  [predicted:  BookRestaurant ; correct:  AddToPlaylist ]
reserve a spotat the food truck twelve weeks from now  [predicted:  GetWeather ; correct:  BookRestaurant ]
I want to see Teeny Little Super Guy at Malco Theatres  [predicted:  BookRestaurant ; correct:  SearchScreeningEvent ]
give After Worlds Collide a 1  [predicted:  GetWeather ; correct:  RateBook ]
Open The Second Adventure album by Hans Nilsson  [predicted:  SearchCreativeWork ; correct:  PlayMusic ]
Is Happy Ghost III at Caribbean Cinemas  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
