Lets go to a steakhouse before we go to the pool  [predicted:  SearchCreativeWork ; correct:  BookRestaurant ]
the previous textbook is a 3  [predicted:  GetWeather ; correct:  RateBook ]
Let me hear the top album by the artist, Skin.  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
When and where can I see A Film with Me in It  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Show me when and where I can see Song of Summer  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Where can I get the album So Fresh: The Hits of Spring 2011  [predicted:  AddToPlaylist ; correct:  SearchCreativeWork ]
I want seats for four at a place in RI  [predicted:  RateBook ; correct:  BookRestaurant ]
When is City of Angels playing?  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
Listen to Power Gaming playlist  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
use Iheart to listen to retro  [predicted:  SearchCreativeWork ; correct:  PlayMusic ]
my great grandfather and I would like to get together at a taverna.  [predicted:  SearchCreativeWork ; correct:  BookRestaurant ]
I want to see Sympathy for the Devil  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
I'd like to watch Sherlock Holmes à New York at KB Theatres  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Please include Emily Remler in Indie Bluegrass  [predicted:  SearchCreativeWork ; correct:  AddToPlaylist ]
I want to listen to an ep from 1998.  [predicted:  SearchCreativeWork ; correct:  PlayMusic ]
Is it colder faraway from my current spot?  [predicted:  RateBook ; correct:  GetWeather ]
I'd like to hear Don Airey's Gonna Raise Hell  [predicted:  SearchCreativeWork ; correct:  PlayMusic ]
I want to see Train  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Take me to the top-rated taverna in Sealy for trattoria next week for 5  [predicted:  GetWeather ; correct:  BookRestaurant ]
I want to book the best pub for 6 in New Mexico  [predicted:  RateBook ; correct:  BookRestaurant ]
Start playing something from Iheart  [predicted:  SearchScreeningEvent ; correct:  PlayMusic ]
I want novena on a nocturn added to the playlist called Gold Edition  [predicted:  SearchCreativeWork ; correct:  AddToPlaylist ]
Play song Softly  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
read the Black-Body Theory and the Quantum Discontinuity novel  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
What is A Romance of the Halifax Disaster  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
Please anything good by Chieko Ochi  [predicted:  SearchCreativeWork ; correct:  PlayMusic ]
I'd like to see Snowball Express  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Play Step Up Your Game by Marc Cohn.  [predicted:  SearchCreativeWork ; correct:  PlayMusic ]
Play Still Life 1  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
play The Widow of Saint-Pierre saga  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
show chillier conditions next week in Camp Bird  [predicted:  SearchCreativeWork ; correct:  GetWeather ]
What time is I Know That You Know That I Know lpaying  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
I want to see the book, The Mailroom: Hollywood History from the Bottom Up  [predicted:  BookRestaurant ; correct:  SearchCreativeWork ]
Lets take me, cherry and tracie to a Noyack bar  [predicted:  SearchCreativeWork ; correct:  BookRestaurant ]
I want to see Teeny Little Super Guy at Malco Theatres  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
can you add xanadu to Latin Alternative Music  [predicted:  PlayMusic ; correct:  AddToPlaylist ]
Ply best 1973 sound track  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
Find a table close by in the downtown area for sherri and I  [predicted:  SearchScreeningEvent ; correct:  BookRestaurant ]
play the album by Paul Barker playing the greatest from 1978  [predicted:  SearchCreativeWork ; correct:  PlayMusic ]
casey chavez, lucinda and karina want to eat at a diner on december the 7th  [predicted:  SearchCreativeWork ; correct:  BookRestaurant ]
play the album The Outpost  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Please open pandora for me  [predicted:  SearchCreativeWork ; correct:  PlayMusic ]
Book a bar for 6 that has stuffed ham and isn't too faraway from Canarsie - Rockaway Parkway on bennington battle day.  [predicted:  RateBook ; correct:  BookRestaurant ]
find The Flying Ace  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
I want to see Michel Strogoff  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Find The Press of Atlantic City movie  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
Can you find me The Ridiculous 6 book?  [predicted:  BookRestaurant ; correct:  SearchCreativeWork ]
search for movie Turn Back the Clock  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
the following essay is a two  [predicted:  GetWeather ; correct:  RateBook ]
I want to reserve a gastropub that has a spa.  [predicted:  SearchCreativeWork ; correct:  BookRestaurant ]
Will it be hotter in my current place in six weeks from now  [predicted:  RateBook ; correct:  GetWeather ]
book a spot for 6 in Pilot Mound Palau on feb. the twenty-fourth  [predicted:  RateBook ; correct:  BookRestaurant ]
give Jackass Investing a three  [predicted:  GetWeather ; correct:  RateBook ]
I want to eat Louisiana Fried Chicken in McColl, IA  [predicted:  SearchCreativeWork ; correct:  BookRestaurant ]
I want to the latest ballad from Ira Losco  [predicted:  SearchCreativeWork ; correct:  PlayMusic ]
I want If I Could Be with You added to mellow dinner  [predicted:  SearchCreativeWork ; correct:  AddToPlaylist ]
I'd like to go to a pizzeria within walking distance of Hutchinson  [predicted:  SearchScreeningEvent ; correct:  BookRestaurant ]
Can you give me a local and current movie schedule  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
I'd give The Cricket in Times Square 3 stars  [predicted:  GetWeather ; correct:  RateBook ]
Where is Journal of Geriatric Psychiatry and Neurology  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
find 16 starting time for Heavenly Body  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Lets eat now somewhere in Roach  [predicted:  GetWeather ; correct:  BookRestaurant ]
Play artist stu davis from the album Dub Chamber 3 on Netflix  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
Open Lastfm and start playing whatever  [predicted:  SearchScreeningEvent ; correct:  PlayMusic ]
Showtimes for Medal for the General  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
Play the song Aura II: The Sacred Rings  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
my jazz for loving couples needs more push the button  [predicted:  GetWeather ; correct:  AddToPlaylist ]
rate The Wimpy Kid Movie Diary  saga 4 out of 6  [predicted:  BookRestaurant ; correct:  RateBook ]
I'd like to listen to Tom Cochrane's 1990 ep on Zvooq.  [predicted:  SearchCreativeWork ; correct:  PlayMusic ]
I want ohear the 1996 soundtrack from deezer  [predicted:  SearchCreativeWork ; correct:  PlayMusic ]
I want to eat supper at a Lesotho plaCE  [predicted:  SearchCreativeWork ; correct:  BookRestaurant ]
can you find me a showing for Before the Music Dies in one second ?  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
listen to ballad songs from 1999  [predicted:  SearchCreativeWork ; correct:  PlayMusic ]
Find Mahalakshmi Iyer music on Netflix  [predicted:  SearchCreativeWork ; correct:  PlayMusic ]
Where can I locate Leo the Lion for purchase  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
Play music from Art Porter Junior movie sound track using Vimeo  [predicted:  SearchCreativeWork ; correct:  PlayMusic ]
Please reserve a spot at Ballachulish House.  [predicted:  SearchScreeningEvent ; correct:  BookRestaurant ]
insert Rock Me UP song to my list  [predicted:  PlayMusic ; correct:  AddToPlaylist ]
Find and play a concerto on Zvooq from 1978 by Ginger Pooley  [predicted:  SearchCreativeWork ; correct:  PlayMusic ]
Lets eat at Newport Creamery in Carnot  [predicted:  GetWeather ; correct:  BookRestaurant ]
ad i should have known better to this is bb king  [predicted:  GetWeather ; correct:  AddToPlaylist ]
restaurant in South Sudan for 6  [predicted:  RateBook ; correct:  BookRestaurant ]
Please play something on Iheart from artist Ari Gold last album  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
The Battle for Skies gets a three  [predicted:  GetWeather ; correct:  RateBook ]
Show me Interesting Times: The Secret of My Success  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
I want to listen to the album going back to the blue ridge mountains on iheart  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
can you put The Little Grey Mother Who Waits All Alone into uncharted 4 nathan drake  [predicted:  SearchCreativeWork ; correct:  AddToPlaylist ]
play Tales from the Organ Trade  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
find an outdoor facility for midday in Datil at a pub for six  [predicted:  SearchCreativeWork ; correct:  BookRestaurant ]
When can I see Ghost World  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
play Print the Legend soundtrack  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Play Everybody Wins trailer  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Give me an album from 1972 to listen to.  [predicted:  RateBook ; correct:  PlayMusic ]
this chronicle of The Origins and History of Consciousness is a three  [predicted:  GetWeather ; correct:  RateBook ]
put deep purple on this is jennifer lopez  [predicted:  SearchCreativeWork ; correct:  AddToPlaylist ]
I would like an outdoor cafeteria for 3  [predicted:  GetWeather ; correct:  BookRestaurant ]
Turn on Spotify to Tiny Tim ep  [predicted:  SearchCreativeWork ; correct:  PlayMusic ]
Plays some akb48 on Youtube  [predicted:  GetWeather ; correct:  PlayMusic ]
Where to buy Education for Chemical Engineers  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
find The Broken  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Find me a creole restaurant  [predicted:  SearchCreativeWork ; correct:  BookRestaurant ]
where is Wild America showing at zero P.M.  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
Put The Orange and the Green on Los 40 Radio Éxitos  [predicted:  SearchCreativeWork ; correct:  AddToPlaylist ]
I give The Spirit of St. Louis a 1  [predicted:  GetWeather ; correct:  RateBook ]
find Vegucated starting at zero pm  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
Can you get me seating for 5 people 1 minute from now in Tuvalu  [predicted:  RateBook ; correct:  BookRestaurant ]
Find me a nice restaurant in Mulvane.  [predicted:  SearchCreativeWork ; correct:  BookRestaurant ]
Can you get me seating for a party of 5  [predicted:  SearchCreativeWork ; correct:  BookRestaurant ]
find Wild at Heart  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Play Rap Album One by Gene Vincent.  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
What is Just Like in the Old Country  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
Play the song Two Suns In The Sunset by Airi Suzuki  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
find Three in the Attic  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Play the Food Uncut soundtrack  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
SCORE:  2979 / 3140  ( 0.9487261146496815 )
I'd give The Cricket in Times Square 3 stars  [predicted:  BookRestaurant ; correct:  RateBook ]
Will it be snowy at the current position by March 3?  [predicted:  RateBook ; correct:  GetWeather ]
I want to take christy, louise and alexandra to eat at 17:38:04 anywhere in NE  [predicted:  SearchCreativeWork ; correct:  BookRestaurant ]
is Ce cher intrus at IMAX Corporation  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
painting of Live from the El Rey Theatre  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
Find the book A Glorious Way to Die  [predicted:  BookRestaurant ; correct:  SearchCreativeWork ]
I want to be Main Deli Steak House near Hendley.  [predicted:  SearchScreeningEvent ; correct:  BookRestaurant ]
Is it colder faraway from my current spot?  [predicted:  RateBook ; correct:  GetWeather ]
I'd like to see Spyforce  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
I want to find a nice coffeehouse in South Burlington Illinois  [predicted:  SearchCreativeWork ; correct:  BookRestaurant ]
Play The XYY Man soundtrack  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Can you help me search the Two Row Times show?  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
want to eat at Diners of Allentown, Pennsylvania on purim  [predicted:  SearchCreativeWork ; correct:  BookRestaurant ]
Open Netflix and find a movie with the song heartful  [predicted:  SearchCreativeWork ; correct:  PlayMusic ]
Is it supposed to rain nearby my current location at 0 o'clock?  [predicted:  RateBook ; correct:  GetWeather ]
Where can I get the novel Flesh-Colored Horror  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
Let me listen to an eighties ep.  [predicted:  SearchCreativeWork ; correct:  PlayMusic ]
What time does Kraken: Tentacles of the Deep play  [predicted:  PlayMusic ; correct:  SearchScreeningEvent ]
find Mysterious Castles of Clay  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
rate tune to 90's Baby Makers  [predicted:  PlayMusic ; correct:  AddToPlaylist ]
I want to take me and my momy to eat in Flossmoor  [predicted:  SearchCreativeWork ; correct:  BookRestaurant ]
Find an Oasis Drive-In close-by Beach 105th St.  [predicted:  SearchCreativeWork ; correct:  BookRestaurant ]
When can I go see The Untold Story?  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
In seven hours from now will it rain at my current place  [predicted:  RateBook ; correct:  GetWeather ]
Will you pull up my Jueves de Antaño playlist  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
add Please, Please, Please, Let Me Get What I Want to my crate diggers anonymous  [predicted:  SearchCreativeWork ; correct:  AddToPlaylist ]
Find me a movie with the name Oshin  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
Ply best 1973 sound track  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
An interesting piece from 1991 please  [predicted:  SearchCreativeWork ; correct:  PlayMusic ]
What song is Detective Conan: Dimensional Sniper  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Bring up the book Perfume: The Story of a Murderer  [predicted:  BookRestaurant ; correct:  SearchCreativeWork ]
Will it get windy close by here?  [predicted:  SearchScreeningEvent ; correct:  GetWeather ]
Play Suus to my the funny thing about football is playlist  [predicted:  PlayMusic ; correct:  AddToPlaylist ]
Please make a booking at Sonoy in Montague, LA.  [predicted:  SearchCreativeWork ; correct:  BookRestaurant ]
play used to love her to my this is animal collective playlist  [predicted:  PlayMusic ; correct:  AddToPlaylist ]
give two star to As Long as We Both Shall Live book  [predicted:  BookRestaurant ; correct:  RateBook ]
Can you locate The Crucible of Man: Something Wicked Part 2 novel?  [predicted:  RateBook ; correct:  SearchCreativeWork ]
Plays some akb48 on Youtube  [predicted:  GetWeather ; correct:  PlayMusic ]
Give me the showtimes for Sign of the Anchor.  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
When is One Sunday Morning scheduled to be played?  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
i want to watch The Shamrock Handicap right now  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
What are the showtimes for Boy of Mine  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
Looking for the album by the New Zealand Local Government  [predicted:  AddToPlaylist ; correct:  SearchCreativeWork ]
Can you please locate the movie, Healthy?  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
I want If I Could Be with You added to mellow dinner  [predicted:  SearchCreativeWork ; correct:  AddToPlaylist ]
insert Rock Me UP song to my list  [predicted:  PlayMusic ; correct:  AddToPlaylist ]
ad i should have known better to this is bb king  [predicted:  GetWeather ; correct:  AddToPlaylist ]
Will it be hotter in my current place in six weeks from now  [predicted:  RateBook ; correct:  GetWeather ]
Will it be warm in the current place next spring  [predicted:  RateBook ; correct:  GetWeather ]
Find a reservation for a tea house in Lorain  [predicted:  SearchScreeningEvent ; correct:  BookRestaurant ]
Where is Bernardsville?  [predicted:  SearchCreativeWork ; correct:  GetWeather ]
I need the book titled Lullaby of Broadway  [predicted:  BookRestaurant ; correct:  SearchCreativeWork ]
Book the Bobcat Bite in the Isle of Man for 6 people.  [predicted:  RateBook ; correct:  BookRestaurant ]
What will it be like in six PM at the current place  [predicted:  RateBook ; correct:  GetWeather ]
Play Step Up Your Game by Marc Cohn.  [predicted:  SearchCreativeWork ; correct:  PlayMusic ]
Play some diva house.  [predicted:  SearchCreativeWork ; correct:  PlayMusic ]
show chillier conditions next week in Camp Bird  [predicted:  SearchCreativeWork ; correct:  GetWeather ]
I want novena on a nocturn added to the playlist called Gold Edition  [predicted:  SearchCreativeWork ; correct:  AddToPlaylist ]
play saga The Yellow Rose of Texas  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Will it be hot in the current place two hundred fourteen days from now?  [predicted:  RateBook ; correct:  GetWeather ]
put Anna Grigorjewna Semenowitsch in all out 00s list  [predicted:  SearchCreativeWork ; correct:  AddToPlaylist ]
Find me music by Kaori Utatsuki off the album that has top-twenty hits  [predicted:  SearchCreativeWork ; correct:  PlayMusic ]
Plan an album by Roni Duani.  [predicted:  GetWeather ; correct:  PlayMusic ]
Plaly The Ladybug Transistor by Loreena Mckennitt.  [predicted:  GetWeather ; correct:  PlayMusic ]
I want to listen to Merrily We Roll Along by Marko Desantis.  [predicted:  SearchCreativeWork ; correct:  PlayMusic ]
add house afterwork to my the cave canem demos  [predicted:  SearchScreeningEvent ; correct:  AddToPlaylist ]
Book a restaurant on June the fifth in Cavour.  [predicted:  BookRestaurant ; correct:  GetWeather ]
Start playing my Disney playlist.  [predicted:  SearchScreeningEvent ; correct:  PlayMusic ]
I'd like a new england added to Classical Moments in Movies.  [predicted:  SearchScreeningEvent ; correct:  AddToPlaylist ]
read the novel On-Line Encyclopedia of Integer Sequences  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
Where can I get Fight for Anarchy  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
Is there rain in Nauru at 6 am  [predicted:  RateBook ; correct:  GetWeather ]
Go to Attack of the Planet Smashers  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
Get a chimichanga meal at a bakery  [predicted:  GetWeather ; correct:  BookRestaurant ]
Please include Emily Remler in Indie Bluegrass  [predicted:  SearchCreativeWork ; correct:  AddToPlaylist ]
I want to listen to some Aaliyah  [predicted:  SearchCreativeWork ; correct:  PlayMusic ]
Will it get rainy like last March in Hagerman, Saint Vincent and the Grenadines?  [predicted:  SearchScreeningEvent ; correct:  GetWeather ]
me, bobbie and colette want to go to The Peak Lookout in Felicity  [predicted:  SearchCreativeWork ; correct:  BookRestaurant ]
rate The Ghost House series a one  [predicted:  BookRestaurant ; correct:  RateBook ]
Can you pull up My Name Is Brain Brian  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
Please give me information on when Prisoner of Zenda will be shown.  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Turn on Slacker radio.  [predicted:  GetWeather ; correct:  PlayMusic ]
I want new steps to go on the leche con chocolate list  [predicted:  SearchCreativeWork ; correct:  AddToPlaylist ]
Put Kim Kibum in my the martin garrix show playlist.  [predicted:  SearchCreativeWork ; correct:  AddToPlaylist ]
what film to see at ArcLight Hollywood  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
I'd like to play the song In a Reverie  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Please include danni bassan in my Perfect Concentration  [predicted:  SearchCreativeWork ; correct:  AddToPlaylist ]
Get me Kiss the Crystal Flake  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
Please get seating at Bouchon in Tonga for jimmie and chasity howard  [predicted:  SearchCreativeWork ; correct:  BookRestaurant ]
rate The Wimpy Kid Movie Diary  saga 4 out of 6  [predicted:  BookRestaurant ; correct:  RateBook ]
What is Fantasy Zone II: The Tears of Opa-Opa  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
Listen to Dragon Ball: Music Collection  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
I want to listen to the track Close To The Edge  [predicted:  SearchCreativeWork ; correct:  PlayMusic ]
Gods and Pawns should get a three  [predicted:  GetWeather ; correct:  RateBook ]
What will it feel like in the current place in July  [predicted:  RateBook ; correct:  GetWeather ]
add The Muppet Show 2 to my party through the decades  [predicted:  SearchCreativeWork ; correct:  AddToPlaylist ]
What is Lost Land of the Tiger  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
Find a top fifty zahir howaida concerto from the seventies  [predicted:  SearchCreativeWork ; correct:  PlayMusic ]
I want to hear Ready by Frankenstein Drag Queens From Planet 13  [predicted:  SearchCreativeWork ; correct:  PlayMusic ]
What will the humidity be like on june eighteenth in my current location  [predicted:  RateBook ; correct:  GetWeather ]
find Chained Heat  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Where can I see Young Goethe in Love?  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
I want to listen to Born On The Bayou on Iheart  [predicted:  SearchCreativeWork ; correct:  PlayMusic ]
is One Night Surprise at the cinema  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
Start playing something off Spotify  [predicted:  SearchScreeningEvent ; correct:  PlayMusic ]
Will it be sunny at three pm in my current position  [predicted:  RateBook ; correct:  GetWeather ]
Play music from Art Porter Junior movie sound track using Vimeo  [predicted:  SearchCreativeWork ; correct:  PlayMusic ]
Let me hear the top album by the artist, Skin.  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
Will it get windy this week-end in Selva Jedediah Smith?  [predicted:  SearchCreativeWork ; correct:  GetWeather ]
Can I hear the song Visual Audio Sensory Theater?  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
read the Background to Danger book  [predicted:  BookRestaurant ; correct:  SearchCreativeWork ]
Can you let me know where I can watch The Nest?  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
find Playground, a book  [predicted:  BookRestaurant ; correct:  SearchCreativeWork ]
Can you get me the Snowman's Land movie?  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
when can i see We and Our Mountains  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Is it going to be nice at 6 AM at Chippewa Lake  [predicted:  RateBook ; correct:  GetWeather ]
put my Family Road Trip playlist  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
I want to listen to the album going back to the blue ridge mountains on iheart  [predicted:  SearchCreativeWork ; correct:  PlayMusic ]
Could you locate the work, All the Times I Cried?  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
How can I view the show Corpus: A Home Movie About Selena?  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
Can I get the showtimes for Fit for a King?  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Can you get me the All Night Long 3: The Final Chapter novel?  [predicted:  RateBook ; correct:  SearchCreativeWork ]
Start playing anything Mike Muir made in the thirties  [predicted:  SearchScreeningEvent ; correct:  PlayMusic ]
Please anything good by Chieko Ochi  [predicted:  SearchCreativeWork ; correct:  PlayMusic ]
put once bitten twice bitten into the pulse of americana  [predicted:  GetWeather ; correct:  AddToPlaylist ]
What will the weathr be in Akin Jamaica?  [predicted:  SearchCreativeWork ; correct:  GetWeather ]
Will it be hot in the current place?  [predicted:  RateBook ; correct:  GetWeather ]
find The Bride  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Will there be a storm on Christmas Day in my current place?  [predicted:  RateBook ; correct:  GetWeather ]
Let me listen to Rouhollah Khaleghi on deezer.  [predicted:  SearchCreativeWork ; correct:  PlayMusic ]
me and edith want to eat in Coventry Lake  [predicted:  SearchCreativeWork ; correct:  BookRestaurant ]
Include hohenfriedberger marsch to my Novedades Pop list.  [predicted:  SearchCreativeWork ; correct:  AddToPlaylist ]
play the Graduate Faculty Philosophy Journal album  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Will it be humid at the current location one minute from now?  [predicted:  RateBook ; correct:  GetWeather ]
I want to eat in Rowan Bay on a nice cloud less day  [predicted:  SearchCreativeWork ; correct:  GetWeather ]
What is the book Sell Your Body?  [predicted:  BookRestaurant ; correct:  SearchCreativeWork ]
SCORE:  3004 / 3140  ( 0.956687898089172 )
Will it get chillier in Sinclair in 8 hours  [predicted:  SearchCreativeWork ; correct:  GetWeather ]
Will it be hot in the current place two hundred fourteen days from now?  [predicted:  RateBook ; correct:  GetWeather ]
Will it get warmer in the same area as Sandy Point National Wildlife Refuge  [predicted:  SearchScreeningEvent ; correct:  GetWeather ]
I need a table in Uruguay in 213 days when it's chillier  [predicted:  BookRestaurant ; correct:  GetWeather ]
can you add xanadu to Latin Alternative Music  [predicted:  PlayMusic ; correct:  AddToPlaylist ]
Include the album by Arthur Rhames in Urban Poet  [predicted:  SearchCreativeWork ; correct:  AddToPlaylist ]
Is there rain in Nauru at 6 am  [predicted:  RateBook ; correct:  GetWeather ]
Can i see the Boat People?  [predicted:  BookRestaurant ; correct:  SearchCreativeWork ]
Was there rainfall last mar. in Greenbrier Egypt?  [predicted:  PlayMusic ; correct:  GetWeather ]
On oct. 26, I will need to make reservations to eat in Halibut Point State Park.  [predicted:  BookRestaurant ; correct:  GetWeather ]
Find Secret Command.  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
show cloud forcast in 1 hour in IA  [predicted:  SearchCreativeWork ; correct:  GetWeather ]
Play a trailer for Give It All  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Show me the forecast for Anatone Louisiana on November 7th  [predicted:  SearchScreeningEvent ; correct:  GetWeather ]
melba and I want to dine in Barbados next Jun.  [predicted:  SearchCreativeWork ; correct:  BookRestaurant ]
Look up Three Fantastic Dances  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
What is Love in a Mist?  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
Let me know when I can watch Actrices.  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
this track should go into my playlist called This Is Beethoven  [predicted:  PlayMusic ; correct:  AddToPlaylist ]
I didn't like the book Nobody Lives For Ever, I give it a 2.  [predicted:  BookRestaurant ; correct:  RateBook ]
I'd like to watch Abbott and Costello Meet the Keystone Kops at Amco Entertainment at 04:08:11 AM  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
I need seats for 6 at CHAR No.4 in Georgia  [predicted:  RateBook ; correct:  BookRestaurant ]
Where can I see Joy of Learning?  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Want to eat somewhere cold in the neighboring Antlers region on aug. 22  [predicted:  BookRestaurant ; correct:  GetWeather ]
Starting in one minute, please give me a hourly update as to whether it is foggy in Hallsville, Wallis and Futuna  [predicted:  RateBook ; correct:  GetWeather ]
Play Elizeth Cardoso to my Nothing But A Party R&B playlist  [predicted:  PlayMusic ; correct:  AddToPlaylist ]
What is the book Sell Your Body?  [predicted:  BookRestaurant ; correct:  SearchCreativeWork ]
Will it be hotter at my current place at 02:22:32 pm  [predicted:  RateBook ; correct:  GetWeather ]
Rat Short Trips: A Christmas Treasury a 3  [predicted:  GetWeather ; correct:  RateBook ]
Find the movie Girl on the Trapeze  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
Can you pull up Channel M News  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
play the Home Is Where the Music Is TV series  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Play Rock This playlist with Badonviller Marsch  [predicted:  PlayMusic ; correct:  AddToPlaylist ]
my step aunt and I want to go cheese fries at the tavern  [predicted:  SearchCreativeWork ; correct:  BookRestaurant ]
Can I get the Butterfly Crush showings  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Will there be rainfall in Ryland Heights New York?  [predicted:  PlayMusic ; correct:  GetWeather ]
What is Lost Land of the Tiger  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
show weather while Sunset in the same area in South Carolina  [predicted:  SearchScreeningEvent ; correct:  GetWeather ]
I'd like for this song to be added to the new waltz.  [predicted:  PlayMusic ; correct:  AddToPlaylist ]
