what will be the temperature 1 minute and 8 seconds from now in Green Bottom Wildlife Management Area  [predicted:  BookRestaurant ; correct:  GetWeather ]
I want to see the novel, The Green  [predicted:  BookRestaurant ; correct:  SearchCreativeWork ]
I need to episodes for the TV series, Fast Food Nation.  [predicted:  BookRestaurant ; correct:  SearchCreativeWork ]
What is the current selling price of the novel The Sims 3: Island Paradise?  [predicted:  RateBook ; correct:  SearchCreativeWork ]
I want The Complete Global Albums Collection  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
I need to see Cristo in India  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
listen to Pmd symphony  [predicted:  GetWeather ; correct:  PlayMusic ]
Will it be sunny at three pm in my current position  [predicted:  RateBook ; correct:  GetWeather ]
Pull up the movie Toy and Help Yourself  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
What does For All the Wrong Reasons look like  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
Play the Knockabout soundtrack  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Search for TERA: The Exiled Realm of Arborea  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
Where can I buy the movie Totality  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
Start up my Pachangueo Total playlist.  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
I'd like to hear the song Daimidaler: Prince vs Penguin Empire  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
I'm looking to bring shawn, marguerite and della to a place to eat at near Rwanda.  [predicted:  SearchCreativeWork ; correct:  BookRestaurant ]
Will it be humid at the current location one minute from now?  [predicted:  RateBook ; correct:  GetWeather ]
Find a movie called Greatest Time of Year.  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
Who published the novel JamesEdition?  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
I'm looking for The Music of Nashville: Season 3 saga  [predicted:  AddToPlaylist ; correct:  SearchCreativeWork ]
I rate the book Rusty String Quartet a 4  [predicted:  BookRestaurant ; correct:  RateBook ]
I want to hear a top five ballad from 2002  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
I'd like to watch The Slender Thread at 6 PM  [predicted:  BookRestaurant ; correct:  SearchScreeningEvent ]
Does The Yacoubian Building start at 08:39 pm  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
I'd like to visit a pizzeria with a pool at fourteen o'clock.  [predicted:  SearchScreeningEvent ; correct:  BookRestaurant ]
Can I get the Butterfly Crush showings  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
I'd like to see Confessions of an Indian Teenager  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
Where can I watch Portrait of a Woman, Nude in 1 hour?  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
include pat smear on Guest List Engadget  [predicted:  GetWeather ; correct:  AddToPlaylist ]
play Bliss Torn from Emptiness  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Find the McGill Law Journal movie  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
play Another Time  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
rate The Wimpy Kid Movie Diary  saga 4 out of 6  [predicted:  BookRestaurant ; correct:  RateBook ]
Hook me up with a song by Dancing Girl.  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Open The Second Adventure album by Hans Nilsson  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
Can I hear the song American High.  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
When and where can I watch National Priority?  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
I want to play the game Pesterminator: The Western Exterminator.  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
What is Party All Night  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
Please find the movie, A Jingle with Jillian.  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
Find a reservation in Deweese for my sister and I  [predicted:  SearchCreativeWork ; correct:  BookRestaurant ]
What is Love in a Mist?  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
rebekah taylor and marcie need reservations at The Clink in Senegal.  [predicted:  GetWeather ; correct:  BookRestaurant ]
Bombshells saga download  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
I want to listen to Keep the Faith  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
Please pull up the album, The Last War  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Will it be hot in the current place?  [predicted:  RateBook ; correct:  GetWeather ]
find the movie Ircle  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
I'd like to hear songs from Iheart  [predicted:  SearchCreativeWork ; correct:  PlayMusic ]
Where can I find the picture of House Foundation  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
play Disney Sing It! – High School Musical 3: Senior Year  [predicted:  AddToPlaylist ; correct:  SearchCreativeWork ]
Pull up Sweeney Todd - Il diabolico barbiere di Fleet Street  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
I'd like to play the album Beloved Rogues  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
I want to listen to an album sorted by last, open Google Music and play Paulinho Da Viola.  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
Find the Fields of Sacrifice movie  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
Play me the song Just to See You Smile.  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Can you get me the Starcross saga?  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
I want to play the game The Celestial Hawk  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Create a theme station with Jim Creeggan records and collabs  [predicted:  GetWeather ; correct:  PlayMusic ]
find Berlin to the Samba Beat  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Need a booking for 6 in OK for the city of Boonton  [predicted:  RateBook ; correct:  BookRestaurant ]
What is the trailer for Feel the Passion.  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
Rate this book a five  [predicted:  BookRestaurant ; correct:  RateBook ]
Look for the TV series The Stars at Saint Andrea  [predicted:  BookRestaurant ; correct:  SearchCreativeWork ]
Where can I watch Hank Williams: The Show He Never Gave?  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
find Journal of the European Economic Association, a movie I want to see  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
Start up my nostalgic playlist.  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
Search for Innocence from Hell  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
play Live at Leeds  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Play Remains of the Day  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
show creativity of The Greatest Movie Ever Sold  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
Play the Electrochemical and Solid State Letters song  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Open the playlist from Sergei Chatschatrjan  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
some me a Healthy picture  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
Look up Three Fantastic Dances  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
find the movie Everywhere But Home  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
What is the painting Forever Malcolm Young?  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
SCORE:  2898 / 3140  ( 0.9229299363057325 )
Open youtube  [predicted:  GetWeather ; correct:  PlayMusic ]
Play a tune or two from Kansas City, Missouri  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
is The Singing Nun at Regal Entertainment Group  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
On june 27, 2026 I'd like to go to a Delaware gastropub  [predicted:  SearchCreativeWork ; correct:  BookRestaurant ]
looking for Free Four: Tobias Tells the Divergent Knife-Throwing Scene  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
need a table now somewhere nearby Petit Manan National Wildlife Refuge  [predicted:  BookRestaurant ; correct:  GetWeather ]
PLpay the top ten track from Asia Nitollano on spotify.  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
Where is Mother and Child plkaying  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
I'd like to watch All on the Red at 9 o'clock  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Go to The Devil in the Deal:50 Secrets to Successful Dealmaking  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
Play the next ep by Video Game Pianist on netflix  [predicted:  SearchCreativeWork ; correct:  PlayMusic ]
Where can I watch Gaddar: The Traitor?  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
search for Space on My Hands  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
Look for the Girl in Mirror movie  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
Looking for Kepler scientific workflow system  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
Showtimes for Butterfly on a Wheel.  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
Listen to Power Gaming playlist  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
Plaly The Ladybug Transistor by Loreena Mckennitt.  [predicted:  GetWeather ; correct:  PlayMusic ]
Find the movie CURL  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
Find me the book My People Were Fair and Had Sky in Their Hair… But Now They’re Content to Wear Stars on Their Brows  [predicted:  BookRestaurant ; correct:  SearchCreativeWork ]
Need a booking for 6 in OK for the city of Boonton  [predicted:  RateBook ; correct:  BookRestaurant ]
Find a movie called No. 1 In Heaven.  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
Who published the novel JamesEdition?  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
Show me schedules to see A Film with Me in It.  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
I want to listen to the track Close To The Edge  [predicted:  SearchCreativeWork ; correct:  PlayMusic ]
An interesting piece from 1991 please  [predicted:  SearchCreativeWork ; correct:  PlayMusic ]
play Bill Evans album The Best Of The 12" Mixes  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
I want to read Mad Money  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
Is Happy Ghost III at Caribbean Cinemas  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
I want to listen to Born On The Bayou on Iheart  [predicted:  SearchCreativeWork ; correct:  PlayMusic ]
Is You Will Meet a Tall Dark Stranger at Bow Tie Cinemas  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
For the book Icon of Evil  I rate a 2  [predicted:  BookRestaurant ; correct:  RateBook ]
Lets hear some booty bass  [predicted:  SearchCreativeWork ; correct:  PlayMusic ]
I'd like to see Completely Well  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
Play the soundtrack for The Lord of the Rings: Conquest  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
When can I catch a screening of Shivers in Summer?  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
What time is 楽園追放 -Expelled from Paradise-  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
play the song S.F. sound furniture  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Play The Crowd: A Study of the Popular Mind soundtrack  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Find time for All About Hash  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
find Whosoever Shall Offend at Showcase Cinemas  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
I need a diner  [predicted:  GetWeather ; correct:  BookRestaurant ]
play Live at Leeds  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
find Fox Theatres with The Caretaker  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Can you get me a table reserved for three hundred thirty three days from now for eight people at a highly rated fast food place that serves north indian food not distant from Moores Mill  [predicted:  SearchCreativeWork ; correct:  BookRestaurant ]
play the game Piety Street  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
I'd like to hear Ami Suzuki's latest record  [predicted:  SearchCreativeWork ; correct:  PlayMusic ]
I'd like to listen to iheart radio's chill out playlist please.  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
Take me to the top-rated taverna in Sealy for trattoria next week for 5  [predicted:  GetWeather ; correct:  BookRestaurant ]
Find the schedule for Ghost World.  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
I'm wondering when I can see Hurry Sundown.  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Where can I get Harry Potter and the Philosopher’s Stone  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
I want to book a restaurant in 40 weeks in Iowa.  [predicted:  BookRestaurant ; correct:  GetWeather ]
find Belle of the Yukon  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
When can I watch Alice: A True Story at AMC Theatres?  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
what time can i see Mojave Phone Booth  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
I want to see the novel, The Green  [predicted:  BookRestaurant ; correct:  SearchCreativeWork ]
I'd like to hear one of Eric Clapton's most popular melody on Pandora.  [predicted:  SearchCreativeWork ; correct:  PlayMusic ]
Play a trailer for Sencha Touch  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Which cinema can I go to to see Lilly the Witch: The Dragon and the Magic Book?  [predicted:  BookRestaurant ; correct:  SearchScreeningEvent ]
rebekah taylor and marcie need reservations at The Clink in Senegal.  [predicted:  GetWeather ; correct:  BookRestaurant ]
Will it get chillier in 12 years  in Greenland?  [predicted:  SearchCreativeWork ; correct:  GetWeather ]
find movie titled Triumph of the Spirit  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
I want to watch Strange Brother  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
Is Mentioned in Confidence at the cinema  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
book of Two for the Road  [predicted:  BookRestaurant ; correct:  SearchCreativeWork ]
Open Lastfm and start playing whatever  [predicted:  SearchScreeningEvent ; correct:  PlayMusic ]
Put any 1972 record on.  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
Can you let me know when Troopers Three is scheduled?  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
last melody of Bob Hardy on Iheart  [predicted:  SearchCreativeWork ; correct:  PlayMusic ]
What time is A Battle of Wits starting?  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
i want to watch Ghosts of the Abyss at Kerasotes Theatres  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Can I hear a Da Brat ep?  [predicted:  SearchCreativeWork ; correct:  PlayMusic ]
Find a reservation for a tea house in Lorain  [predicted:  SearchScreeningEvent ; correct:  BookRestaurant ]
Where to buy painting Target Practice  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
where can i watch Wartime Romance in the morning  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
give me the showtimes for Down Where The Buffalo Go at Amco Entertainment  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
table for 5 A.m. at Baker's Keyboard Lounge  [predicted:  RateBook ; correct:  BookRestaurant ]
Sort eighties ep from the last  [predicted:  SearchCreativeWork ; correct:  PlayMusic ]
find Careless Love  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Book the Bobcat Bite.  [predicted:  GetWeather ; correct:  BookRestaurant ]
Play Halid 08 by video game pianist on Pandora  [predicted:  SearchCreativeWork ; correct:  PlayMusic ]
does Red e Toby nemiciamici start thirteen hours from now  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
Play the Knockabout soundtrack  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
where can i watch Willy Wonka & the Chocolate Factory  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
What's the weather going to be like near Sawtooth National Recreation Area at 2 pm?  [predicted:  BookRestaurant ; correct:  GetWeather ]
where is My Song Goes Forth playing  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
show the movie Move Any Mountain  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
show me the schedule of Dead Snow  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
I'm looking for The Music of Nashville: Season 3 saga  [predicted:  AddToPlaylist ; correct:  SearchCreativeWork ]
Open Netflix and find a movie with the song heartful  [predicted:  SearchCreativeWork ; correct:  PlayMusic ]
I'd like to watch Army at Wanda Group  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Can I get the showtimes for The Man Who Could Talk to Kids?  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
play The New Noise Theology E.P.  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Search for the Abel Sánchez: The History of a Passion novel  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
Where can I view the trailer Jeeves and Wooster in Perfect Nonsense  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
I want to listen to Merrily We Roll Along by Marko Desantis.  [predicted:  SearchCreativeWork ; correct:  PlayMusic ]
find Half a Truth  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
I want to hear music off my Indie Festival playlist  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
Find time for The Thirty Nine Steps  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
find On Dress Parade  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Please find the schedule for Jappeloup at Bow Tie Cinemas.  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
What time could I see A Mile in His Shoes?  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
what time can i see The Half Naked Truth  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
I want to play the game Guitar Heaven ... The Greatest Guitar Classics of All Time  [predicted:  AddToPlaylist ; correct:  SearchCreativeWork ]
Rate trailer Geek Chic  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
I'd like to hear songs from Iheart  [predicted:  SearchCreativeWork ; correct:  PlayMusic ]
will Dick Tracy e il gas misterioso start twenty one hours from now  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
Find the schedule for Tailspin Tommy in the Great Air Mystery.  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
I want Sugarfoot  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
when can i see Dinosaur from the Deep  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
want to eat at Diners of Allentown, Pennsylvania on purim  [predicted:  GetWeather ; correct:  BookRestaurant ]
Can I listen to Dj Vibe's top 10?  [predicted:  SearchCreativeWork ; correct:  PlayMusic ]
read the book Journal of the Bombay Natural History Society  [predicted:  BookRestaurant ; correct:  SearchCreativeWork ]
Open The Second Adventure album by Hans Nilsson  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
find Blood and Bones  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
On Jun. the sixteenth, 2032 I'd like to go to Dillard House in Putnam Hall  [predicted:  SearchCreativeWork ; correct:  BookRestaurant ]
Can i get the showtimes for Man in Blues?  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Lets go to the Rainforest Cafe that is in the same area as 135th St  [predicted:  SearchCreativeWork ; correct:  BookRestaurant ]
Is the start eim 23 hours twenty one minutes and one second from now for Morgan – A Suitable Case for Treatment at Santikos Theatres  [predicted:  BookRestaurant ; correct:  SearchScreeningEvent ]
Can you get me the Starcross saga?  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
I'd like to watch Broadway Nights at Megaplex Theatres  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Will you pull up my Jueves de Antaño playlist  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
find Welcome to the El-Palacio, a movie  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
Is A Short Film About Killing at North American Cinemas  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
Find an Oasis Drive-In close-by Beach 105th St.  [predicted:  SearchCreativeWork ; correct:  BookRestaurant ]
find Andreas Hofer at elevenses  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Is The Matinee Idol 06:30 cinema sold out?  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
What time does Military history of African Americans play  [predicted:  PlayMusic ; correct:  SearchScreeningEvent ]
find Naomi & Wynonna: Love Can Build a Bridge  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Where can I purchase the book Scales of Justice  [predicted:  BookRestaurant ; correct:  SearchCreativeWork ]
find Now and Forever  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
I want The Complete Global Albums Collection  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
find Heat Wave  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
when can iw atch Great Balls of Fire! - Vampate di fuoco  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
turn on Last Fm  [predicted:  GetWeather ; correct:  PlayMusic ]
play The Nubians of Plutonia trailer  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Can I get The Marine 2 showtimes.  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
I'd like to see showings for All the Way Home at Kerasotes Theatres.  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
read the novel Friend: The Great Legacy  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
What time can I watch Son of Rambow Tonight at Fox Theatres  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
play the album by Paul Barker playing the greatest from 1978  [predicted:  SearchCreativeWork ; correct:  PlayMusic ]
I need a table at a restaurant in Montserrat  [predicted:  BookRestaurant ; correct:  GetWeather ]
does Mexican Werewolf start at three am  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
restaurant scandinavian in Grenada  [predicted:  GetWeather ; correct:  BookRestaurant ]
Where can I get Intel Array Building Blocks  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
I want to hear This Is The Night from Proof  [predicted:  SearchCreativeWork ; correct:  PlayMusic ]
Where can I purchase Papers in Regional Science, the album?  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
find Quiet Night In  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
i want to watch Mister Cool  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Find the schedule for The Pearl of Cleopatra.  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Please start playing some thirties theme music.  [predicted:  SearchCreativeWork ; correct:  PlayMusic ]
listen to ballad songs from 1999  [predicted:  SearchCreativeWork ; correct:  PlayMusic ]
I want to eat in Wallis and Futuna and get a blizzard  [predicted:  BookRestaurant ; correct:  GetWeather ]
I'd like to hear Cry Baby Cry by Ally Kerr.  [predicted:  SearchCreativeWork ; correct:  PlayMusic ]
is there a Chinese Wikipedia  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
Play Rap Album One by Gene Vincent.  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
I want to listen to an album sorted by last, open Google Music and play Paulinho Da Viola.  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
What painting is on The Cure discography?  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
I want to read the book The Lion Sleeps Tonight  [predicted:  BookRestaurant ; correct:  SearchCreativeWork ]
find Partners in Action at Dickinson Theatres  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Lets go to a bistro in SD  [predicted:  GetWeather ; correct:  BookRestaurant ]
Do you have something like Impossible Is Nothing by Abderrahmane Abdelli?  [predicted:  GetWeather ; correct:  PlayMusic ]
where can Ifind You Know Me, a saga  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
I'd like to watch The Freckled Fish at 00:47:43 at Magic Johnson Theatres  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
find The Branded Woman  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
I want a list of showings of Days of Fire at Harkins Theatres  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Go to After Dusk They Come  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
play The Catholic Sun album  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
where can i see A Slice of Life  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Is F.I.S.T. at Malco Theatres  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
find start time in 12 seconds for National Bomb  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Find time for Ace of the Saddle  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Play best fourties from david izquierdo on album  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
Let me listen to an eighties ep.  [predicted:  SearchCreativeWork ; correct:  PlayMusic ]
I wish to hear the playlist Estado de ánimo on Last Fm.  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
Find me a creole restaurant  [predicted:  SearchCreativeWork ; correct:  BookRestaurant ]
Can i get todays showtimes for Le Flic de Beverly Hills 2?  [predicted:  BookRestaurant ; correct:  SearchScreeningEvent ]
I'd like to play the top ten Mickdeth on Google Music  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
Play me Memoirs of Modern Love: Curious Age  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Please get seating at Bouchon in Tonga for jimmie and chasity howard  [predicted:  SearchCreativeWork ; correct:  BookRestaurant ]
Can I get the showtimes for The Kitchen Toto at Cineplex Odeon Corporation.  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Search for TERA: The Exiled Realm of Arborea  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
Please call and reserve seating for march 6 at a diner in Kyrgyzstan  [predicted:  RateBook ; correct:  BookRestaurant ]
When can I see Salaam-e-Ishq: A Tribute To Love at B&B Theatres?  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Play These Four Walls by Yummy Bingham.  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
Where can I listen to Willy and the Poor Boys  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
Look for Fighting Vipers 2  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
play Off the Ground  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
find Shanghaï Express  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Look for the District 9 novel  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
Pull up Sweeney Todd - Il diabolico barbiere di Fleet Street  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
Where to get painting of Channel 4 News  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
what time can i see Girls to Marry  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
I'd like to see Confessions of an Indian Teenager  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
Plan an album by Roni Duani.  [predicted:  GetWeather ; correct:  PlayMusic ]
Play me East Side Story  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Start playing anything Mike Muir made in the thirties  [predicted:  SearchScreeningEvent ; correct:  PlayMusic ]
I'm wondering if I can watch Heyy Babyy at a cinema.  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Lets go and take elsa and I to Westhampton Beach in 1 hour to the american chinese cuisine at the tea house  [predicted:  GetWeather ; correct:  BookRestaurant ]
play the best album from the seventies  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
I'd like to eat at Old Dutch in 15 seconds in Northern Mariana Islands  [predicted:  SearchCreativeWork ; correct:  BookRestaurant ]
I'd like to see Apartment Hunting.  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
Nightwork soundtrack download  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
Where to get the movie Fear of a Black Hat  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
I want to go see A Simple Noodle Story in seventeen seconds at Goodrich Quality Theaters.  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
