Whens the next showing of The Game of Their Lives  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Where can I get the album So Fresh: The Hits of Spring 2011  [predicted:  AddToPlaylist ; correct:  SearchCreativeWork ]
I'd like to listen to mark rae  [predicted:  GetWeather ; correct:  PlayMusic ]
I want to give A Mortal Flower a two  [predicted:  BookRestaurant ; correct:  RateBook ]
When and where can I watch National Priority?  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Lets go to a steakhouse before we go to the pool  [predicted:  SearchCreativeWork ; correct:  BookRestaurant ]
Is there going to be a depression in my current location on nov. the ninth  [predicted:  RateBook ; correct:  GetWeather ]
Play Party Through The Decades on Deezer  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
Where is Journal of Geriatric Psychiatry and Neurology  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
I want to see Teeny Little Super Guy at Malco Theatres  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
I'd like to watch The Slender Thread at 6 PM  [predicted:  BookRestaurant ; correct:  SearchScreeningEvent ]
Play song Softly  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Locate me the novel entitled Isthmus.  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
Find me a coffeehouse for nine in Indiana that has access to a pool  [predicted:  SearchCreativeWork ; correct:  BookRestaurant ]
Find me the East Asia Image Collection movie.  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
restaurant named The Palm in Tennyson MI  [predicted:  GetWeather ; correct:  BookRestaurant ]
Is Fast and Loose playing  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Lets go eat in Friday 43 days from now  [predicted:  SearchCreativeWork ; correct:  BookRestaurant ]
Book The Electric Banana in Ewen for crystal and brittney.  [predicted:  GetWeather ; correct:  BookRestaurant ]
Book a restaurant in Three Points  [predicted:  RateBook ; correct:  BookRestaurant ]
Is it going to be cloudy in my current spot for dinner?  [predicted:  RateBook ; correct:  GetWeather ]
Find the schedule for The Kentuckians.  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
put deep purple on this is jennifer lopez  [predicted:  GetWeather ; correct:  AddToPlaylist ]
Search for The Sound of One Hand Clapping  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
will there be a snowstorm in eight months at Chattahoochee River National Recreation Area  [predicted:  SearchCreativeWork ; correct:  GetWeather ]
Please make reservations for me and my roommate somewhere in Bouvet Island  [predicted:  SearchCreativeWork ; correct:  BookRestaurant ]
Give this book a 2.  [predicted:  BookRestaurant ; correct:  RateBook ]
Will it rain in Blissfield Namibia nine hours 1 minute and one second from now?  [predicted:  BookRestaurant ; correct:  GetWeather ]
I want to eat in Wallis and Futuna and get a blizzard  [predicted:  SearchCreativeWork ; correct:  GetWeather ]
Play The News Virginian song  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Where is Among the Great Apes with Michelle Yeoh playing and when  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Want to eat somewhere cold in the neighboring Antlers region on aug. 22  [predicted:  BookRestaurant ; correct:  GetWeather ]
I want to see Michel Strogoff  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Will it be overcast in my current location at twelve PM.  [predicted:  RateBook ; correct:  GetWeather ]
Is it going to get chillier in Kuwait  [predicted:  SearchCreativeWork ; correct:  GetWeather ]
I want to see Train  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Will it be sunny at three pm in my current position  [predicted:  RateBook ; correct:  GetWeather ]
Will it get hotter around elevenses in KS?  [predicted:  SearchCreativeWork ; correct:  GetWeather ]
I'd like to watch Abbott and Costello Meet the Keystone Kops at Amco Entertainment at 04:08:11 AM  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Give me a list of films that play in the neighbourhood  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
will it get warmer in Centenary around the Evening?  [predicted:  SearchCreativeWork ; correct:  GetWeather ]
Is Dummy playing at two a.m.?  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
show weather forcast here at 19  [predicted:  SearchCreativeWork ; correct:  GetWeather ]
Can you find the movie Accidentally in Love  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
Will there be rain next year in New Hampshire?  [predicted:  SearchCreativeWork ; correct:  GetWeather ]
Where can I see Getting There: Sweet 16 and Licensed to Drive  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Show me when and where I can see Song of Summer  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
When can I see The Crew of the Dora  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
Can you get seating for 1 person at a cafeteria in Pauls Crossroads  [predicted:  GetWeather ; correct:  BookRestaurant ]
Put The Silent Enigma album by Yoko Kanno  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
Go to Mick Fleetwood on my Vimeo  [predicted:  GetWeather ; correct:  PlayMusic ]
Will it get hotter in the city of Ashford?  [predicted:  SearchCreativeWork ; correct:  GetWeather ]
Show me the movie Operetta for the Theatre Organ  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
play Print the Legend soundtrack  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Please search for Willy and the Poor Boys song.  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Can you play me songs from the Estado de ánimo playlist?  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
What time is High Tide at Noon showing  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
When is The Devil with Hitler playing in Bow Tie Cinemas  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
what is the current spot forecast for far areas and warmer temps  [predicted:  RateBook ; correct:  GetWeather ]
I want to give this book zero  [predicted:  BookRestaurant ; correct:  RateBook ]
What is the weather close-by my current spot  [predicted:  RateBook ; correct:  GetWeather ]
Where is Chips in Crouch  [predicted:  GetWeather ; correct:  BookRestaurant ]
Is it cold in the current location more than it was in 3 years  [predicted:  RateBook ; correct:  GetWeather ]
find Berlin to the Samba Beat  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Find The Sentimental Bloke novel  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
renee sanders, marlene and jewel want to go to a gastropub in the spa  [predicted:  SearchCreativeWork ; correct:  BookRestaurant ]
I'm looking to get a seat at a brasserie in Togo.  [predicted:  SearchCreativeWork ; correct:  BookRestaurant ]
Will it get cold in Nevada seven weeks and a half from now?  [predicted:  SearchCreativeWork ; correct:  GetWeather ]
I want to go to the Freight House in Gabon  [predicted:  SearchCreativeWork ; correct:  BookRestaurant ]
Whens the next showing of The Game of Their Lives  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
When will So Happy Together begin playing?  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Look up The Collection Volume One novel  [predicted:  BookRestaurant ; correct:  SearchCreativeWork ]
What will the humidity be like on june eighteenth in my current location  [predicted:  RateBook ; correct:  GetWeather ]
When is Fine, Totally Fine playing?  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Will it be temperate in the current place?  [predicted:  RateBook ; correct:  GetWeather ]
Is it going to get chillier near Hocking State Forest  [predicted:  SearchCreativeWork ; correct:  GetWeather ]
Is Proudly She Marches playing anywhere?  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
I would like reservations for Giodi's in Piper AZ.  [predicted:  GetWeather ; correct:  BookRestaurant ]
I need a table in Uruguay in 213 days when it's chillier  [predicted:  BookRestaurant ; correct:  GetWeather ]
play the Discografia de The Pretty Reckless saga  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Where can I watch The Sword of Ali Baba at two p.m.?  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
I want to eat in Rowan Bay on a nice cloud less day  [predicted:  SearchCreativeWork ; correct:  GetWeather ]
Show me whether Iceland will be colder than it was last april  [predicted:  SearchCreativeWork ; correct:  GetWeather ]
I'd like to hear music that's popular from Trick-trick on the Slacker service  [predicted:  SearchCreativeWork ; correct:  PlayMusic ]
Play me a trailer for The North-West Passage  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
book in OH in Gurabo for velma and gloria  [predicted:  GetWeather ; correct:  BookRestaurant ]
I want to hear my Entre los Andes playlist.  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
I'd like to see the novel An Inquiry into the Good  [predicted:  BookRestaurant ; correct:  SearchCreativeWork ]
play Party Ben on Slacker  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
Rat Short Trips: A Christmas Treasury a 3  [predicted:  GetWeather ; correct:  RateBook ]
I wanna listen to Electroclash  [predicted:  GetWeather ; correct:  PlayMusic ]
Lets go far to The Wolseley in Maine  [predicted:  GetWeather ; correct:  BookRestaurant ]
For the book Icon of Evil  I rate a 2  [predicted:  BookRestaurant ; correct:  RateBook ]
I want the song Phrazes for the Young  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
I'd like showtimes for The Story of Wish You Were Here.  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
What is the cloud coverage in my current place  [predicted:  RateBook ; correct:  GetWeather ]
Where to buy book Bright Ambush  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
Are there any films around here  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
show me the movie called People and Masks Part 2  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
Will it get windy close by here?  [predicted:  SearchCreativeWork ; correct:  GetWeather ]
play the Caps Lock trailer  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Find a restaurant in FM that servec quiche  [predicted:  SearchCreativeWork ; correct:  BookRestaurant ]
at my current spot is it going to be hotter on Nov. the eighth  [predicted:  RateBook ; correct:  GetWeather ]
Search for Appalachian Journey  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
When can I see Ghost World  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
rate the book The Guernsey Literary and Potato Peel Pie Society a five  [predicted:  BookRestaurant ; correct:  RateBook ]
Where can I view the photograph Occasional Wife  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
Please look up the song The Mad Magician.  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
rate the book series Sons of Destiny a five  [predicted:  BookRestaurant ; correct:  RateBook ]
Find a pub for me in FM  [predicted:  SearchCreativeWork ; correct:  BookRestaurant ]
Play Keep Their Heads Ringin’  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
what is the current place forecast  [predicted:  RateBook ; correct:  GetWeather ]
Let me know when I can watch Actrices.  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
table for 6 at a bar  [predicted:  RateBook ; correct:  BookRestaurant ]
Will it be hotter at my current place at 02:22:32 pm  [predicted:  RateBook ; correct:  GetWeather ]
I want to book a restaurant in 40 weeks in Iowa.  [predicted:  BookRestaurant ; correct:  GetWeather ]
I want to eat in Ramona  [predicted:  SearchCreativeWork ; correct:  BookRestaurant ]
Is there a storm in New Mexico in Fort Sumner  [predicted:  SearchCreativeWork ; correct:  GetWeather ]
How to buy picture of Agent Hamilton: But Not If It Concerns Your Daughter  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
hannah lewis and chelsea want to go to a cafe in Botswana on Apr. the seventeenth, 2024  [predicted:  SearchCreativeWork ; correct:  BookRestaurant ]
Can I get the Butterfly Crush showings  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
Find the Ghostly Swim 2 book  [predicted:  BookRestaurant ; correct:  SearchCreativeWork ]
Find the schedule for The Tooth Will Out at sunrise.  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Starting in one minute, please give me a hourly update as to whether it is foggy in Hallsville, Wallis and Futuna  [predicted:  BookRestaurant ; correct:  GetWeather ]
Play a song by Electric Tones from their Kurutta Taiyō album on Last Fm  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
Locate the best pub in Apache Junction  [predicted:  GetWeather ; correct:  BookRestaurant ]
I'd like to go to the popular bistro in OH  [predicted:  SearchCreativeWork ; correct:  BookRestaurant ]
I would like to hear something from Groove Shark  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
Is it going to get any hotter in Kerrick?  [predicted:  SearchCreativeWork ; correct:  GetWeather ]
Will it get windy this week-end in Selva Jedediah Smith?  [predicted:  SearchCreativeWork ; correct:  GetWeather ]
I want to eat panisses the nearby cafeteria in Naytahwaush  [predicted:  SearchCreativeWork ; correct:  BookRestaurant ]
Will it get chillier in Las Lomas, British Virgin Islands on Nov. the 21st?  [predicted:  SearchCreativeWork ; correct:  GetWeather ]
Let me hear Wintley Phipps top fifty album.  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
Show me a forecast for Malaysia  [predicted:  SearchCreativeWork ; correct:  GetWeather ]
I want to book a restaurant in Neshanic Station Nigeria for 06:18:13 pm  [predicted:  BookRestaurant ; correct:  GetWeather ]
Play the Food Uncut soundtrack  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
play The Sea Cabinet  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
show freezing forcast now within the same area in North Dakota  [predicted:  SearchCreativeWork ; correct:  GetWeather ]
I'd like to have southeastern brazilian at the pub in Dominica  [predicted:  GetWeather ; correct:  BookRestaurant ]
put Joseph Utsler on All Out 70s  [predicted:  GetWeather ; correct:  AddToPlaylist ]
Pull up Mafia: The City of Lost Heaven  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
Is it warm in the current spot?  [predicted:  RateBook ; correct:  GetWeather ]
I'd like to visit a pizzeria with a pool at fourteen o'clock.  [predicted:  GetWeather ; correct:  BookRestaurant ]
I'd like to watch A Storm in the Stars at North American Cinemas  [predicted:  BookRestaurant ; correct:  SearchScreeningEvent ]
Please search The World of Music painting.  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Play The Last Mile album  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Will there be snowfall at the current location at 3 o'clock?  [predicted:  RateBook ; correct:  GetWeather ]
When is Robotix playing?  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
My group of seven wants to eat at Yogurt Mountain in Slick tonight.  [predicted:  SearchCreativeWork ; correct:  BookRestaurant ]
What will the weather be in the current spot on 12/14/2023.  [predicted:  RateBook ; correct:  GetWeather ]
Wish to find the movie the Heart Beat  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
Can you play The Wanderer and His Shadow  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
What will it be like in the current place at midnight  [predicted:  RateBook ; correct:  GetWeather ]
I'd like to see Forgetting the Girl.  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Book a cafeteria with wifi  [predicted:  GetWeather ; correct:  BookRestaurant ]
need a table now somewhere nearby Petit Manan National Wildlife Refuge  [predicted:  BookRestaurant ; correct:  GetWeather ]
play the Baldur’s Gate II: Throne of Bhaal saga  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Will it be colder in the Apache-Sitgreaves National Forest at 6 Pm .  [predicted:  RateBook ; correct:  GetWeather ]
Will it get chillier in North Creek Forest?  [predicted:  SearchCreativeWork ; correct:  GetWeather ]
Find the schedule for Success.  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Show me the forecast for Wisconsin  [predicted:  SearchCreativeWork ; correct:  GetWeather ]
play A Box of Birds trailer  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
how's the forecast for my current spot  [predicted:  RateBook ; correct:  GetWeather ]
Please get seating for me and my children  [predicted:  SearchCreativeWork ; correct:  BookRestaurant ]
Will it be freezing today in Delaware and Lehigh National Heritage Corridor?  [predicted:  SearchCreativeWork ; correct:  GetWeather ]
I want to read the novel Love Is in Control  [predicted:  BookRestaurant ; correct:  SearchCreativeWork ]
Please get me seating at the tavern in Red Lick, Michigan  [predicted:  SearchCreativeWork ; correct:  BookRestaurant ]
When and where can I see A Film with Me in It  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
give me something from the fifties  [predicted:  GetWeather ; correct:  PlayMusic ]
Will it be cloudy one hour from now in my current position  [predicted:  RateBook ; correct:  GetWeather ]
Let me get reservations at a place neighboring Indonesia on August the nineteenth.  [predicted:  SearchCreativeWork ; correct:  BookRestaurant ]
Make me a reservation for elvira and I in Brazil  [predicted:  GetWeather ; correct:  BookRestaurant ]
Will it be overcast during meal time in NH?  [predicted:  SearchCreativeWork ; correct:  GetWeather ]
Is Jappeloup showing at Bow Tie Cinemas  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
play the album The Outpost  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
I need a table at a restaurant in Montserrat  [predicted:  BookRestaurant ; correct:  GetWeather ]
Locate a bakery in Rockport, Federated States Of Micronesia that serves olives  [predicted:  SearchCreativeWork ; correct:  BookRestaurant ]
What will the humidity be in the current spot at 15:19:29?  [predicted:  RateBook ; correct:  GetWeather ]
Will it feel nicer in Finland or New Mexico today  [predicted:  SearchCreativeWork ; correct:  GetWeather ]
Is Chronicle of My Mother showing at the nearest cinema in 1 minute and 8 seconds.  [predicted:  BookRestaurant ; correct:  SearchScreeningEvent ]
show the schedule of Unborn but Forgotten  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
I would like to hear The Worst Is Yet To Come.  [predicted:  GetWeather ; correct:  PlayMusic ]
I'd like to rate My Beloved World two points  [predicted:  BookRestaurant ; correct:  RateBook ]
I'd like to eat at the Original Spanish Kitchen in North Carolina  [predicted:  SearchCreativeWork ; correct:  BookRestaurant ]
Wish to fins a painting by Ju-On: The Beginning of the End  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
what is the overcast forecast for the current position starting on jul. 19, 2030  [predicted:  RateBook ; correct:  GetWeather ]
What films are being shown at the National Amusements  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
find Dipson Theatres with Swiss Army Man at 8 p.m.  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Find The Press of Atlantic City movie  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
Will it get colder in Camp San Saba, Latvia in one minute and eight seconds  [predicted:  BookRestaurant ; correct:  GetWeather ]
I need some Hardcore Hip Hop  [predicted:  GetWeather ; correct:  PlayMusic ]
Find the schedule for Heart Beats.  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
find The Angry Birds Movie  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
Ad Amal Hijazi tune to my Pura Vida  [predicted:  PlayMusic ; correct:  AddToPlaylist ]
I want to see Sympathy for the Devil  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Is it supposed to get chilly in Dewey  [predicted:  SearchCreativeWork ; correct:  GetWeather ]
book at Dutchess Manor in Portugal for 6  [predicted:  RateBook ; correct:  BookRestaurant ]
How cold will it get in Tajikistan around oct. eleventh?  [predicted:  SearchCreativeWork ; correct:  GetWeather ]
Can ten green bottles be added to brooklyn beat?  [predicted:  GetWeather ; correct:  AddToPlaylist ]
I want to listen to the song Only the Greatest  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
book in Vermont at The Maisonette  [predicted:  GetWeather ; correct:  BookRestaurant ]
Where is Shake Your Powder Puff playing  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Where can I locate Leo the Lion for purchase  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
What time is Death Nurse showing  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Please get me the Compulsive Disclosure song.  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
play some best selling rave songs  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
find The Dead Matter at Speakeasy Theaters  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
what theater is showing Trouble in Paradise at 00:45 am  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Will it be hot in the current place?  [predicted:  RateBook ; correct:  GetWeather ]
Will it get rainy like last March in Hagerman, Saint Vincent and the Grenadines?  [predicted:  SearchCreativeWork ; correct:  GetWeather ]
See if Netflix has the Lightspeed Champion album boris  [predicted:  SearchCreativeWork ; correct:  PlayMusic ]
I'd like to watch May Blossom  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
I want to take my mom and I to the tea house  [predicted:  SearchCreativeWork ; correct:  BookRestaurant ]
I'd like to listen to Space music  [predicted:  SearchCreativeWork ; correct:  PlayMusic ]
Will it be humid at the current location one minute from now?  [predicted:  RateBook ; correct:  GetWeather ]
I want to hear Shooby Taylor's Tearing Up The Album Charts.  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
Play the song Aura II: The Sacred Rings  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
I want to listen to a concerto from Timour Moutsouraev.  [predicted:  SearchCreativeWork ; correct:  PlayMusic ]
what is the 7 day for Cheat Canyon Wildlife Management Area  [predicted:  SearchCreativeWork ; correct:  GetWeather ]
Let's listen to Matthew Shipp.  [predicted:  GetWeather ; correct:  PlayMusic ]
Can you find me The Ridiculous 6 book?  [predicted:  BookRestaurant ; correct:  SearchCreativeWork ]
I'd like to watch Apocalypse 2024  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
Where can I see Joy of Learning?  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
find the movie You Must First Learn to Draw the Real  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
Look up Applied Linguistics  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
is it going to blizzard at my current position  [predicted:  RateBook ; correct:  GetWeather ]
SCORE:  2847 / 3140  ( 0.9066878980891719 )
How snowy will it be in this current place on Feb. first, 2034?  [predicted:  RateBook ; correct:  GetWeather ]
Rate Therapy a zero  [predicted:  GetWeather ; correct:  RateBook ]
Put What Color Is Your Sky by Alana Davis on the stereo.  [predicted:  GetWeather ; correct:  PlayMusic ]
Will it be colder in the Apache-Sitgreaves National Forest at 6 Pm .  [predicted:  RateBook ; correct:  GetWeather ]
play Bill Evans album The Best Of The 12" Mixes  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
I'd like to put qriii onto songs to sing in the car.  [predicted:  SearchCreativeWork ; correct:  AddToPlaylist ]
Please include danni bassan in my Perfect Concentration  [predicted:  SearchCreativeWork ; correct:  AddToPlaylist ]
Start playing something off Spotify  [predicted:  SearchCreativeWork ; correct:  PlayMusic ]
Where and when is Polish Economy playing?  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Lets hear some booty bass  [predicted:  GetWeather ; correct:  PlayMusic ]
Can you give me a local and current movie schedule  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
I want to go to the Freight House in Gabon  [predicted:  SearchCreativeWork ; correct:  BookRestaurant ]
show chillier conditions next week in Camp Bird  [predicted:  SearchCreativeWork ; correct:  GetWeather ]
find Wild at Heart  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Play an album from the fourties, new first.  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
Want to eat somewhere cold in the neighboring Antlers region on aug. 22  [predicted:  BookRestaurant ; correct:  GetWeather ]
Include Hermann Baumann in my Texas Red Dirt list  [predicted:  SearchCreativeWork ; correct:  AddToPlaylist ]
The ultimate 90s needs avant que l’ombre à bercy in it.  [predicted:  GetWeather ; correct:  AddToPlaylist ]
show movie The Skeptic – Das teuflische Haus  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
Where can I purchase the Twenty Chickens for a Saddle saga?  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
Will it be foggy in 1 hour and 1 minute from now in OK  [predicted:  RateBook ; correct:  GetWeather ]
Find a table close by in the downtown area for sherri and I  [predicted:  SearchCreativeWork ; correct:  BookRestaurant ]
I want to hear Box Of Rain by Skeets Mcdonald  [predicted:  SearchCreativeWork ; correct:  PlayMusic ]
Plays some akb48 on Youtube  [predicted:  GetWeather ; correct:  PlayMusic ]
I want to give The Cat Who Walks Through Walls a 1  [predicted:  BookRestaurant ; correct:  RateBook ]
does Mexican Werewolf start at three am  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
Start playing my Disney playlist.  [predicted:  SearchCreativeWork ; correct:  PlayMusic ]
Find a table somewhere for me and my step mother in Graniteville DE  [predicted:  SearchCreativeWork ; correct:  BookRestaurant ]
I'd like to watch Army at Wanda Group  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
show weather while Sunset in the same area in South Carolina  [predicted:  SearchScreeningEvent ; correct:  GetWeather ]
Estelle should be on my spring playlist  [predicted:  GetWeather ; correct:  AddToPlaylist ]
Where to buy Unarchigal  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
I want to reserve a gastropub that has a spa.  [predicted:  SearchCreativeWork ; correct:  BookRestaurant ]
I'd like to hear Don Airey's Gonna Raise Hell  [predicted:  SearchCreativeWork ; correct:  PlayMusic ]
Need to see if there will be fog  [predicted:  SearchCreativeWork ; correct:  GetWeather ]
put once bitten twice bitten into the pulse of americana  [predicted:  GetWeather ; correct:  AddToPlaylist ]
Will it get foggy in Spring Hill?  [predicted:  SearchCreativeWork ; correct:  GetWeather ]
want to eat somewhere windy in NM  [predicted:  SearchCreativeWork ; correct:  GetWeather ]
Lets eat now somewhere in Roach  [predicted:  GetWeather ; correct:  BookRestaurant ]
find the movie Yoshimi Battles the Hip-Hop Robots  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
Will there be a snowstorm in NC 6 years from now  [predicted:  RateBook ; correct:  GetWeather ]
Play my Masters of Metal playlist on Spotify  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
I'd like to hear one of Eric Clapton's most popular melody on Pandora.  [predicted:  BookRestaurant ; correct:  PlayMusic ]
Reserve me a resturant for 5 at seventeen o'clock  [predicted:  GetWeather ; correct:  BookRestaurant ]
I need a table in Uruguay in 213 days when it's chillier  [predicted:  BookRestaurant ; correct:  GetWeather ]
Where is Road to the Stage playing  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Let me get reservations at a place neighboring Indonesia on August the nineteenth.  [predicted:  SearchCreativeWork ; correct:  BookRestaurant ]
What time does Military history of African Americans play  [predicted:  PlayMusic ; correct:  SearchScreeningEvent ]
play the best Becca  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
I want to hear the sound track to Mary Macgregor new songs on Iheart  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
I'd like to go to the popular bistro in OH  [predicted:  SearchCreativeWork ; correct:  BookRestaurant ]
Where and when is Unleashed – Entfesselt playing  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Rate The Bishop a 1  [predicted:  GetWeather ; correct:  RateBook ]
I want to hear a full album on youtube by Jem Godfrey  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
find The Broken  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
book a cafe in Romania  [predicted:  GetWeather ; correct:  BookRestaurant ]
I want to play the game The Carny  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Look for the Itv.com song  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Where is The Beach of Lost Children playing  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
play the top five songs by Gad Elbaz  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
Is The King of the Kitchen playing in fifteen hours?  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Is it colder faraway from my current spot?  [predicted:  RateBook ; correct:  GetWeather ]
Play me the trailer for Star Control.  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Find the schedule for The Wild Eye.  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Play my Black Sabbath: The Dio Years playlist.  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
