Find me a soundtrack by Ghost Town Prophecy  [predicted:  BookRestaurant ; correct:  SearchCreativeWork ]
b'add The Little House We Built onto mucho rap'  [predicted:  PlayMusic ; correct:  AddToPlaylist ]
b'show me PhotoScape'  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
b'Where can I get Harry Potter and the Philosopher\xe2\x80\x99s Stone'  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
b'find movie titled Triumph of the Spirit'  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
b'Where can I watch Gaddar: The Traitor?'  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
b'find a saga with 0 rating called Poems for Midnight'  [predicted:  SearchCreativeWork ; correct:  RateBook ]
b'find Now and Forever'  [predicted:  RateBook ; correct:  SearchScreeningEvent ]
b'Show me KurdishMedia.com'  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
b'Find Changes: A Love Story.'  [predicted:  RateBook ; correct:  SearchCreativeWork ]
b'Forecast in Layhigh'  [predicted:  PlayMusic ; correct:  GetWeather ]
b'Find the Collision in Black painting'  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
b'Find FANatic.'  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
b'play The Trail Of The Lonesome Pine on Netflix'  [predicted:  SearchCreativeWork ; correct:  PlayMusic ]
b'Rate The Demolished Man a five'  [predicted:  PlayMusic ; correct:  RateBook ]
b'book a gibassier serving tavern in Vermont for nine'  [predicted:  PlayMusic ; correct:  BookRestaurant ]
b'When is Dead Birds playing?'  [predicted:  PlayMusic ; correct:  SearchScreeningEvent ]
b'add paula abdul to Classic Acoustic playlist'  [predicted:  PlayMusic ; correct:  AddToPlaylist ]
b'this album is the last and rated five'  [predicted:  SearchCreativeWork ; correct:  RateBook ]
b'Show the Sad Songs for Dirty Lovers album'  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
b'add scarlet begonias to my para entrenar playlist'  [predicted:  PlayMusic ; correct:  AddToPlaylist ]
b'Add Live from Aragon Ballroom to Trapeo'  [predicted:  PlayMusic ; correct:  AddToPlaylist ]
b'Find the Sing When You\xe2\x80\x99re Winning TV show'  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
b'Find the Envoy of Lucifer show'  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
b'rate The Odd Angry Shot five points'  [predicted:  PlayMusic ; correct:  RateBook ]
b'humidity not far from Colorado City on November the 7th, 2024'  [predicted:  BookRestaurant ; correct:  GetWeather ]
b'What type of movie  is Houston Press?'  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
b'Where can I see the movie Across the Line: The Exodus of Charlie Wright?'  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
b'Find me Shack Out on 101'  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
b'Show GD&TOP painting'  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
b'show creative soundtrack Pitch Black Brigade'  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
b'play the album Journeyman'  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
b'add track 70s smash hits to my'  [predicted:  PlayMusic ; correct:  AddToPlaylist ]
b'find The Little Death, a soundtrack'  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
b'What is A Romance of the Halifax Disaster'  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
b'painting of Live from the El Rey Theatre'  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
b'add paulinho da viola to my Radio Rock song list'  [predicted:  PlayMusic ; correct:  AddToPlaylist ]
b'rate Until I Find You four points'  [predicted:  PlayMusic ; correct:  RateBook ]
b'play my De Camino playlist'  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
b'overcast on State Holiday in Pawling Nature Reserve  and neighboring places'  [predicted:  PlayMusic ; correct:  GetWeather ]
b'add omnipresent to verano'  [predicted:  PlayMusic ; correct:  AddToPlaylist ]
b'Show The Blackberry Bush show'  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
b'play the Baldur\xe2\x80\x99s Gate II: Throne of Bhaal saga'  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
b'Play Always Pop Punk.'  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
b'Could I download Chavez: Inside the Coup?'  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
b'add Nothing Fancy to Meditate to Sounds of Nature playlist'  [predicted:  PlayMusic ; correct:  AddToPlaylist ]
b'I want to World of Warcraft: Tides of Darkness'  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
b'Find Phalcon.'  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
b'add Dunja, du to my ejercicio playlist'  [predicted:  PlayMusic ; correct:  AddToPlaylist ]
b'Weather for July 1 in UT'  [predicted:  PlayMusic ; correct:  GetWeather ]
b'Is Love, Marilyn playing'  [predicted:  PlayMusic ; correct:  SearchScreeningEvent ]
b'When is Watchman Vadivel playing?'  [predicted:  PlayMusic ; correct:  SearchScreeningEvent ]
b'What cinema has the closest movies'  [predicted:  PlayMusic ; correct:  SearchScreeningEvent ]
b'Locate the Koi to Senkyo to Chocolate television show'  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
b"I'm looking for a table of eight at The Alley."  [predicted:  SearchCreativeWork ; correct:  BookRestaurant ]
b'i want to see JLA Adventures: Trapped In Time'  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
b'find Friendship Way'  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
b'add reggaeton classics in playlist jennie, jennie'  [predicted:  PlayMusic ; correct:  AddToPlaylist ]
b'Find The Sentimental Bloke novel'  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
b'book a southeastern restaurant in Heard Island and McDonald Islands'  [predicted:  PlayMusic ; correct:  BookRestaurant ]
b'Show the Feed the Kitty painting'  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
b'Show Force of Nature'  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
b"I want to send music to ann's lists from SIR John Winston Ono Lennon, put it on her Infinite Indie Folk list"  [predicted:  PlayMusic ; correct:  AddToPlaylist ]
b'Add fuzzy logic to latin dinner'  [predicted:  PlayMusic ; correct:  AddToPlaylist ]
b'Add New Wave Blues to my Push Button Funk playlist'  [predicted:  PlayMusic ; correct:  AddToPlaylist ]
b'find Long Hello and Short Goodbye, a movie'  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
b'find Blood and Bones'  [predicted:  PlayMusic ; correct:  SearchScreeningEvent ]
b'Find Return to Krondor.'  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
b'Play ecstatic'  [predicted:  GetWeather ; correct:  PlayMusic ]
b'rate Orion in the Dying Time four stars'  [predicted:  PlayMusic ; correct:  RateBook ]
b'Find The Gill Deacon Show.'  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
b'Rate A Conflict of Visions zero points'  [predicted:  PlayMusic ; correct:  RateBook ]
b'Put this Lidell Townsell track on esenciales'  [predicted:  PlayMusic ; correct:  AddToPlaylist ]
b'Rate I Capture the Castle  0 points'  [predicted:  PlayMusic ; correct:  RateBook ]
b'find War & Peace Vol. 1'  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
b'Rate The Starship Trap 5 stars'  [predicted:  PlayMusic ; correct:  RateBook ]
b'Book Coney Island neighboring VA for marina and I.'  [predicted:  PlayMusic ; correct:  BookRestaurant ]
b'find Good Night, and Good Luck at a Cinemark Theatres'  [predicted:  PlayMusic ; correct:  SearchScreeningEvent ]
b'tell me how Bellwood weather is'  [predicted:  PlayMusic ; correct:  GetWeather ]
b'Download The Red Eagle TV show'  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
b'Put new page onto my latin jazz playlist.'  [predicted:  PlayMusic ; correct:  AddToPlaylist ]
b'play Top 100 Indie Tracks on Spotify on Lastfm'  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
b'find The Family Jams saga'  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
b'Find me a saga by Reproductions'  [predicted:  BookRestaurant ; correct:  SearchCreativeWork ]
b'Show The Critic game'  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
b'Play Listen To The Mocking Bird by Billy Martin on Youtube'  [predicted:  SearchCreativeWork ; correct:  PlayMusic ]
b'find Something Crucial, a book'  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
b'add gn to night vibes'  [predicted:  PlayMusic ; correct:  AddToPlaylist ]
b'play Yo Ho from the new york pops on Youtube'  [predicted:  RateBook ; correct:  PlayMusic ]
b'Find Conker: Live and Reloaded'  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
b'forecast for Thayer'  [predicted:  PlayMusic ; correct:  GetWeather ]
b'Find Spirit of the Bush.'  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
b"I'd like to see Forgetting the Girl."  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
b'Please find me the movies playing nearby'  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
b'TV series for The Thirty Nine Steps?'  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
b'Rate Therapy a zero'  [predicted:  PlayMusic ; correct:  RateBook ]
b'Add Jermaine Fagan to spring music'  [predicted:  PlayMusic ; correct:  AddToPlaylist ]
b'add Xenomania to operaci\xc3\xb3n bikini, please'  [predicted:  PlayMusic ; correct:  AddToPlaylist ]
b'find The Covered Wagon, a game'  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
b'Add judge jules to instrumental study'  [predicted:  PlayMusic ; correct:  AddToPlaylist ]
b'Show the Philosophy and Phenomenological Research saga'  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
b'Weather for Coaldale Arkansas'  [predicted:  PlayMusic ; correct:  GetWeather ]
b'Rate Half Past Human three stars'  [predicted:  PlayMusic ; correct:  RateBook ]
b'rate The Knife That Killed Me a three'  [predicted:  PlayMusic ; correct:  RateBook ]
b'add little pattie track in Nu Metal'  [predicted:  PlayMusic ; correct:  AddToPlaylist ]
b'Show the Immortal Grand Prix'  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
b'find The Flying Ace'  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
b'Play the Food Uncut soundtrack'  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
b'book north indian osteria at 12 am'  [predicted:  GetWeather ; correct:  BookRestaurant ]
b'Rate Star Wars - The Old Republic: Revan 1 points'  [predicted:  PlayMusic ; correct:  RateBook ]
b'book a Ukraine pub serves mineiro'  [predicted:  PlayMusic ; correct:  BookRestaurant ]
b'Get me a Johnny Cool photograph'  [predicted:  BookRestaurant ; correct:  SearchCreativeWork ]
b'When Religion Becomes Evil is only worth 1 stars'  [predicted:  PlayMusic ; correct:  RateBook ]
b'Is Winged Victory showing anywhere in one minute?'  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
b'play the song Memories Are My Only Witness'  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
b'play Iheart'  [predicted:  GetWeather ; correct:  PlayMusic ]
b'I want to see Fear Chamber.'  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
b'Looking for novel Build Engine'  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
b'add Butterfly House to nu metal'  [predicted:  PlayMusic ; correct:  AddToPlaylist ]
b'put artist Emre Aydin on Happy Birthday playlist'  [predicted:  PlayMusic ; correct:  AddToPlaylist ]
b'Forecast for Econfina'  [predicted:  PlayMusic ; correct:  GetWeather ]
b'find Shangha\xc3\xaf Express'  [predicted:  PlayMusic ; correct:  SearchScreeningEvent ]
b'Show me the movie Black Summer'  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
b'search for Space on My Hands'  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
b'rate Eleanor Rigby a 3'  [predicted:  PlayMusic ; correct:  RateBook ]
b'rate Mandela: The Authorised Biography a one'  [predicted:  PlayMusic ; correct:  RateBook ]
b'Show The Late Great Townes Van Zandt'  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
b'Show me the movie Sonic Triple Trouble'  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
b'Search for Comedy Underground with Dave Attell'  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
b'Show The drive of life album'  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
b'show Thousand Miles movie'  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
b'Find the Digital Champ: Battle Boxing'  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
b'Weather for Carlisle Gardens AS'  [predicted:  PlayMusic ; correct:  GetWeather ]
b'there is cloud in Genola South Sudan'  [predicted:  PlayMusic ; correct:  GetWeather ]
b'Weather in Grey Eagle on Feb. fifteenth, 2034'  [predicted:  PlayMusic ; correct:  GetWeather ]
b'Find The Coffin.'  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
b'humidity in Olvey New Hampshire'  [predicted:  PlayMusic ; correct:  GetWeather ]
b'Can you give me a local and current movie schedule'  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
b'this chronicle rates a one for First Contact?'  [predicted:  PlayMusic ; correct:  RateBook ]
b'Book the Ballylickey House for 7/16/2027.'  [predicted:  PlayMusic ; correct:  BookRestaurant ]
b'show game Alien Breed II - The Horror Continues'  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
b'weather on september 14 in Crofton Ukraine'  [predicted:  PlayMusic ; correct:  GetWeather ]
b'add zamiast burzy to Phunkadelic'  [predicted:  PlayMusic ; correct:  AddToPlaylist ]
b'put Kids of the Black Hole onto my 90s por siempre playlist'  [predicted:  SearchScreeningEvent ; correct:  AddToPlaylist ]
b'is there expected of rainfall in Horton of Connecticut'  [predicted:  PlayMusic ; correct:  GetWeather ]
b'play the song Red Lanta'  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
b'I want to go see A Troll in Central Park.'  [predicted:  BookRestaurant ; correct:  SearchScreeningEvent ]
b'is there a Chinese Wikipedia'  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
b'book me a restaurant in Aransas Pass in seventeen hours'  [predicted:  BookRestaurant ; correct:  GetWeather ]
b'book in Rocky Mound for four 1 hour from now'  [predicted:  GetWeather ; correct:  BookRestaurant ]
b'Look for Global Clubbing: The Netherlands.'  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
b'When is Scaramouche playing?'  [predicted:  PlayMusic ; correct:  SearchScreeningEvent ]
b'I want watch The Sun And The Moon'  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
b'Is A Charming Man playing at lunch time?'  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
b'add armand van helden to my black sabbath the ozzy years playlist'  [predicted:  PlayMusic ; correct:  AddToPlaylist ]
b'I need a SOUNDTRACK FOR STUDY purposes.'  [predicted:  BookRestaurant ; correct:  PlayMusic ]
b'Find the Return to Grace saga'  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
b'Play All The Way My Savior Leads Me on Spotify'  [predicted:  SearchScreeningEvent ; correct:  PlayMusic ]
b"Put sita on bettie's global funk playlist"  [predicted:  PlayMusic ; correct:  AddToPlaylist ]
b'find A Pet of the Cairo Zoo'  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
b'Please get seating at Bouchon in Tonga for jimmie and chasity howard'  [predicted:  PlayMusic ; correct:  BookRestaurant ]
b'add bonobo to queen playlis'  [predicted:  PlayMusic ; correct:  AddToPlaylist ]
b"Add to isabella's Club Hits this song"  [predicted:  PlayMusic ; correct:  AddToPlaylist ]
b'Is there snowstorm in LA?'  [predicted:  PlayMusic ; correct:  GetWeather ]
b'find Cover Her Face'  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
b'Find The Tyrant'  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
b'Show me Half a Life'  [predicted:  RateBook ; correct:  SearchCreativeWork ]
b'find Check In'  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
b'I want to know the temperate from January the twentieth in Brazil'  [predicted:  SearchScreeningEvent ; correct:  GetWeather ]
b'find Harry Potter and the Deathly Hallows \xe2\x80\x93 Part 2'  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
b'Rate Equal Affections one points'  [predicted:  PlayMusic ; correct:  RateBook ]
b'find Episodi di South Park, a trailer'  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
b'find Dipson Theatres with Swiss Army Man at 8 p.m.'  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
b'Play Andy Williams Sings Rodgers And Hammerstein by elica todorova'  [predicted:  SearchCreativeWork ; correct:  PlayMusic ]
b"Add Der K und K Kalypso aus Wien to vonda's playlist Pura Vida"  [predicted:  PlayMusic ; correct:  AddToPlaylist ]
b'find To Each His Own Cinema, an album'  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
b'For the saga The End of a Family Story I give 0 stars'  [predicted:  SearchCreativeWork ; correct:  RateBook ]
b'Rate Decoding Reality 0 points'  [predicted:  PlayMusic ; correct:  RateBook ]
b'4 points for Four Upbuilding Discourses, 1844'  [predicted:  PlayMusic ; correct:  RateBook ]
b'find Fox Theatres with The Caretaker'  [predicted:  PlayMusic ; correct:  SearchScreeningEvent ]
b'Info on show Natural Language and Linguistic Theory'  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
b'Add brad kane to the Pumping Iron soundtrack.'  [predicted:  PlayMusic ; correct:  AddToPlaylist ]
b'Put Strange Days onto the Fusion Fest playlist.'  [predicted:  PlayMusic ; correct:  AddToPlaylist ]
b'Play The Last Mile album'  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
b'forecast for Antelope Island and other spots within the same area'  [predicted:  BookRestaurant ; correct:  GetWeather ]
b'rate The Stone Key a 5'  [predicted:  PlayMusic ; correct:  RateBook ]
b'Play some rock & roll by Deezer.'  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
b'Show The Night Riders'  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
b'Add Blue Feather to the Nature Noise playlist'  [predicted:  PlayMusic ; correct:  AddToPlaylist ]
b'Add Family Tree to conexiones'  [predicted:  PlayMusic ; correct:  AddToPlaylist ]
b'the points given are five for Dust and Shadow'  [predicted:  PlayMusic ; correct:  RateBook ]
b'book at table at Forest Av restaurant close-by for 2 1 second from now'  [predicted:  GetWeather ; correct:  BookRestaurant ]
b'Find Trust in the Lord \xe2\x80\x93 Live Worship with Don Moen.'  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
b'Is this film going to be at Malco Theatres?'  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
b'Get soundtrack of Comprehensive Knowledge Archive Network'  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
b'Open Netflix and find a movie with the song heartful'  [predicted:  SearchCreativeWork ; correct:  PlayMusic ]
b'I need a book called Student Demonstration Time'  [predicted:  BookRestaurant ; correct:  SearchCreativeWork ]
b'Find the Blood Red Sandman'  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
b'give Death on the Nile a three'  [predicted:  PlayMusic ; correct:  RateBook ]
b'John Ross House restaurant in town and close-by'  [predicted:  PlayMusic ; correct:  BookRestaurant ]
b'What time will In the Name of the Son be playing?'  [predicted:  AddToPlaylist ; correct:  SearchScreeningEvent ]
b'Rate 12: The Elements of Great Managing a 0'  [predicted:  PlayMusic ; correct:  RateBook ]
b"add dwele to marguerite's eurovision 2016 playlist"  [predicted:  PlayMusic ; correct:  AddToPlaylist ]
b'Show the Mickey Mouse photograph'  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
b'find Wintersong game'  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
b'add doing all right to string theory'  [predicted:  PlayMusic ; correct:  AddToPlaylist ]
b'Weather in Park Layne'  [predicted:  PlayMusic ; correct:  GetWeather ]
b'rate The Plutonium Files a five'  [predicted:  PlayMusic ; correct:  RateBook ]
b'Add Ch\xc3\xa9r to the Still Got the Blues playlist'  [predicted:  PlayMusic ; correct:  AddToPlaylist ]
b'Give me the Spirit the Earth Aflame TV show.'  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
b'She me that movie schedule'  [predicted:  PlayMusic ; correct:  SearchScreeningEvent ]
b'Rate The Broken Spears with 2 stars.'  [predicted:  PlayMusic ; correct:  RateBook ]
b'Rate The Costs of Accidents a three'  [predicted:  PlayMusic ; correct:  RateBook ]
b'Add the Spirit of Life to na\xc3\xa7\xc3\xa3o reggae'  [predicted:  SearchCreativeWork ; correct:  AddToPlaylist ]
b'Find The Madwoman in the Attic.'  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
b'Play my Hot 50 playlist.'  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
b'Book a restaurant on June the fifth in Cavour.'  [predicted:  BookRestaurant ; correct:  GetWeather ]
b'The Cool World gets 4 points'  [predicted:  PlayMusic ; correct:  RateBook ]
b'add Deus Deceptor to Dance Workout'  [predicted:  PlayMusic ; correct:  AddToPlaylist ]
b'I rate American History: A Survey a 5'  [predicted:  PlayMusic ; correct:  RateBook ]
b'Look for Little Computer People'  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
b'Rate current series one'  [predicted:  PlayMusic ; correct:  RateBook ]
b'Where is Chips in Crouch'  [predicted:  PlayMusic ; correct:  BookRestaurant ]
SCORE:  2816 / 3140  ( 0.8968152866242038 )
b'add boyce and hart to Urban Hits playlist'  [predicted:  PlayMusic ; correct:  AddToPlaylist ]
b'play the song Culture and Psychology'  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
b'Which Cinemark Theatres is playing A Is for Atom?'  [predicted:  PlayMusic ; correct:  SearchScreeningEvent ]
b'I want to listen to the song First Time for Everything'  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
b'Please search Crossing Muddy Waters work'  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
b'Wish to hear the album Since I Saw You Last'  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
b'When is Beneath the Harvest Sky playing?'  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
b'Weather for apr. the thirteenth in Djibouti'  [predicted:  BookRestaurant ; correct:  GetWeather ]
b'add young maylay to Club Hits'  [predicted:  PlayMusic ; correct:  AddToPlaylist ]
b'Find me An Echo in the Darkness'  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
b'Rate Recovery Road a three'  [predicted:  PlayMusic ; correct:  RateBook ]
b"I'm looking for the best bistro that serves mongolian food that has room for two people in Marshall Islands."  [predicted:  SearchCreativeWork ; correct:  BookRestaurant ]
b'I want to eat in Rowan Bay on a nice cloud less day'  [predicted:  BookRestaurant ; correct:  GetWeather ]
b'Pull up Sweeney Todd - Il diabolico barbiere di Fleet Street'  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
b'Where is Winterheart\xe2\x80\x99s Guild'  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
b'Find the Blood Red Sandman'  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
b'Put Sayuri Iwata onto my complete chaos playlist.'  [predicted:  PlayMusic ; correct:  AddToPlaylist ]
b'Play my Trabajo Relax playlist'  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
b'Where is Belgium located'  [predicted:  PlayMusic ; correct:  GetWeather ]
b'Rate Colorless Tsukuru Tazaki and His Years of Pilgrimage one stars'  [predicted:  PlayMusic ; correct:  RateBook ]
b'Show The Critic game'  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
b'The trapaholics needs another artist added.'  [predicted:  PlayMusic ; correct:  AddToPlaylist ]
b'book at Tavern on the Green for in 1 minute in CO'  [predicted:  GetWeather ; correct:  BookRestaurant ]
b'Rate The Further Adventures of The Joker four stars'  [predicted:  PlayMusic ; correct:  RateBook ]
b'Buy Cannabis painting'  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
b'Gimme movie times.'  [predicted:  PlayMusic ; correct:  SearchScreeningEvent ]
b'Can I hear the song American High.'  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
b'What is Party All Night'  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
b'Is it nice in PW'  [predicted:  PlayMusic ; correct:  GetWeather ]
b'Add to playlist Confidence Boost Here Comes Santa Claus'  [predicted:  PlayMusic ; correct:  AddToPlaylist ]
b'Where is Feast II: No Limit playing'  [predicted:  PlayMusic ; correct:  SearchScreeningEvent ]
b'add vertexguy to Beach Vibes'  [predicted:  PlayMusic ; correct:  AddToPlaylist ]
b'add jim martin to Deathcore'  [predicted:  PlayMusic ; correct:  AddToPlaylist ]
b'What is A Romance of the Halifax Disaster'  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
b'Need the saga called the Black Lamp'  [predicted:  RateBook ; correct:  SearchCreativeWork ]
b'book now in KY at Loveless Cafe'  [predicted:  PlayMusic ; correct:  BookRestaurant ]
b'play Top 100 Indie Tracks on Spotify on Lastfm'  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
b'Show the Immortal Grand Prix'  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
b'Show The Ancient Art of War picture'  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
b'Give The Slap 0 stars'  [predicted:  PlayMusic ; correct:  RateBook ]
b'Where is Mother and Child plkaying'  [predicted:  PlayMusic ; correct:  SearchScreeningEvent ]
b'what day does the movie Star of the Circus play at ten PM'  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
b'book a turkish restaurant in DE'  [predicted:  PlayMusic ; correct:  BookRestaurant ]
b'Forecast for 02:22 pm Maldives'  [predicted:  PlayMusic ; correct:  GetWeather ]
b'weather for Lowden OK'  [predicted:  PlayMusic ; correct:  GetWeather ]
b'Add Love and Its Opposite to my Alta Frecuencia playlist.'  [predicted:  PlayMusic ; correct:  AddToPlaylist ]
b'Info on show Natural Language and Linguistic Theory'  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
b'Add viktor merjanov to california rock state'  [predicted:  PlayMusic ; correct:  AddToPlaylist ]
b'is Saint Robert hotter than Turkmenistan'  [predicted:  PlayMusic ; correct:  GetWeather ]
b'Add some jim diamond to peace'  [predicted:  PlayMusic ; correct:  AddToPlaylist ]
b'Add lisa dalbello to my 2015 CMA Awards Nominees list'  [predicted:  PlayMusic ; correct:  AddToPlaylist ]
b'find As Live as It Gets'  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
b'find Doggy Day School, an album'  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
b'Play something from my Songs For You, Not Your Parents playlist'  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
b'Add daniel zueras to lush vibes'  [predicted:  PlayMusic ; correct:  AddToPlaylist ]
b'add count von cosels obsession to Jazzy Romance'  [predicted:  PlayMusic ; correct:  AddToPlaylist ]
b'add a Pop song of Yoshiaki Hoshi'  [predicted:  PlayMusic ; correct:  AddToPlaylist ]
b"I'd like to know how the weather will be at 8 pm in Tennessee."  [predicted:  SearchScreeningEvent ; correct:  GetWeather ]
b'Play my Hype playlist on Youtube.'  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
b'Add George Thorogood to el mejor rock en espa\xc3\xb1ol'  [predicted:  PlayMusic ; correct:  AddToPlaylist ]
b'Rate 12: The Elements of Great Managing a 0'  [predicted:  PlayMusic ; correct:  RateBook ]
b'Is it foggy in Shelter Island'  [predicted:  PlayMusic ; correct:  GetWeather ]
b'When is Crime and Punishment U.S.A. showing?'  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
b'Add Sweet Black Angel to my Diarios de Bicicleta playlist'  [predicted:  PlayMusic ; correct:  AddToPlaylist ]
