Show me KurdishMedia.com  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
Where the Sky Meets the Land time playing  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Add rosemary clooney to Pura Vida playlist  [predicted:  PlayMusic ; correct:  AddToPlaylist ]
Pull up Mafia: The City of Lost Heaven  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
show More Questions Than Answers trailer  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
find Blood Moon: Year of the Wolf, a movie  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
Play Pride Of The Prairie from Johnny Burke  [predicted:  SearchCreativeWork ; correct:  PlayMusic ]
Play Tujiko Noriko's Ten Years And Running.  [predicted:  GetWeather ; correct:  PlayMusic ]
add olympia 1959 to from the delta to chicago  [predicted:  PlayMusic ; correct:  AddToPlaylist ]
Can you play The Wanderer and His Shadow  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
add richard sohl to dinner for 2  [predicted:  BookRestaurant ; correct:  AddToPlaylist ]
Play the song Aura II: The Sacred Rings  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Play Eve  [predicted:  GetWeather ; correct:  PlayMusic ]
Is The Love Guru playing  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
find Switching Channels  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Show Second Generation album  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Add nana tanimura  to a sudden rainstorm  [predicted:  BookRestaurant ; correct:  AddToPlaylist ]
where is The Adventure of the Yellow Curl Papers playing  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
play I Could Write A Book  [predicted:  SearchCreativeWork ; correct:  PlayMusic ]
Find Merry Arizona 97: Desert Stars Shine at Christmas  [predicted:  RateBook ; correct:  SearchCreativeWork ]
Play Andy Williams Sings Rodgers And Hammerstein by elica todorova  [predicted:  SearchCreativeWork ; correct:  PlayMusic ]
I want a song by john schlitt in the bajo las estrellas playlist.  [predicted:  PlayMusic ; correct:  AddToPlaylist ]
Find Make Your Play  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Add you are i am to the trending playlist  [predicted:  RateBook ; correct:  AddToPlaylist ]
Is Winged Victory showing anywhere in one minute?  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
play Hell House song  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
rate Covering: The Hidden Assault on Our Civil Rights 1 point  [predicted:  SearchCreativeWork ; correct:  RateBook ]
Put Mike McCready in the kitchen swagger playlist.  [predicted:  SearchScreeningEvent ; correct:  AddToPlaylist ]
Play Leanne Dobinson Right To Dream  [predicted:  RateBook ; correct:  PlayMusic ]
Find Four Songs  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Find the movie Splendor in the Grass  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
Is Sheikh Chilli playing  [predicted:  PlayMusic ; correct:  SearchScreeningEvent ]
Play song Softly  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
add country nights by A Journal of the Plague Year to playlist  [predicted:  SearchCreativeWork ; correct:  AddToPlaylist ]
Add Live from Aragon Ballroom to Trapeo  [predicted:  SearchCreativeWork ; correct:  AddToPlaylist ]
find Google News  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
add Olga Souza to virginia's femme fatale playlist  [predicted:  PlayMusic ; correct:  AddToPlaylist ]
put four in blue onto Ultimate 00s.  [predicted:  BookRestaurant ; correct:  AddToPlaylist ]
Play Dance With The Devil by Mr. Lordi  [predicted:  SearchCreativeWork ; correct:  PlayMusic ]
I want to World of Warcraft: Tides of Darkness  [predicted:  BookRestaurant ; correct:  SearchCreativeWork ]
add kansas city, missouri to Stress Relief  [predicted:  PlayMusic ; correct:  AddToPlaylist ]
What is the painting Forever Malcolm Young?  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
Play Inventions For The New Season  [predicted:  SearchCreativeWork ; correct:  PlayMusic ]
Is The Kiss playing  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
I want more francis healy in the Rockin' Vibes playlist.  [predicted:  SearchScreeningEvent ; correct:  AddToPlaylist ]
book now in KY at Loveless Cafe  [predicted:  GetWeather ; correct:  BookRestaurant ]
I want to go see A Troll in Central Park.  [predicted:  BookRestaurant ; correct:  SearchScreeningEvent ]
Add decade in the sun best of stereophonics to laundry.  [predicted:  SearchCreativeWork ; correct:  AddToPlaylist ]
Check which cinema currently runs When the Last Sword is Drawn.  [predicted:  PlayMusic ; correct:  SearchScreeningEvent ]
Add Der K und K Kalypso aus Wien to vonda's playlist Pura Vida  [predicted:  PlayMusic ; correct:  AddToPlaylist ]
Find GoodReader.  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
SCORE:  3038 / 3140  ( 0.967515923566879 )
find Do You Wanna Touch Me, a song  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
play Another Time  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Go to The Devil in the Deal:50 Secrets to Successful Dealmaking  [predicted:  AddToPlaylist ; correct:  SearchCreativeWork ]
Want to eat somewhere cold in the neighboring Antlers region on aug. 22  [predicted:  BookRestaurant ; correct:  GetWeather ]
Where is Road to the Stage playing  [predicted:  AddToPlaylist ; correct:  SearchScreeningEvent ]
Find The Garden of Eden  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
i want to see Return to Yesterday  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Find Think: act  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
I'd like to see the movie The Ooze  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
Hook me up with a song by Dancing Girl.  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
show schedule for Loved by Thousands  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
show me the movie Haunted Spooks  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
Show Minutes to Midnight photograph  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
weather near California  [predicted:  PlayMusic ; correct:  GetWeather ]
find the movie Everywhere But Home  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
does Mexican Werewolf start at three am  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
find Bump Off Lover  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
I'd like to hear the song Daimidaler: Prince vs Penguin Empire  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Play Clásicos del Hip Hop Español  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
Find the movie Poison Ivy: The New Seduction  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
Please open pandora for me  [predicted:  BookRestaurant ; correct:  PlayMusic ]
Want to know the hot weather situation in Netherlands december 4.  [predicted:  SearchScreeningEvent ; correct:  GetWeather ]
Find Earth Moving.  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
find a brunch time cinema nearest with The President Is Coming  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Play the song I Get Ideas as performed by Richard Kruspe  [predicted:  SearchCreativeWork ; correct:  PlayMusic ]
play Matt Walker tunes  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
I'd like to hear the song In a Reverie  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
find Shanghaï Express  [predicted:  PlayMusic ; correct:  SearchScreeningEvent ]
I want to know the temperate from January the twentieth in Brazil  [predicted:  BookRestaurant ; correct:  GetWeather ]
Find Reverence for me  [predicted:  BookRestaurant ; correct:  SearchCreativeWork ]
I'd like to see Jacksonville Daily Progress saga  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
I need work of Father Dearest  [predicted:  BookRestaurant ; correct:  SearchCreativeWork ]
play I Could Write A Book  [predicted:  SearchCreativeWork ; correct:  PlayMusic ]
Find The Madwoman in the Attic.  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
Play Water Under The Bridge by Hariprasad Chaurasia.  [predicted:  SearchCreativeWork ; correct:  PlayMusic ]
find Amanda Palmer Goes Down Under  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Go to BioRuby  [predicted:  BookRestaurant ; correct:  SearchCreativeWork ]
Can I hear the song American High.  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
find Karol: The Pope  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
I'd like to play the album Clarke  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
need a table now somewhere nearby Petit Manan National Wildlife Refuge  [predicted:  BookRestaurant ; correct:  GetWeather ]
play the song Evocation I – The Arcane Dominion  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Show me the movie Black Summer  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
I want to listen to the Music of Ghost in the Shell: Stand Alone Complex  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Add what child is this to Dark Dance Floors  [predicted:  SearchScreeningEvent ; correct:  AddToPlaylist ]
find Boyish Story  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Put Mike McCready in the kitchen swagger playlist.  [predicted:  SearchScreeningEvent ; correct:  AddToPlaylist ]
find Cascading Waterfall  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
I'd like to play the album Beloved Rogues  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
is Maalaea has chillier weather  [predicted:  PlayMusic ; correct:  GetWeather ]
What is Marty Stuart discography  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
find Friendship Way  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
add kansas city, missouri to Stress Relief  [predicted:  PlayMusic ; correct:  AddToPlaylist ]
add Coordinates of Confusion to bass face playlist  [predicted:  PlayMusic ; correct:  AddToPlaylist ]
book of Two for the Road  [predicted:  RateBook ; correct:  SearchCreativeWork ]
Find by title Champagne Showers  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
show movie schedule of The Big Mouth  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
want to eat somewhere windy in NM  [predicted:  BookRestaurant ; correct:  GetWeather ]
I want to book a restaurant in Neshanic Station Nigeria for 06:18:13 pm  [predicted:  BookRestaurant ; correct:  GetWeather ]
find She Monkeys  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
I need a table in Uruguay in 213 days when it's chillier  [predicted:  BookRestaurant ; correct:  GetWeather ]
show me PhotoScape  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
Where can I watch Gaddar: The Traitor?  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Where can I get Intel Array Building Blocks  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
I want to listen to the soundtrack Adobe Digital Editions  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Play POP GOES THE 80s.  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
What is the cheapest online price for the Instincts saga?  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
Play Pirates of the Caribbean Online  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
Was there rainfall last mar. in Greenbrier Egypt?  [predicted:  PlayMusic ; correct:  GetWeather ]
Where is Bernardsville?  [predicted:  SearchScreeningEvent ; correct:  GetWeather ]
I want to play the game Pesterminator: The Western Exterminator.  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
I'd like to see Confessions of an Indian Teenager  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
Give me weather information for Porcupine Mountains  [predicted:  SearchScreeningEvent ; correct:  GetWeather ]
Weather within the same area as Qatar at four  [predicted:  BookRestaurant ; correct:  GetWeather ]
find The Branded Woman  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Lets eat near Oakfield 17 seconds from now at Ted Peters Famous Smoked Fish  [predicted:  GetWeather ; correct:  BookRestaurant ]
Find Manual of Love 2.  [predicted:  AddToPlaylist ; correct:  SearchCreativeWork ]
I'd like to see weather conditions for Ennis.  [predicted:  SearchScreeningEvent ; correct:  GetWeather ]
play Takes Place In Your Work Space by Eddie Kendricks  [predicted:  BookRestaurant ; correct:  PlayMusic ]
find Blood and Bones  [predicted:  RateBook ; correct:  SearchScreeningEvent ]
I need a table at a restaurant in Montserrat  [predicted:  BookRestaurant ; correct:  GetWeather ]
find Cover Her Face  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Play Tujiko Noriko's Ten Years And Running.  [predicted:  GetWeather ; correct:  PlayMusic ]
Want to know the blizzard weather condition in Lake Catherine  [predicted:  SearchScreeningEvent ; correct:  GetWeather ]
add zombieland to Noctámbulo playlist  [predicted:  PlayMusic ; correct:  AddToPlaylist ]
Play Rei Momo newest album  [predicted:  SearchCreativeWork ; correct:  PlayMusic ]
add jim martin to Deathcore  [predicted:  PlayMusic ; correct:  AddToPlaylist ]
I want food in Zaleski  [predicted:  BookRestaurant ; correct:  GetWeather ]
find the movie Ircle  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
Show GD&TOP painting  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
play the album Journeyman  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
is there a program about The Last Flight?  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
play The Nubians of Plutonia trailer  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
find The Colour of the Chameleon  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Play Sound Of Love from Papa Mali  [predicted:  SearchCreativeWork ; correct:  PlayMusic ]
play Closer to the Sun album  [predicted:  AddToPlaylist ; correct:  SearchCreativeWork ]
find Andreas Hofer at elevenses  [predicted:  BookRestaurant ; correct:  SearchScreeningEvent ]
Play Praise The Lord And Pass The Ammunition.  [predicted:  SearchCreativeWork ; correct:  PlayMusic ]
Add raz b to drive playlist  [predicted:  SearchScreeningEvent ; correct:  AddToPlaylist ]
find Word of Mouth for me  [predicted:  BookRestaurant ; correct:  SearchCreativeWork ]
I want to eat in Wallis and Futuna and get a blizzard  [predicted:  BookRestaurant ; correct:  GetWeather ]
show me Chasing a Feeling painting  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
What is Party All Night  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
Rate trailer Geek Chic  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
find Trivial Pursuit: America Plays  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
I want to listen to Keep the Faith  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Find the movie Girl on the Trapeze  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
show game Alien Breed II - The Horror Continues  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
show schedule for Cin cin  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
Is temperature in Hanksville freezing ?  [predicted:  PlayMusic ; correct:  GetWeather ]
play Bliss Torn from Emptiness  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
I need a time of 21 minutes from now for here  [predicted:  BookRestaurant ; correct:  GetWeather ]
Play Remains of the Day  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
Find the Love And War soundtrack  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
Schedule the food truck to be at your place in the distant future.  [predicted:  GetWeather ; correct:  BookRestaurant ]
Play my Piano Ballads playlist.  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
find Long Hello and Short Goodbye, a movie  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
Play Andy Williams Sings Rodgers And Hammerstein by elica todorova  [predicted:  SearchCreativeWork ; correct:  PlayMusic ]
find Young Miss Holmes  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Find Next of Kin  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
I want to book a restaurant in 40 weeks in Iowa.  [predicted:  BookRestaurant ; correct:  GetWeather ]
Play the Seamus Heaney Collected Poems song  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Show Olympia 81 saga  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Play the Knockabout soundtrack  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Bombshells saga download  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
play Pop 2017 Picks  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
Find Family Feud novel  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Play the Electrochemical and Solid State Letters song  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
show me NeuroToxicology  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
find Projections, an album  [predicted:  AddToPlaylist ; correct:  SearchCreativeWork ]
SCORE:  3010 / 3140  ( 0.9585987261146497 )
I want to see Sympathy for the Devil  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
play No More Sorrow  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
Weather within the same area as Qatar at four  [predicted:  BookRestaurant ; correct:  GetWeather ]
is Maalaea has chillier weather  [predicted:  PlayMusic ; correct:  GetWeather ]
rate Until I Find You four points  [predicted:  SearchCreativeWork ; correct:  RateBook ]
Find Think: act  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
show schedule for Cin cin  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
Find by title Champagne Showers  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
find a saga with 0 rating called Poems for Midnight  [predicted:  SearchCreativeWork ; correct:  RateBook ]
I want to eat in Rowan Bay on a nice cloud less day  [predicted:  BookRestaurant ; correct:  GetWeather ]
There can I find The Beggar Maid playing  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
show cloud forcast in 1 hour in IA  [predicted:  BookRestaurant ; correct:  GetWeather ]
play The Song Remains The Same with Pandora  [predicted:  SearchCreativeWork ; correct:  PlayMusic ]
add Joelia Savitsjeva in 88 keys  [predicted:  PlayMusic ; correct:  AddToPlaylist ]
find Cascading Waterfall  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
I need a time of 21 minutes from now for here  [predicted:  BookRestaurant ; correct:  GetWeather ]
Include the album by Arthur Rhames in Urban Poet  [predicted:  PlayMusic ; correct:  AddToPlaylist ]
Play the soundtrack that Tom Bellamy contributed to  [predicted:  SearchCreativeWork ; correct:  PlayMusic ]
add jim martin to Deathcore  [predicted:  PlayMusic ; correct:  AddToPlaylist ]
is Saint Robert hotter than Turkmenistan  [predicted:  AddToPlaylist ; correct:  GetWeather ]
add jan smit in endorphin rush  [predicted:  PlayMusic ; correct:  AddToPlaylist ]
Add raz b to drive playlist  [predicted:  PlayMusic ; correct:  AddToPlaylist ]
Is Fast and Loose playing  [predicted:  PlayMusic ; correct:  SearchScreeningEvent ]
Is Love and Other Troubles playing  [predicted:  RateBook ; correct:  SearchScreeningEvent ]
Weather next year in Dominica  [predicted:  BookRestaurant ; correct:  GetWeather ]
book of Two for the Road  [predicted:  RateBook ; correct:  SearchCreativeWork ]
Is Convoy Busters playing  [predicted:  PlayMusic ; correct:  SearchScreeningEvent ]
Rate trailer Geek Chic  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
find Cover Her Face  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Does Wildorado have a hot temperature  [predicted:  RateBook ; correct:  GetWeather ]
I want food in Zaleski  [predicted:  BookRestaurant ; correct:  GetWeather ]
Play This Is: Animal Collective please  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
Play my Jazz Brasileiro playlist  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
show schedule for Loved by Thousands  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
Play the Knockabout soundtrack  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Book a restaurant on June the fifth in Cavour.  [predicted:  BookRestaurant ; correct:  GetWeather ]
Where can I watch The Mark in a cinema  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Is Proudly She Marches playing anywhere?  [predicted:  PlayMusic ; correct:  SearchScreeningEvent ]
find Hear Me Good  [predicted:  PlayMusic ; correct:  SearchScreeningEvent ]
Is The Missing Clerk playing  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
add Olga Souza to virginia's femme fatale playlist  [predicted:  PlayMusic ; correct:  AddToPlaylist ]
add bonobo to queen playlis  [predicted:  PlayMusic ; correct:  AddToPlaylist ]
Add nina hagen to essential folk  [predicted:  PlayMusic ; correct:  AddToPlaylist ]
Give Home from the Hill a 3  [predicted:  PlayMusic ; correct:  RateBook ]
I'd like to see Confessions of an Indian Teenager  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
what is the close by Greenland forecast  [predicted:  SearchScreeningEvent ; correct:  GetWeather ]
add Hello Central, Give Me Heaven to Indie Pop  [predicted:  SearchScreeningEvent ; correct:  AddToPlaylist ]
Whens the next showing of The Game of Their Lives  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
will Dick Tracy e il gas misterioso start twenty one hours from now  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
Play sugar baby by frank beard  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
Play my Hot 50 playlist.  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
where can i watch Willy Wonka & the Chocolate Factory  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Is Short of Love playing  [predicted:  AddToPlaylist ; correct:  SearchScreeningEvent ]
humidity not far from Colorado City on November the 7th, 2024  [predicted:  BookRestaurant ; correct:  GetWeather ]
Play my Under The Surface playlist.  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
I want to see Michel Strogoff  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Is The Little Irish Girl playing  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
add Koichi Sugiyama to WHM  [predicted:  PlayMusic ; correct:  AddToPlaylist ]
add Nothing Fancy to Meditate to Sounds of Nature playlist  [predicted:  PlayMusic ; correct:  AddToPlaylist ]
Is the start eim 23 hours twenty one minutes and one second from now for Morgan – A Suitable Case for Treatment at Santikos Theatres  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
play To Be Still  [predicted:  GetWeather ; correct:  PlayMusic ]
Add Bashful Brother Oswald to Love Moments  [predicted:  PlayMusic ; correct:  AddToPlaylist ]
find On Dress Parade  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
I need a 6 rating or five with something like a saga in The Best Science Fiction of the Year 13  [predicted:  BookRestaurant ; correct:  RateBook ]
play The Nubians of Plutonia trailer  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Give me weather information for Porcupine Mountains  [predicted:  SearchScreeningEvent ; correct:  GetWeather ]
find Projections, an album  [predicted:  AddToPlaylist ; correct:  SearchCreativeWork ]
Find Next of Kin  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Which cinema can I go to to see Lilly the Witch: The Dragon and the Magic Book?  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
find start time in 12 seconds for National Bomb  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
add Coordinates of Confusion to bass face playlist  [predicted:  PlayMusic ; correct:  AddToPlaylist ]
when can i see Dinosaur from the Deep  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
weather near California  [predicted:  PlayMusic ; correct:  GetWeather ]
find Careless Love  [predicted:  PlayMusic ; correct:  SearchScreeningEvent ]
I'd like to hear the song Daimidaler: Prince vs Penguin Empire  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
find Naomi & Wynonna: Love Can Build a Bridge  [predicted:  AddToPlaylist ; correct:  SearchScreeningEvent ]
find Heat Wave  [predicted:  PlayMusic ; correct:  SearchScreeningEvent ]
play Angela Winbush ep that is popular  [predicted:  BookRestaurant ; correct:  PlayMusic ]
I want to see Train  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
find Bump Off Lover  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
rate Covering: The Hidden Assault on Our Civil Rights 1 point  [predicted:  SearchCreativeWork ; correct:  RateBook ]
find Now and Forever  [predicted:  RateBook ; correct:  SearchScreeningEvent ]
Where can I see The Somme starting at 16:01:04?  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Do you have something like Impossible Is Nothing by Abderrahmane Abdelli?  [predicted:  SearchCreativeWork ; correct:  PlayMusic ]
1 points for Victory for Us Is to See You Suffer  [predicted:  SearchCreativeWork ; correct:  RateBook ]
find Set the Thames on Fire for seventeen  [predicted:  RateBook ; correct:  SearchScreeningEvent ]
Find Reverence for me  [predicted:  BookRestaurant ; correct:  SearchCreativeWork ]
find Half a Truth  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Is The Johnstown Flood playing  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
On oct. 26, I will need to make reservations to eat in Halibut Point State Park.  [predicted:  BookRestaurant ; correct:  GetWeather ]
SCORE:  3050 / 3140  ( 0.9713375796178344 )
Rate Seeing with the Eyes of Love 5 points  [predicted:  SearchCreativeWork ; correct:  RateBook ]
find Wild at Heart  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Show me the movie Black Summer  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
Show me Firepower  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
find Join the Dots: B-sides and Rarities  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Play Everybody Wins trailer  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Play Praise The Lord And Pass The Ammunition.  [predicted:  SearchCreativeWork ; correct:  PlayMusic ]
Find Returned to Your Mind.  [predicted:  AddToPlaylist ; correct:  SearchCreativeWork ]
find book In the Valley  [predicted:  BookRestaurant ; correct:  SearchCreativeWork ]
play To Be Still  [predicted:  GetWeather ; correct:  PlayMusic ]
Nightwork soundtrack download  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
I'd like t add Day After Day to evangeline's Party of the Century playlist  [predicted:  BookRestaurant ; correct:  AddToPlaylist ]
find the movie Chaos Is Me  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
Wish to hear the album Since I Saw You Last  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Play the Electrochemical and Solid State Letters song  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Show Olympia 81 saga  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Buy Cannabis painting  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Play Tujiko Noriko's Ten Years And Running.  [predicted:  GetWeather ; correct:  PlayMusic ]
Find Digimon Next  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Play my Electro Sur playlist.  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
I want Sugarfoot  [predicted:  BookRestaurant ; correct:  SearchCreativeWork ]
Is temperature in Hanksville freezing ?  [predicted:  PlayMusic ; correct:  GetWeather ]
Play pop  [predicted:  BookRestaurant ; correct:  PlayMusic ]
play Who Do You Think You Are by Magnifico with spotify  [predicted:  SearchCreativeWork ; correct:  PlayMusic ]
put four rating on The Raging Quiet  [predicted:  AddToPlaylist ; correct:  RateBook ]
Add daniel zueras to lush vibes  [predicted:  PlayMusic ; correct:  AddToPlaylist ]
Play tribal  [predicted:  BookRestaurant ; correct:  PlayMusic ]
On oct. 26, I will need to make reservations to eat in Halibut Point State Park.  [predicted:  BookRestaurant ; correct:  GetWeather ]
Find Journeyman.  [predicted:  BookRestaurant ; correct:  SearchCreativeWork ]
add Hello Central, Give Me Heaven to Indie Pop  [predicted:  SearchScreeningEvent ; correct:  AddToPlaylist ]
I want to listen to the soundtrack Adobe Digital Editions  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
