Play Inside The Eye by twinkie clark  [predicted:  SearchScreeningEvent ; correct:  PlayMusic ]
Find me Recorder and Randsell  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
play Darude  [predicted:  SearchScreeningEvent ; correct:  PlayMusic ]
Play the music of Filipp Bedrossowitsch Kirkorow's theme  [predicted:  SearchCreativeWork ; correct:  PlayMusic ]
Find a saga called The Devil Went Down to Georgia.  [predicted:  RateBook ; correct:  SearchCreativeWork ]
Play Circus Farm by Deana Carter.  [predicted:  SearchScreeningEvent ; correct:  PlayMusic ]
I need to book a restaurant in Utah in 5 years and a half from now  [predicted:  GetWeather ; correct:  BookRestaurant ]
Book a restaurant in Goshenville PR for October 16, 2038.  [predicted:  GetWeather ; correct:  BookRestaurant ]
Is The Little Irish Girl playing  [predicted:  RateBook ; correct:  SearchScreeningEvent ]
Find me the Lace and Whiskey soundtrack  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
I need to find the saga Trail of the Yukon  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
Look up The Adventure of the Blue Carbuncle  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
I'd like to see the saga Song of the Saurials  [predicted:  RateBook ; correct:  SearchCreativeWork ]
Rate Company for Gertrude 4 of 6  [predicted:  BookRestaurant ; correct:  RateBook ]
Is The Kiss playing  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Looking for Kepler scientific workflow system  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
Find a novel called A Perfect Day.  [predicted:  RateBook ; correct:  SearchCreativeWork ]
I need a table at The Apple Pan for reva and bernadine  [predicted:  GetWeather ; correct:  BookRestaurant ]
Please pull up the photograph entitled Another Period  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
Find a book called The Polish Bride.  [predicted:  RateBook ; correct:  SearchCreativeWork ]
Play me a 2003 song by Charles Neidich  [predicted:  SearchCreativeWork ; correct:  PlayMusic ]
Play my Piano Ballads playlist.  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
Find The Dressmaker.  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
Where can I find the saga Addicted to Love  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
Search for the game Difficult Loves  [predicted:  RateBook ; correct:  SearchCreativeWork ]
add Księga Urodzaju to abigail's Concentración  [predicted:  SearchScreeningEvent ; correct:  AddToPlaylist ]
Nightwork soundtrack download  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
Play Tomorrow  [predicted:  SearchScreeningEvent ; correct:  PlayMusic ]
I want the show The Sense Apparatus  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
Play Remains of the Day  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
is there a Chinese Wikipedia  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
Add The Hellacopters singles to my teen party  [predicted:  RateBook ; correct:  AddToPlaylist ]
find Cascading Waterfall  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
SCORE:  2786 / 3140  ( 0.8872611464968153 )
Play Entre Raices Y Antenas by Lynn & Wade Llp.  [predicted:  SearchScreeningEvent ; correct:  PlayMusic ]
I want to watch Manthan  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
Play Is This My World? by Leo Arnaud  [predicted:  SearchScreeningEvent ; correct:  PlayMusic ]
add jan smit in endorphin rush  [predicted:  PlayMusic ; correct:  AddToPlaylist ]
I need to find the So Nice soundtrack  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
Find Spirit of the Bush.  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
play Yo Ho from the new york pops on Youtube  [predicted:  SearchScreeningEvent ; correct:  PlayMusic ]
where is The Yellow Star: The Persecution of the Jews in Europe 1933-45 playing  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
I need a table in Uruguay in 213 days when it's chillier  [predicted:  BookRestaurant ; correct:  GetWeather ]
I'd like to hear the song Daimidaler: Prince vs Penguin Empire  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
looking for Liberalism and the Limits of Justice  [predicted:  RateBook ; correct:  SearchCreativeWork ]
book a restaurant for four in Trinidad and Tobago  [predicted:  GetWeather ; correct:  BookRestaurant ]
Give The Game of Silence 3 points  [predicted:  SearchScreeningEvent ; correct:  RateBook ]
add Olga Souza to virginia's femme fatale playlist  [predicted:  PlayMusic ; correct:  AddToPlaylist ]
I want to book a restaurant in Bosnia and Herzegovina.  [predicted:  GetWeather ; correct:  BookRestaurant ]
Play These Four Walls by Yummy Bingham.  [predicted:  SearchScreeningEvent ; correct:  PlayMusic ]
play A Box of Birds trailer  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Find a saga called The Devil Went Down to Georgia.  [predicted:  RateBook ; correct:  SearchCreativeWork ]
What is Marty Stuart discography  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
Show The Night Riders  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
Find the Ghostly Swim 2 book  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
I'm looking for Right on Track.  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
Can I hear the song American High.  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Book a restaurant in Medford Lakes on Sep. 8, 2033 for essie, tonya and I  [predicted:  GetWeather ; correct:  BookRestaurant ]
Play my Frescura Indie playlist  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
Want to see the Dungeons & Dragons: Chronicles of Mystara  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
Find the game BlogBridge  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
Find The Sentimental Bloke novel  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
Play Out From Under from Hurricane Chris  [predicted:  SearchScreeningEvent ; correct:  PlayMusic ]
I want to watch Escape the Fate discography  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
play shara worden  [predicted:  SearchScreeningEvent ; correct:  PlayMusic ]
Find me the Lace and Whiskey soundtrack  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
Find the album Orphan Girl at the Cemetery  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
I want to watch Strange Brother  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
Find me The Memorial  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
play Sivamani  [predicted:  SearchScreeningEvent ; correct:  PlayMusic ]
book a brasserie at Turtle Creek neighboring on march sixth, 2038 for eight  [predicted:  GetWeather ; correct:  BookRestaurant ]
find Wild at Heart  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Search for The Nations  [predicted:  RateBook ; correct:  SearchCreativeWork ]
Play Funky Heavy Bluesy  [predicted:  SearchScreeningEvent ; correct:  PlayMusic ]
I want to eat in Rowan Bay on a nice cloud less day  [predicted:  BookRestaurant ; correct:  GetWeather ]
Find Fragile Frontiers: The Secret History of Mumbai Terror Attacks.  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
Find Four Songs  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
play The Nubians of Plutonia trailer  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
I'm looking for the game called Summer of Fear  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
Show The Information: A History picture  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
play Latina  [predicted:  SearchScreeningEvent ; correct:  PlayMusic ]
I need work of Father Dearest  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
I'm looking for 1634: The Ram Rebellion.  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
Play cheerful playlist  [predicted:  SearchScreeningEvent ; correct:  PlayMusic ]
play Frankie Laine  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
Play Mea Culpa by Rahim Shah  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
Find me the Extreme Ghostbusters game.  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
show Crafty Hands saga  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
Play Rap Album One by Gene Vincent.  [predicted:  SearchScreeningEvent ; correct:  PlayMusic ]
Find the show Manthan  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
Add As I Was Going to St Ives to the fantasía playlist.  [predicted:  SearchScreeningEvent ; correct:  AddToPlaylist ]
is Saint Robert hotter than Turkmenistan  [predicted:  AddToPlaylist ; correct:  GetWeather ]
find Projections, an album  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
read the book Journal of the Bombay Natural History Society  [predicted:  RateBook ; correct:  SearchCreativeWork ]
find Me. I Am Mariah… The Elusive Chanteuse  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
Look up Applied Linguistics  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
I want more francis healy in the Rockin' Vibes playlist.  [predicted:  PlayMusic ; correct:  AddToPlaylist ]
find a Love song  [predicted:  RateBook ; correct:  SearchCreativeWork ]
Show me TV series Lego Star Wars 3: The Clone Wars  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
play the Baldur’s Gate II: Throne of Bhaal saga  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Please find me the Classified book.  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
Find Next of Kin  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
Rate Eight Days of Luke a five.  [predicted:  SearchScreeningEvent ; correct:  RateBook ]
find Cut the Rope  [predicted:  AddToPlaylist ; correct:  SearchCreativeWork ]
Play Post Garage Wave Revival playlist.  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
play Shake Your Head  [predicted:  SearchScreeningEvent ; correct:  PlayMusic ]
Find the Exile and the Kingdom  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
Show me The Courts of Chaos  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
Find Half a Sixpence photograph  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
add Armen Movsessian to this is skepta playlist  [predicted:  RateBook ; correct:  AddToPlaylist ]
Find the Love And War soundtrack  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
play Miguelito top charting album  [predicted:  SearchScreeningEvent ; correct:  PlayMusic ]
When is The Grip of Iron playing  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
find the show How to Meet the Lucky Stars  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
Play Acid Punk music.  [predicted:  SearchScreeningEvent ; correct:  PlayMusic ]
Find the Saison 7 de How I Met Your Mother show  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
I'd like to book a table at Black Horse Tavern in Georgia at 4 am  [predicted:  GetWeather ; correct:  BookRestaurant ]
Find The Dressmaker.  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
Play Who Knows Where The Time Goes? by Grigory Leps  [predicted:  SearchScreeningEvent ; correct:  PlayMusic ]
Show me Tears On My Pillow.  [predicted:  RateBook ; correct:  SearchCreativeWork ]
Show me the movie Black Summer  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
Show Olympia 81 saga  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
play Fereydoun Farrokhzad best track  [predicted:  SearchScreeningEvent ; correct:  PlayMusic ]
Rate trailer Geek Chic  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
put my Family Road Trip playlist  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
book a table in UT at Kearney for 6  [predicted:  GetWeather ; correct:  BookRestaurant ]
Show me It Might as Well Rain Until September  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
restaurant scandinavian in Grenada  [predicted:  GetWeather ; correct:  BookRestaurant ]
Show me the book F-1 Grand Prix Part II  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
play Moustapha Amar Make It Rain  [predicted:  GetWeather ; correct:  PlayMusic ]
Go to BioRuby  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
Find time for The Thirty Nine Steps  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Play Marche Lorraine by Rachael Lampa  [predicted:  SearchScreeningEvent ; correct:  PlayMusic ]
Play my Trabajo Relax playlist  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
find the book Time and Again  [predicted:  RateBook ; correct:  SearchCreativeWork ]
I'd like to see Confessions of an Indian Teenager  [predicted:  RateBook ; correct:  SearchCreativeWork ]
Play my playlist springtime  [predicted:  RateBook ; correct:  PlayMusic ]
Play Tyrants And Wraiths  [predicted:  SearchScreeningEvent ; correct:  PlayMusic ]
Where can I find the game KAAKAI Newspaper  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
find Long Hello and Short Goodbye, a movie  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
find Bump Off Lover  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
Add Tarkan to my madrugando playlist  [predicted:  PlayMusic ; correct:  AddToPlaylist ]
Find the schedule for Metallica Through the Never.  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Find me the show Krypto the Superdog  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
Show me the movie Operetta for the Theatre Organ  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
Book a restaurant in Three Points  [predicted:  GetWeather ; correct:  BookRestaurant ]
Where can I find Lonely Hearts  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
Add Progress to my clásica para todos playlist.  [predicted:  RateBook ; correct:  AddToPlaylist ]
Please find me the Olympia 74 soundtrack.  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
what do the cloud indicate in East Aurora  [predicted:  SearchScreeningEvent ; correct:  GetWeather ]
Does the forecast show a storm in Maquoketa, NH around July sixth?  [predicted:  SearchScreeningEvent ; correct:  GetWeather ]
I'm looking for Circus World.  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
Search for Man in a Garage  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
Search for Comedy Underground with Dave Attell  [predicted:  RateBook ; correct:  SearchCreativeWork ]
Play my Black Sabbath: The Dio Years playlist.  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
Plaly The Ladybug Transistor by Loreena Mckennitt.  [predicted:  SearchScreeningEvent ; correct:  PlayMusic ]
find the So This Is Goodbye saga  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
I'd like to see the show Migration  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
find Young Miss Holmes  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
play steve harris False Gestures For A Devious Public album  [predicted:  SearchScreeningEvent ; correct:  PlayMusic ]
add Irish Heartbeat to my Trapeo playlist  [predicted:  PlayMusic ; correct:  AddToPlaylist ]
Show Family Plot  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
Find the Labyrinthe game  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
Play celtic music  [predicted:  SearchScreeningEvent ; correct:  PlayMusic ]
Find the movie Splendor in the Grass  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
Show me the novel All I Need to Know  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
play Techno music  [predicted:  SearchScreeningEvent ; correct:  PlayMusic ]
play Roland Alphonso tunes that are most popular  [predicted:  SearchScreeningEvent ; correct:  PlayMusic ]
find PlayStation官方杂志, a song  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Open Netflix and find a movie with the song heartful  [predicted:  SearchCreativeWork ; correct:  PlayMusic ]
Play The Birds And The Bees by Ceca.  [predicted:  SearchScreeningEvent ; correct:  PlayMusic ]
looking for Free Four: Tobias Tells the Divergent Knife-Throwing Scene  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
Include Hermann Baumann in my Texas Red Dirt list  [predicted:  SearchScreeningEvent ; correct:  AddToPlaylist ]
Find the Pop Has Freed Us saga  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
show me NeuroToxicology  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
find Trivial Pursuit: America Plays  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
Find me Nights in Harlem  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
Find Conker: Live and Reloaded  [predicted:  RateBook ; correct:  SearchCreativeWork ]
Please find the movie Dancing Girl  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
add Vicky Leandros to my piano ballads playlist  [predicted:  PlayMusic ; correct:  AddToPlaylist ]
Play The Last Mile album  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
I want to listen to the song First Time for Everything  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Is The Love Guru playing  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Where is The Beach of Lost Children playing  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Look up The Reverse of the Medal  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
find the movie Everywhere But Home  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
find Cascading Waterfall  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
play Disney Sing It! – High School Musical 3: Senior Year  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
Play Progressive Metal.  [predicted:  SearchScreeningEvent ; correct:  PlayMusic ]
Find The Mary Van Note Show  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
Where can I find the saga Addicted to Love  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
Is Winged Victory showing anywhere in one minute?  [predicted:  BookRestaurant ; correct:  SearchScreeningEvent ]
I want to watch the show Frank Sinatra Sings the Select Sammy Cahn  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
Look up the Hard to Handle TV show  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
Find the Mystery Woman saga  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
look up Adobe Brackets soundtrack  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
play the album Journeyman  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
find Saison 7 de Sons of Anarchy  [predicted:  RateBook ; correct:  SearchCreativeWork ]
Rate Conan of the Red Brotherhood 2 of 6  [predicted:  BookRestaurant ; correct:  RateBook ]
Show me the Lights Out saga  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
Book the Chapter One in Bosnia and Herzegovina for patti, hester richardson and camille  [predicted:  GetWeather ; correct:  BookRestaurant ]
Play 30 Greatest Hits  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
find Cover Her Face  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
Find me the Princess Battles song  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
Add On with the Show to my Beast Mode playlist  [predicted:  GetWeather ; correct:  AddToPlaylist ]
Find by title Champagne Showers  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Get me the soundtrack from Sensation Comics.  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Hook me up with a song by Dancing Girl.  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
show me the movie Haunted Spooks  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
find Word of Mouth for me  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
find 300: March to Glory, a song  [predicted:  AddToPlaylist ; correct:  SearchCreativeWork ]
Play Modern Psychedelia.  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
I want to watch the movie Godslayer  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
Find the Steady as She Goes saga  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
Go to The Devil in the Deal:50 Secrets to Successful Dealmaking  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
Play Noche de chicas playlist  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
play the Caps Lock trailer  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
play Wanted by Erykah Badu  [predicted:  SearchScreeningEvent ; correct:  PlayMusic ]
Please find me the Projekt: The New Face of Goth.  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
I'm looking for River Disturbance  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
find Long Walk to Forever, a novel  [predicted:  RateBook ; correct:  SearchCreativeWork ]
I want to see the MAXIMUM TRANCE picture  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
Add angela au to the playlist radar latino  [predicted:  PlayMusic ; correct:  AddToPlaylist ]
show movie schedule of The Big Mouth  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
Was there rainfall last mar. in Greenbrier Egypt?  [predicted:  SearchScreeningEvent ; correct:  GetWeather ]
Find me Recorder and Randsell  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
What is the price for the album Praise the Lord and Pass the Ammunition?  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Where can I find the work It Was Raining That Night?  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
Book a restaurant in Almyra in 10 years  [predicted:  GetWeather ; correct:  BookRestaurant ]
Book Georgetown Cupcake in Keller for tea time.  [predicted:  GetWeather ; correct:  BookRestaurant ]
Play Elitsa Todorova music  [predicted:  SearchScreeningEvent ; correct:  PlayMusic ]
Find Once Upon a Time in the West  [predicted:  AddToPlaylist ; correct:  SearchCreativeWork ]
find Three in the Attic  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
play The Trail Of The Lonesome Pine on Netflix  [predicted:  SearchCreativeWork ; correct:  PlayMusic ]
Find Think: act  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
Play Ramakadha by Karl Davydov please  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
play the Discografia de The Pretty Reckless saga  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Show The Swan Princess  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
I want to watch the movie Maxime  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
Please find Pretty Baby  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
put Hugh Masekela onto my Music On Ibiza Guest List playlist  [predicted:  PlayMusic ; correct:  AddToPlaylist ]
Show the Immortal Grand Prix  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
Show The Singles Collection Volume 4  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
I want to listen to the soundtrack Adobe Digital Editions  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Play some soul music  [predicted:  RateBook ; correct:  PlayMusic ]
Play Still Life 1  [predicted:  SearchCreativeWork ; correct:  PlayMusic ]
Weather for the night time in New Mexico  [predicted:  SearchScreeningEvent ; correct:  GetWeather ]
Play Metal Crash Course playlist.  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
find The Flying Ace  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
find a book called Tron: Legacy Reconfigured  [predicted:  RateBook ; correct:  SearchCreativeWork ]
I want to eat supper at a Lesotho plaCE  [predicted:  GetWeather ; correct:  BookRestaurant ]
Find Five Came Back for me  [predicted:  RateBook ; correct:  SearchCreativeWork ]
Please search Cardin in Australia saga  [predicted:  RateBook ; correct:  SearchCreativeWork ]
Pull up the movie Toy and Help Yourself  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
Please pull up Nothing Feels Good  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
Fine a movie called Right Here Right Now.  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
Play While The Gate Is Open.  [predicted:  SearchScreeningEvent ; correct:  PlayMusic ]
book of Two for the Road  [predicted:  RateBook ; correct:  SearchCreativeWork ]
Find The Killing Fields.  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
play Escapada  [predicted:  SearchScreeningEvent ; correct:  PlayMusic ]
Play Remains of the Day  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
Where can I get Intel Array Building Blocks  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
show schedule for Loved by Thousands  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
show schedule for Cin cin  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
Play Contigo En La Distancia  [predicted:  SearchScreeningEvent ; correct:  PlayMusic ]
Show me The Atrocity Exhibition  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
add zamiast burzy to Phunkadelic  [predicted:  SearchScreeningEvent ; correct:  AddToPlaylist ]
Search for Informix Wingz  [predicted:  RateBook ; correct:  SearchCreativeWork ]
find Something Crucial, a book  [predicted:  RateBook ; correct:  SearchCreativeWork ]
Where can I find the Sounds to Consume album?  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
book me a restaurant in Aransas Pass in seventeen hours  [predicted:  BookRestaurant ; correct:  GetWeather ]
Get me information on The Riverfront Times  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
Play Tomtegubben Som Hade Snuva  [predicted:  SearchScreeningEvent ; correct:  PlayMusic ]
When is Spyforce playing?  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
I want the movie Perseo Miranda and his Theatre  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
play Another Time  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
Book me a table at a Tartinery Restaurant not far from my home in Elk Rapids.  [predicted:  GetWeather ; correct:  BookRestaurant ]
Play the Knockabout soundtrack  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
add Joelia Savitsjeva in 88 keys  [predicted:  PlayMusic ; correct:  AddToPlaylist ]
search for Pat and Margaret  [predicted:  RateBook ; correct:  SearchCreativeWork ]
Play Inside The Eye by twinkie clark  [predicted:  SearchScreeningEvent ; correct:  PlayMusic ]
add bonobo to queen playlis  [predicted:  SearchScreeningEvent ; correct:  AddToPlaylist ]
Add daniel zueras to lush vibes  [predicted:  SearchScreeningEvent ; correct:  AddToPlaylist ]
find The Covered Wagon, a game  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
add Dying Mapa I to Más Que Amigos  [predicted:  BookRestaurant ; correct:  AddToPlaylist ]
find Five Spanish Songs, a photograph  [predicted:  RateBook ; correct:  SearchCreativeWork ]
add sonntag to my Assassin's Creed  [predicted:  RateBook ; correct:  AddToPlaylist ]
is Cape Mount Nature Conservation Unit has storm weather  [predicted:  SearchScreeningEvent ; correct:  GetWeather ]
Look for the album Slave to the Grind  [predicted:  AddToPlaylist ; correct:  SearchCreativeWork ]
Info on show Natural Language and Linguistic Theory  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
show Andy Williams Sings Steve Allen TV show  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Lets take me, cherry and tracie to a Noyack bar  [predicted:  SearchCreativeWork ; correct:  BookRestaurant ]
I want the show The Sense Apparatus  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
show game Alien Breed II - The Horror Continues  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
Play my 70s Smash Hits playlist.  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
Play the Electrochemical and Solid State Letters song  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
