When can I see Journey to the End of the Night?  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Book a reservation for my babies and I  [predicted:  GetWeather ; correct:  BookRestaurant ]
Play music off the track Child Maurice  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
Need to see Mother Joan of the Angels in one second.  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
Need a creative work called Hit by Love  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
Is A Short Film About Killing at North American Cinemas  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
Play Pirates of the Caribbean Online  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
I want to hear some The Roches  [predicted:  GetWeather ; correct:  PlayMusic ]
Make me a reservation in Cedarburg at 0 pm  [predicted:  GetWeather ; correct:  BookRestaurant ]
Can you please find me the work, The Holy Man?  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
Where can I locate Leo the Lion for purchase  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
book a table at the Irma Hotel in Mount Repose  [predicted:  GetWeather ; correct:  BookRestaurant ]
I'd like to eat at ten PM. anywhere neighboring to our house  [predicted:  GetWeather ; correct:  BookRestaurant ]
when can i see Red Hot Tires  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
I want to see Shattered Image.  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Like to book a seat in Monaco for the Yankee Doodle Coffee Shop  [predicted:  GetWeather ; correct:  BookRestaurant ]
Reserve a place to eat on march fifteenth in China within the same area.  [predicted:  GetWeather ; correct:  BookRestaurant ]
Play music in the genre soundtrack  [predicted:  SearchCreativeWork ; correct:  PlayMusic ]
Lets eat near Oakfield 17 seconds from now at Ted Peters Famous Smoked Fish  [predicted:  GetWeather ; correct:  BookRestaurant ]
I am looking for a work called Carry You Home  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
I am looking for any creative work with the title of Journal of Pharmacy and Pharmacology  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
Looking for a creative work called Plant Ecology  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
Lets eat now somewhere in Roach  [predicted:  GetWeather ; correct:  BookRestaurant ]
Find a pub for me in FM  [predicted:  SearchCreativeWork ; correct:  BookRestaurant ]
Play something off my New Boots playlist  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
Proceed with music from 2003.  [predicted:  GetWeather ; correct:  PlayMusic ]
Book Georgetown Cupcake in Keller for tea time.  [predicted:  GetWeather ; correct:  BookRestaurant ]
Where can I watch Portrait of a Woman, Nude in 1 hour?  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
Can you please find me the work, Goodbye?  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
Will you pull up my Jueves de Antaño playlist  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
Play all music Alan released in 1997  [predicted:  GetWeather ; correct:  PlayMusic ]
Can you help me find Preaching to the Perverted?  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
Where can I see Travelling Light?  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
book a table in Mississippi on May nineteenth, 2034 for me, silvia and sandy  [predicted:  GetWeather ; correct:  BookRestaurant ]
Please look up for the work titled We Own The Night.  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
Book a reservation at a restaraunt in CT  [predicted:  GetWeather ; correct:  BookRestaurant ]
is Tomorrow at Dawn at Harkins Theatres  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
I want to watch Fist of the North Star 1 minute from now  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
I'd like to hear a track by Theo Keating.  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
play songs by Sarah Harding  [predicted:  GetWeather ; correct:  PlayMusic ]
Can you play The Wanderer and His Shadow  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
book a table at a Fried chicken restaurant  [predicted:  GetWeather ; correct:  BookRestaurant ]
When can I see Journey to the End of the Night?  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
play anything from 1970  [predicted:  GetWeather ; correct:  PlayMusic ]
Please find me Chance Pe Dance.  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
i want to see JLA Adventures: Trapped In Time  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
when can iw atch Great Balls of Fire! - Vampate di fuoco  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
I would like to book Thomas Hynes House for 6 in Minnesota  [predicted:  RateBook ; correct:  BookRestaurant ]
Where can I watch Hank Williams: The Show He Never Gave?  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
Make me a reservation for elvira and I in Brazil  [predicted:  GetWeather ; correct:  BookRestaurant ]
book a table in Fairview neighboring the area  [predicted:  GetWeather ; correct:  BookRestaurant ]
Can I get a table at The Fort?  [predicted:  GetWeather ; correct:  BookRestaurant ]
I want to dine in Luray  [predicted:  GetWeather ; correct:  BookRestaurant ]
What is the cheapest price I can pay for the DVD called The Darkest Cloud?  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
Play my Romántica playlist  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
find The Panic in Needle Park  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Please find me the work, Instrumental Directions.  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
Reserve me a resturant for 5 at seventeen o'clock  [predicted:  RateBook ; correct:  BookRestaurant ]
I want to see Those Kids from Town, when will it be showing?  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Where is Mother and Child plkaying  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
Can you search for Twilight Is Gone?  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
Please get me seating at the tavern in Red Lick, Michigan  [predicted:  GetWeather ; correct:  BookRestaurant ]
I'd like to reserve a table in Northcote.  [predicted:  GetWeather ; correct:  BookRestaurant ]
Can you book me a table at Windows on the World in Cokeville , MI?  [predicted:  GetWeather ; correct:  BookRestaurant ]
Play songs by Cheryl Wheeler  [predicted:  GetWeather ; correct:  PlayMusic ]
I'd like to hear some trip-hop  [predicted:  GetWeather ; correct:  PlayMusic ]
Find me a table for me and my grandkid in Union Square Cafe  [predicted:  GetWeather ; correct:  BookRestaurant ]
Please look up for the work, Black Box.  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
Can I get the showtimes for The Scarlet and the Black  at 12 pm.  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
I want to listen to Keep the Faith  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
Is You Will Meet a Tall Dark Stranger at Bow Tie Cinemas  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
Can i get todays showtimes for Le Flic de Beverly Hills 2?  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
I would like a table at a taverna with croquembouche for 1 minute from now  [predicted:  GetWeather ; correct:  BookRestaurant ]
I want to eat Louisiana Fried Chicken in McColl, IA  [predicted:  GetWeather ; correct:  BookRestaurant ]
play the music track of 1998  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
is there a program about The Last Flight?  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
Book a table at South Street Diner close to your teenager's college.  [predicted:  GetWeather ; correct:  BookRestaurant ]
When does Of Stars and Men play?  [predicted:  PlayMusic ; correct:  SearchScreeningEvent ]
I want a list of showings of Days of Fire at Harkins Theatres  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
Play something by Brian Chase.  [predicted:  GetWeather ; correct:  PlayMusic ]
Want to find a creative work called The Prayer  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
play songs by Sammy Fain  [predicted:  GetWeather ; correct:  PlayMusic ]
I want to see Fear Chamber.  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
book a table at Anstruther Fish Bar in FM  [predicted:  GetWeather ; correct:  BookRestaurant ]
Please reserve a spot at Ballachulish House.  [predicted:  GetWeather ; correct:  BookRestaurant ]
Play genre opera  [predicted:  GetWeather ; correct:  PlayMusic ]
Play my Black Sabbath: The Dio Years playlist.  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
Is The Umbrellas of Cherbourg playing near me?  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
I want to listen to the track Close To The Edge  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
I want to World of Warcraft: Tides of Darkness  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
What time does the next movie play around here  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Show me the work titled The Perfect Gentleman which is a song  [predicted:  AddToPlaylist ; correct:  SearchCreativeWork ]
Play music on the playlist Electronic Gaming  [predicted:  GetWeather ; correct:  PlayMusic ]
I have a party of 7 in East Timor  [predicted:  GetWeather ; correct:  BookRestaurant ]
book a party at their campus within the same area for churrascaria  [predicted:  GetWeather ; correct:  BookRestaurant ]
Is Brother at United Paramount Theatres  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
Listen to music from 1975  [predicted:  GetWeather ; correct:  PlayMusic ]
I'd like to book a table at Black Horse Tavern in Georgia at 4 am  [predicted:  GetWeather ; correct:  BookRestaurant ]
Please play me Jerry Lee Lewis's If You Say So track.  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
Let's hear stuff from Andrew Hewitt.  [predicted:  GetWeather ; correct:  PlayMusic ]
Please find me Glass Cloud – Single.  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
play The Sea Cabinet  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
in one hour find King of Hearts  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
reserve a spotat the food truck twelve weeks from now  [predicted:  GetWeather ; correct:  BookRestaurant ]
play drive playlist  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
look for the creative work Meltdown – Days of Destruction  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
Freud: A Life for Our Time deserves a solid 4  [predicted:  GetWeather ; correct:  RateBook ]
Play my 70s Smash Hits playlist.  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
find The Terror Within  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
what movie is playing at Showcase Cinemas  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Lets eat at Newport Creamery in Carnot  [predicted:  GetWeather ; correct:  BookRestaurant ]
Play the Seamus Heaney Collected Poems song  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Play music from artist Ashley  [predicted:  GetWeather ; correct:  PlayMusic ]
Find Fish Story  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Can you find me the work titled Music for Millions?  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
What theater is showing From Paris with Love and when?  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
play the song Evocation I – The Arcane Dominion  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
I'm looking for the show called The Origin of the Milky Way  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
What time does Johnny Got His Gun play  [predicted:  PlayMusic ; correct:  SearchScreeningEvent ]
Play the music from the playlist Get Lit  [predicted:  GetWeather ; correct:  PlayMusic ]
Find me showtimes for How I Unleashed World War II.  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
book Tartine in Mississippi for 5  [predicted:  RateBook ; correct:  BookRestaurant ]
Can you pull up The Sanford Herald  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
I want to book the Black Cat Bar in AR  [predicted:  GetWeather ; correct:  BookRestaurant ]
play Closer to the Sun album  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Where can I see No Time to Die?  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
Book me a reservation nearby my neighborhood  [predicted:  GetWeather ; correct:  BookRestaurant ]
Play playlist funtime  [predicted:  GetWeather ; correct:  PlayMusic ]
Please get seating for me and my children  [predicted:  GetWeather ; correct:  BookRestaurant ]
Can I get The Marine 2 showtimes.  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
Play the song Aura II: The Sacred Rings  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Find Secret Command.  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Book a reservation for an oyster bar  [predicted:  GetWeather ; correct:  BookRestaurant ]
Where can I find information on Brats in Battalions?  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
Where theater is playing The Ranger and the Lady at 10 AM  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
book The Kegs Drive-In in 37 weeks  in Saudi Arabia  [predicted:  SearchCreativeWork ; correct:  BookRestaurant ]
Plaly The Ladybug Transistor by Loreena Mckennitt.  [predicted:  GetWeather ; correct:  PlayMusic ]
Can you make a reservation for next year in Modesto for joanna and ella  [predicted:  GetWeather ; correct:  BookRestaurant ]
When is the next showing of Star Wars: The Clone Wars?  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
Where can I see The Prime Ministers: The Pioneers  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
What is the showtime for Arsho  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
book a table in Fiji for zero a.m  [predicted:  GetWeather ; correct:  BookRestaurant ]
I want to book Oregon Electric Station in North City.  [predicted:  GetWeather ; correct:  BookRestaurant ]
I want to see Medal for the General  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Please find me Happy Birthday BBC Two.  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
Play something by Chris Knight  [predicted:  GetWeather ; correct:  PlayMusic ]
book in Falkland Islands at Atomic Cafe  [predicted:  GetWeather ; correct:  BookRestaurant ]
Please find me the work, Earth Intruders.  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
Does The Yacoubian Building start at 08:39 pm  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
What time is a movie in the neighbourhood  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
I need a reservation in Pitcairn Islands for any restaurant  joint  [predicted:  GetWeather ; correct:  BookRestaurant ]
Can I get the showings for Mysterious Crossing?  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
Is there a creative work with the title The Lonesome Death of Buck McCoy  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
Find a table close by in the downtown area for sherri and I  [predicted:  GetWeather ; correct:  BookRestaurant ]
Find a reservation at Berowra Waters Inn in Australia in 2 years  [predicted:  GetWeather ; correct:  BookRestaurant ]
Put What Color Is Your Sky by Alana Davis on the stereo.  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
Want a table at Monty’s Hotel, Secunderabad  in the state of Vermont  [predicted:  GetWeather ; correct:  BookRestaurant ]
book a spot at Rimsky-Korsakoffee House in Mackville  [predicted:  GetWeather ; correct:  BookRestaurant ]
play the album The Outpost  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Can I listen to merengue style music?  [predicted:  GetWeather ; correct:  PlayMusic ]
find Shanghaï Express  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
when this evening is Casa Amor: Exclusive for Ladies playing and where  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
find a saga with 0 rating called Poems for Midnight  [predicted:  SearchCreativeWork ; correct:  RateBook ]
I'd like a reservation for Thornbury Castle three hours from now in NM.  [predicted:  GetWeather ; correct:  BookRestaurant ]
I want to hear anything from the Rock Symphonique genre please.  [predicted:  GetWeather ; correct:  PlayMusic ]
I would like reservations made for Masonville, Vermont nov. 7  [predicted:  GetWeather ; correct:  BookRestaurant ]
Can you find me work, Stairway to Heaven?  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
Find me the documentary A Winter of Cyclists  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
I need a reservation in Steele City  [predicted:  GetWeather ; correct:  BookRestaurant ]
Start up my Independent Music Monday playlist.  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
look for the creative work The Testament of Gideon Mack  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
SCORE:  2828 / 3129  ( 0.9038031319910514 )
I'd like to see the current showtimes for His Kind of Woman  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
Please play the genre Rock Strumentale.  [predicted:  GetWeather ; correct:  PlayMusic ]
find Un weekend da bamboccioni  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
I want to hear music from the genre Ecossaise  [predicted:  GetWeather ; correct:  PlayMusic ]
can you find me a showing for Before the Music Dies in one second ?  [predicted:  BookRestaurant ; correct:  SearchScreeningEvent ]
Show me when and where I can see Song of Summer  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
Please look up for Disney Universe.  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
Can I hear a tune from Vladimir Vysotski?  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
Can you play me songs from the Estado de ánimo playlist?  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
Book a reservation not far from 8th St  [predicted:  GetWeather ; correct:  BookRestaurant ]
Gods and Pawns should get a three  [predicted:  BookRestaurant ; correct:  RateBook ]
play Tales from the Organ Trade  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Play the soundtrack for The Lord of the Rings: Conquest  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Play my Women of Rock playlist.  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
check the weather for around nine in South Georgia and the South Sandwich Islands  [predicted:  BookRestaurant ; correct:  GetWeather ]
Can you locate the work, Warlock 2: The Exiled?  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
What is the weather prediction for Acworth, North Korea in six years  [predicted:  BookRestaurant ; correct:  GetWeather ]
Please play an album from 1987  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
find Belle of the Yukon  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Can you let me know when Troopers Three is scheduled?  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
Play the Vic Damone album named Tuonela  [predicted:  SearchCreativeWork ; correct:  PlayMusic ]
give a 5 to A Picture of Her Tombstone  [predicted:  BookRestaurant ; correct:  RateBook ]
Can you search the work, Curiosity Quest?  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
Find a creative work called Fire in the Hole  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
Please search for the work, All the Wrong Reasons.  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
I want to hear that tune from 2010  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
when can I see Dead Snow  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
Please play my Happy House playlist.  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
What are the timings for Starship Troopers 2?  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
Weather within the same area as Qatar at four  [predicted:  BookRestaurant ; correct:  GetWeather ]
play the What I Need to Do soundtrack  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
does Red e Toby nemiciamici start thirteen hours from now  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
what day does the movie Star of the Circus play at ten PM  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
What is the weather going to be like this Evening in Arkansas  [predicted:  BookRestaurant ; correct:  GetWeather ]
Let's hear stuff from Andrew Hewitt.  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
put th Power Gaming playlist  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
I'd like to see Snowball Express  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Wish to hear the album Since I Saw You Last  [predicted:  AddToPlaylist ; correct:  SearchCreativeWork ]
What is the weather looking like for December the eleventh, 2034 in MD  [predicted:  BookRestaurant ; correct:  GetWeather ]
Play my Hot 50 playlist.  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
Showtimes for Butterfly on a Wheel.  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
Plaly The Ladybug Transistor by Loreena Mckennitt.  [predicted:  GetWeather ; correct:  PlayMusic ]
Play playlist Chilled R&B  [predicted:  GetWeather ; correct:  PlayMusic ]
Is Proudly She Marches playing anywhere?  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
I want to listen to an album from Sibel.  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
Play playlist riveting  [predicted:  GetWeather ; correct:  PlayMusic ]
Help me find the work titled SingStar Take That  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
When can I see The Crew of the Dora  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
When is City of Angels playing?  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
Is it possible to see Seed of Chucky  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
Can you help me find the work, The Sperm?  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
Find me the creative work called Guilt by Association Vol. 2  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
Will it feel nice here or within the same area  [predicted:  BookRestaurant ; correct:  GetWeather ]
put my Family Road Trip playlist  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
Play my Piano Ballads playlist.  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
Play the last Wellman Braud album relaesd  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
I want to hear music from the Lotus Flower album by Andy Mccoy  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
Can you please search Ellington at Newport?  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
Start blasting my Latin Jazz playlist.  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
play Off the Ground  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Will you play my Nuestros 80 playlist  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
Please find the work titled Talking to Heaven  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
Plau me the song The French Chef  [predicted:  AddToPlaylist ; correct:  SearchCreativeWork ]
When will So Happy Together begin playing?  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
Play my Black Sabbath: The Dio Years playlist.  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
Please play me Jerry Lee Lewis's If You Say So track.  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
I am looking for the creative work Rats: Night of Terror  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
how's the forecast looking for supper time in Dresbach Vanuatu  [predicted:  BookRestaurant ; correct:  GetWeather ]
open the Canciones del Recuerdo playlist and play songs  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
Is The Butcher Boy playing anywhere at supper time?  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
What will the weather be doing at midnight in Brazil?  [predicted:  BookRestaurant ; correct:  GetWeather ]
Play my Romántica playlist  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
Can you find the creative works associated with Caryl & Marilyn: Real Friends  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
Play my 88 Keys playlist.  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
Is there any way to see Tailspin Tommy in the Great Air Mystery  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
I want Sugarfoot  [predicted:  AddToPlaylist ; correct:  SearchCreativeWork ]
fimd Glory  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
is there a Chinese Wikipedia  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
I need a SOUNDTRACK FOR STUDY purposes.  [predicted:  BookRestaurant ; correct:  PlayMusic ]
Could you play the album B Men Gahō by Nathaniel Shilkret  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
Acreative work with the title At the Cafe Bohemia  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
give me some Last Emperor  [predicted:  GetWeather ; correct:  PlayMusic ]
Contemporary Religious Satanism gets a rating of 3.  [predicted:  BookRestaurant ; correct:  RateBook ]
Rat Short Trips: A Christmas Treasury a 3  [predicted:  BookRestaurant ; correct:  RateBook ]
Play my Trapeo playlist.  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
find The Flying Ace  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
I want to hear anything from the Rock Symphonique genre please.  [predicted:  GetWeather ; correct:  PlayMusic ]
Play me songs from agreable  [predicted:  GetWeather ; correct:  PlayMusic ]
What is the television show Phil Ochs: There but for Fortune playing  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
Play music from artist Ashley  [predicted:  GetWeather ; correct:  PlayMusic ]
Will you pull up my Jueves de Antaño playlist  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
Please fine me, Ties That Bind.  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
I want to listen to the track Close To The Edge  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
find Endless Horizons  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Play me the dinner playlist  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
Please fine me Worms Clan Wars.  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
Could you locate the work, All the Times I Cried?  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
play playlist A Mis Niños de 30  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
Is Winged Victory showing anywhere in one minute?  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
Repeat the track of music  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
Play my Under The Surface playlist.  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
Play my entertaining playlist  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
I want to hear from Pepe Marchena song Delaware  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
where can i watch Wartime Romance in the morning  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
i want to watch Mister Cool  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Show me schedules to see A Film with Me in It.  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Find a place for me to eat in Connecticut for 9 and a half months from now  [predicted:  GetWeather ; correct:  BookRestaurant ]
Need to find a creative work with the title Sometimes the Blues Is Just a Passing Bird  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
Please search for the work, Wholehearted.  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
I'm wondering when I can see Hurry Sundown.  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
put El Mejor Rock en Español playlist  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
find Three in the Attic  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Play something from the genre muzyka pop  [predicted:  GetWeather ; correct:  PlayMusic ]
play the song S.F. sound furniture  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Show me the Dresden weather forecast.  [predicted:  SearchCreativeWork ; correct:  GetWeather ]
Is Worms Will Turn running at any movie hall?  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
Play my springtime playlist.  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
play my De Camino playlist  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
Play The Aviation Cocktail album  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Play the artist Joe  [predicted:  GetWeather ; correct:  PlayMusic ]
Put Lo mejor de Radio 3 on in the background  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
Let's hear something from Elena Risteska  [predicted:  GetWeather ; correct:  PlayMusic ]
Put What Color Is Your Sky by Alana Davis on the stereo.  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
The Sins of the Cities of the Plain gets a rating of one  [predicted:  BookRestaurant ; correct:  RateBook ]
Plan an album by Roni Duani.  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
Play the album entitled Se Potrei Avere Te.  [predicted:  SearchCreativeWork ; correct:  PlayMusic ]
play The Catholic Sun album  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Do you have something like Impossible Is Nothing by Abderrahmane Abdelli?  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
Freud: A Life for Our Time deserves a solid 4  [predicted:  BookRestaurant ; correct:  RateBook ]
