Play the soundtrack for Back to the Future  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Where and when can I see The Image Makers  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
play Disney Sing It! – High School Musical 3: Senior Year  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
me and my niece want to eat somewhere close by Hopatcong  [predicted:  SearchScreeningEvent ; correct:  BookRestaurant ]
find Heat Wave  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
find The Colour of the Chameleon  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Will you play my Nuestros 80 playlist  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
Book a table somewhere in Dominica for 2 minutes from now  [predicted:  GetWeather ; correct:  BookRestaurant ]
I want to hear something eclectic  [predicted:  SearchCreativeWork ; correct:  PlayMusic ]
Start up my Independent Music Monday playlist.  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
Where is Belgium located  [predicted:  SearchScreeningEvent ; correct:  GetWeather ]
put on a Serge Robert track  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
I want to make a reservation at the Conflict Kitchen for one  [predicted:  RateBook ; correct:  BookRestaurant ]
find On Dress Parade  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Play my Trapeo playlist.  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
I need a reservation at The One Eighty for elsa and wendy in Muscle Shoals.  [predicted:  SearchCreativeWork ; correct:  BookRestaurant ]
find and book a table in WV  [predicted:  GetWeather ; correct:  BookRestaurant ]
me and robin need reservations for somewhere in Palau  [predicted:  GetWeather ; correct:  BookRestaurant ]
I need a table right now for four in ME  [predicted:  RateBook ; correct:  BookRestaurant ]
Please play me something by New Wave Of American Heavy Metal  [predicted:  SearchCreativeWork ; correct:  PlayMusic ]
I need a table somewhere in Culver City WA  [predicted:  GetWeather ; correct:  BookRestaurant ]
Will the weather be okay in Northern Luzon Heroes Hill National Park 4 and a half months from now?  [predicted:  SearchCreativeWork ; correct:  GetWeather ]
find Naomi & Wynonna: Love Can Build a Bridge  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Book a reservation at a restaraunt in CT  [predicted:  GetWeather ; correct:  BookRestaurant ]
Can you get me a reservation at WWE The World around Av U  [predicted:  GetWeather ; correct:  BookRestaurant ]
rebekah taylor and marcie need reservations at The Clink in Senegal.  [predicted:  GetWeather ; correct:  BookRestaurant ]
Need table for two in Pleasant City  [predicted:  RateBook ; correct:  BookRestaurant ]
play the album Journeyman  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
I would like reservations for Giodi's in Piper AZ.  [predicted:  GetWeather ; correct:  BookRestaurant ]
What's the weather forrecast here in five seconds?  [predicted:  SearchCreativeWork ; correct:  GetWeather ]
What is the weather forecast in the country of Chile fifteen hours from now  [predicted:  SearchCreativeWork ; correct:  GetWeather ]
Make me a reservation within walking distance in WY for 6 pm  [predicted:  GetWeather ; correct:  BookRestaurant ]
Start playing my Disney playlist.  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
Please play playlist TODO REGGAETON  [predicted:  SearchCreativeWork ; correct:  PlayMusic ]
melba and I want to dine in Barbados next Jun.  [predicted:  GetWeather ; correct:  BookRestaurant ]
find Set the Thames on Fire for seventeen  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Play music from the playlist Late Night Jazz  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
What is Dear Old Girl Cooper Foundation  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
SCORE:  3005 / 3140  ( 0.9570063694267515 )
find Innocent world  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
I want to see Plague Soundscapes  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
Play the soundtrack for The Lord of the Rings: Conquest  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Can you get me seating for a party of 5  [predicted:  RateBook ; correct:  BookRestaurant ]
What is the weather forecast going to be on august 15, 2038 for Hoffman Hills State Recreation Area?  [predicted:  SearchCreativeWork ; correct:  GetWeather ]
need a table now somewhere nearby Petit Manan National Wildlife Refuge  [predicted:  BookRestaurant ; correct:  GetWeather ]
Can you please search Ellington at Newport?  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
Can you search the work, Curiosity Quest?  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
What is the weather for eight o'clock in Laos that is within walking distance  [predicted:  BookRestaurant ; correct:  GetWeather ]
I would like to book Thomas Hynes House for 6 in Minnesota  [predicted:  RateBook ; correct:  BookRestaurant ]
find Journal of the European Economic Association, a movie I want to see  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
Play my Romántica playlist  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
Where is Bernardsville?  [predicted:  SearchScreeningEvent ; correct:  GetWeather ]
show me Convicted  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
Show me Half a Life  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
Where can I  get Lahore  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
read the Background to Danger book  [predicted:  RateBook ; correct:  SearchCreativeWork ]
Find Digimon Next  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
What is the forecast this evening for the Calipuy National Reservation  [predicted:  SearchScreeningEvent ; correct:  GetWeather ]
Play music in the genre soundtrack  [predicted:  SearchCreativeWork ; correct:  PlayMusic ]
Please play me Jerry Lee Lewis's If You Say So track.  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
Please look up for Disney Universe.  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
find The Good Wife  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
Find I Could Fall in Love.  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
Find Business Ethics: A European Review.  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
find Casting Crowns discography  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
Can i see the Encounters?  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
Can i see the Boat People?  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
is there a Chinese Wikipedia  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
Please search for the work, All the Wrong Reasons.  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
Play music from artist Ashley  [predicted:  GetWeather ; correct:  PlayMusic ]
Find me the creative work called Guilt by Association Vol. 2  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
Find The Path to Power.  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
find Harry Potter and the Deathly Hallows – Part 2  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
Listen to Dragon Ball: Music Collection  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Find Night of Passion  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
Play a trailer for Give It All  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
find The Hundred-Foot Journey  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
Find Landing on Water.  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
fimd Glory  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
find Live at Memory Lane  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
Show me Rapid City Muscle Car.  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
find Carry me in your dreams  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
Play my 70s Smash Hits playlist.  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
Play something off Rage Radio  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
Find The Gill Deacon Show.  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
find Home Fires  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
Will you pull up my Jueves de Antaño playlist  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
Can you tell me the forecast for East Falmouth, Hungary  [predicted:  BookRestaurant ; correct:  GetWeather ]
What song is Detective Conan: Dimensional Sniper  [predicted:  AddToPlaylist ; correct:  SearchCreativeWork ]
I want to eat in Ramona  [predicted:  GetWeather ; correct:  BookRestaurant ]
I would like reservations made for Masonville, Vermont nov. 7  [predicted:  GetWeather ; correct:  BookRestaurant ]
Find The Tyrant  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
find Sweet Sensation  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
Please give me the weather for Federated States Of Micronesia.  [predicted:  BookRestaurant ; correct:  GetWeather ]
Go to Attack of the Planet Smashers  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
I want to watch Supernatural: The Unseen Powers of Animals  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
Show me Firepower  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
Show me Skyfall: Original Motion Picture Soundtrack  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
Please fine me, Ties That Bind.  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
Play The Crowd: A Study of the Popular Mind soundtrack  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Can you get me The Education of Little Tree song?  [predicted:  AddToPlaylist ; correct:  SearchCreativeWork ]
Find Returned to Your Mind.  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
I am looking for the creative work A Wonderful Life  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
Find LaserLight.  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
Find Later That Evening  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
What is the forecast at 12 am in Sudan  [predicted:  BookRestaurant ; correct:  GetWeather ]
I want Sugarfoot  [predicted:  AddToPlaylist ; correct:  SearchCreativeWork ]
Please search for the work, Wholehearted.  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
Find Confusion Bay.  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
I need Top Gear 2, please search it for me.  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
find If These Walls Could Talk  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
Find The Photographic Journal.  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
Lets eat near Oakfield 17 seconds from now at Ted Peters Famous Smoked Fish  [predicted:  GetWeather ; correct:  BookRestaurant ]
find Sailing The Seas Of Cheese  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
Play Elizeth Cardoso to my Nothing But A Party R&B playlist  [predicted:  PlayMusic ; correct:  AddToPlaylist ]
Plan an album by Roni Duani.  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
Find The 180.  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
Can you make a reservation for next year in Modesto for joanna and ella  [predicted:  GetWeather ; correct:  BookRestaurant ]
Can you help me find the work, The Sperm?  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
find A Pet of the Cairo Zoo  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
What is the television show Phil Ochs: There but for Fortune playing  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
Play Rock This playlist with Badonviller Marsch  [predicted:  PlayMusic ; correct:  AddToPlaylist ]
Will it be nice on Aug. the nineteenth in Beda Bulgaria  [predicted:  BookRestaurant ; correct:  GetWeather ]
Find Dyskografia Nick Cave and the Bad Seeds.  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
play Off the Ground  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
when is sunrise in AMerican Samoa  [predicted:  SearchScreeningEvent ; correct:  GetWeather ]
play the What I Need to Do soundtrack  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Show me Heavenly Sword  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
Please look for Orion You Came and You Took All My Marbles  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
find Join the Dots: B-sides and Rarities  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
Play The Aviation Cocktail album  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
find start time in 12 seconds for National Bomb  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
When can I catch a screening of Shivers in Summer?  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
I need the forecast for close by Becharof National Wildlife Refuge in nine months  [predicted:  SearchScreeningEvent ; correct:  GetWeather ]
Plaly The Ladybug Transistor by Loreena Mckennitt.  [predicted:  SearchCreativeWork ; correct:  PlayMusic ]
Find the Digital Champ: Battle Boxing  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
Find Make Your Play  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
What theater is playing Death Drums Along the River at 5 PM  [predicted:  BookRestaurant ; correct:  SearchScreeningEvent ]
Find Merry Arizona 97: Desert Stars Shine at Christmas  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
Find The Right Fight  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
Find Show-Ya 20th Anniversary The Best.  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
Please fine me Worms Clan Wars.  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
Can you locate the work, Warlock 2: The Exiled?  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
I'd like to book a table at Black Horse Tavern in Georgia at 4 am  [predicted:  GetWeather ; correct:  BookRestaurant ]
Find Beavis and Butt-head  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
Help me find the work titled SingStar Take That  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
find PoliticsNation with Al Sharpton  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
Find Resurrection of Evil.  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
Please find the work titled Talking to Heaven  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
Find UNDER NIGHT IN-BIRTH  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
What is the release date for the DVD called Wild Is the Wind?  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
find The Many Loves of Dobie Gillis  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
Lets eat at Newport Creamery in Carnot  [predicted:  GetWeather ; correct:  BookRestaurant ]
Plau me the song The French Chef  [predicted:  AddToPlaylist ; correct:  SearchCreativeWork ]
Find Pat Garrett y Billy the Kid.  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
play Tales from the Organ Trade  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Reserve me a resturant for 5 at seventeen o'clock  [predicted:  RateBook ; correct:  BookRestaurant ]
Check the weather forecast in seven weeks for Emida.  [predicted:  SearchCreativeWork ; correct:  GetWeather ]
Show me My Princess  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
find Flesh and Bullets  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
Wish to hear the album Since I Saw You Last  [predicted:  AddToPlaylist ; correct:  SearchCreativeWork ]
find Mash Confusion  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
play the song S.F. sound furniture  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
I want to see Breathless  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
find Set the Thames on Fire for seventeen  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Find Stained Glass Windows.  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
Look for the creative work called White Sugar  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
Find a table somewhere for me and my step mother in Graniteville DE  [predicted:  GetWeather ; correct:  BookRestaurant ]
On oct. 26, I will need to make reservations to eat in Halibut Point State Park.  [predicted:  SearchCreativeWork ; correct:  GetWeather ]
my jazz for loving couples needs more push the button  [predicted:  PlayMusic ; correct:  AddToPlaylist ]
I want to see Far Cry Vengeance  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
Play The XYY Man soundtrack  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
What will the temperature be at midnight in NE  [predicted:  BookRestaurant ; correct:  GetWeather ]
Show me The Heart Specialist  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
Find The American Journal of Economics and Sociology.  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
Find Your Personal Touch.  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
find Check In  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
Hows the weather supposed to be on April eleventh close by Lyons Ferry Park  [predicted:  SearchScreeningEvent ; correct:  GetWeather ]
I'm looking for a job in Inversion  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
Find Phalcon.  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
I need a table in one hour from now at somewhere not far from LA  [predicted:  GetWeather ; correct:  BookRestaurant ]
Could you locate the work, All the Times I Cried?  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
What's the forecast for right here  [predicted:  PlayMusic ; correct:  GetWeather ]
Can I hear the song Visual Audio Sensory Theater?  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
I'd like to reserve a table in Northcote.  [predicted:  GetWeather ; correct:  BookRestaurant ]
play the Graduate Faculty Philosophy Journal album  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
I'd like to hear some trip-hop  [predicted:  GetWeather ; correct:  PlayMusic ]
I want to dine in Luray  [predicted:  GetWeather ; correct:  BookRestaurant ]
find As Live as It Gets  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
I am looking for the creative work Rats: Night of Terror  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
Show me The Advocate  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
Find Live at Bonnaroo.  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
Find The Boys in the Band.  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
book Tartine in Mississippi for 5  [predicted:  RateBook ; correct:  BookRestaurant ]
Acreative work with the title At the Cafe Bohemia  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
What theater is playing Haunted Honeymoon  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
Find Head Start  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
find Reproductions: Songs of The Human League  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
put my Family Road Trip playlist  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
find NHL on Fox  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
Play Keep Your Right Up song  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Need to find a creative work with the title Sometimes the Blues Is Just a Passing Bird  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
Play me the song Just to See You Smile.  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
find Black Mirror III: Final Fear  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
When is City of Angels playing?  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
Find A World Apart.  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
play Hell House song  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Show me KurdishMedia.com  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
find The Magical World of Roger Whittaker  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
book Itsu for Tonight  [predicted:  RateBook ; correct:  BookRestaurant ]
Find Z Cars.  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
find The Moldy Peaches  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
play The Catholic Sun album  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
find The Quest of Iranon  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
Bring up the book Perfume: The Story of a Murderer  [predicted:  RateBook ; correct:  SearchCreativeWork ]
SCORE:  2964 / 3140  ( 0.9439490445859873 )
play used to love her to my this is animal collective playlist  [predicted:  PlayMusic ; correct:  AddToPlaylist ]
I'd like to eat at ten PM. anywhere neighboring to our house  [predicted:  GetWeather ; correct:  BookRestaurant ]
Play Pirates of the Caribbean Online  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Tell me where I can watch Common Law Cabin  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
check the weather for around nine in South Georgia and the South Sandwich Islands  [predicted:  BookRestaurant ; correct:  GetWeather ]
Need a creative work called Hit by Love  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
I want to watch Manthan  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
play Bliss Torn from Emptiness  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
I want the song Phrazes for the Young  [predicted:  AddToPlaylist ; correct:  SearchCreativeWork ]
fimd Glory  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
I need Journal of Pediatric Oncology Nursing, help me find  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
I would like reservations for Giodi's in Piper AZ.  [predicted:  GetWeather ; correct:  BookRestaurant ]
What is the predicted weather for Wells in Indiana?  [predicted:  BookRestaurant ; correct:  GetWeather ]
Help me find the work titled SingStar Take That  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
is there a Chinese Wikipedia  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
She me the forecast for Clayton Lake State Park on Oct. 17th  [predicted:  SearchCreativeWork ; correct:  GetWeather ]
What time does Johnny Got His Gun play  [predicted:  PlayMusic ; correct:  SearchScreeningEvent ]
play The Sea Cabinet  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
I want to listen to Keep the Faith  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
What is the price for the album Praise the Lord and Pass the Ammunition?  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Please look up and find me Monty Python Live at the Hollywood Bowl.  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
Can you locate the work, Warlock 2: The Exiled?  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
find Naomi & Wynonna: Love Can Build a Bridge  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
I want watch The Sun And The Moon  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
play the song S.F. sound furniture  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
show creative work of Through the Back Door  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
What's the weather looking like right now in Croatia?  [predicted:  BookRestaurant ; correct:  GetWeather ]
I need a table right now for four in ME  [predicted:  RateBook ; correct:  BookRestaurant ]
Locate me the novel entitled Isthmus.  [predicted:  RateBook ; correct:  SearchCreativeWork ]
I would like to make a reservation for 2 for brunch.  [predicted:  RateBook ; correct:  BookRestaurant ]
Play my Women of Rock playlist.  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
I want to World of Warcraft: Tides of Darkness  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
Plpay my Disco Fever playlist.  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
What is the television show Phil Ochs: There but for Fortune playing  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
Listen to Power Gaming playlist  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
Book COVA in Frisco City for me and therese at eight pm  [predicted:  RateBook ; correct:  BookRestaurant ]
I want Sugarfoot  [predicted:  AddToPlaylist ; correct:  SearchCreativeWork ]
What is the showtime for Arsho  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
Please play my Happy House playlist.  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
I am looking for a work called Carry You Home  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
Find the weather prediction for Camdeboo-Nationalpark for jan. eleventh, 2037.  [predicted:  SearchCreativeWork ; correct:  GetWeather ]
When was the album Start a Fire released?  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
play The Catholic Sun album  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Can you get me The Education of Little Tree song?  [predicted:  AddToPlaylist ; correct:  SearchCreativeWork ]
Could you play the album B Men Gahō by Nathaniel Shilkret  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
I want to make a reservation at the Conflict Kitchen for one  [predicted:  RateBook ; correct:  BookRestaurant ]
What theater is playing Death Drums Along the River at 5 PM  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
Is it possible to find the book Live in Europe online?  [predicted:  RateBook ; correct:  SearchCreativeWork ]
I'm looking for the show called The Origin of the Milky Way  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
Show weather forecast nearby Elk City State Park  [predicted:  SearchScreeningEvent ; correct:  GetWeather ]
Book table on the 23 in Illinois at the Maison Parthenais-Perrault II.  [predicted:  SearchScreeningEvent ; correct:  BookRestaurant ]
Please find the work titled Talking to Heaven  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
I need a reservation in Pitcairn Islands for any restaurant  joint  [predicted:  SearchScreeningEvent ; correct:  BookRestaurant ]
Looking for the crative work called In my memory  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
Book The Electric Banana in Ewen for crystal and brittney.  [predicted:  RateBook ; correct:  BookRestaurant ]
Play the Seamus Heaney Collected Poems song  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Play me something by Funtwo  [predicted:  GetWeather ; correct:  PlayMusic ]
play the song Evocation I – The Arcane Dominion  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
give me some Last Emperor  [predicted:  SearchScreeningEvent ; correct:  PlayMusic ]
Play something from the genre muzyka pop  [predicted:  GetWeather ; correct:  PlayMusic ]
Play Suus to my the funny thing about football is playlist  [predicted:  PlayMusic ; correct:  AddToPlaylist ]
I am looking for the work: Nikki  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
Where is Journal of Geriatric Psychiatry and Neurology  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
Play the song Aura II: The Sacred Rings  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
play Off the Ground  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
at two am, I need reservations for my friends and I at Irma Hotel.  [predicted:  GetWeather ; correct:  BookRestaurant ]
find Heat Wave  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
What theater is playing Haunted Honeymoon  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
I want to see Far Cry Vengeance  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
play Print the Legend soundtrack  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
play the album The Outpost  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
my sons and I want to dine at The Water Club in Georgia  [predicted:  GetWeather ; correct:  BookRestaurant ]
Book a restaurant reservation for me and my child for 2 Pm in Faysville  [predicted:  GetWeather ; correct:  BookRestaurant ]
Play the soundtrack for The Lord of the Rings: Conquest  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Play the Food Uncut soundtrack  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Could you locate the work, All the Times I Cried?  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
What is the weather going to be at dinner time in the Lake Le-Aqua-Na State Recreation Area  [predicted:  SearchScreeningEvent ; correct:  GetWeather ]
I'd like to play the album Beloved Rogues  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Play music off the track Child Maurice  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
Let's hear something from Elena Risteska  [predicted:  GetWeather ; correct:  PlayMusic ]
I'd like the weather forecast in Gang Mills four years from now.  [predicted:  SearchCreativeWork ; correct:  GetWeather ]
