adeus  [predicted:  get ; correct:  bye ]
Quero cadastrar  [predicted:  get ; correct:  add ]
pacote  [predicted:  get ; correct:  add ]
O que você sabe fazer ?  [predicted:  get ; correct:  help ]
adeus  [predicted:  get ; correct:  bye ]
SCORE:  12 / 30  ( 0.4 )
Como cadastro?  [predicted:  get ; correct:  help ]
Como cadastro uma encomenda?  [predicted:  get ; correct:  help ]
Você não é um robô, você é uma bichona  [predicted:  get ; correct:  bad ]
bom dia  [predicted:  get ; correct:  greeting ]
Obrigado  [predicted:  get ; correct:  thanks ]
Registrar uma encomenda  [predicted:  get ; correct:  add ]
Consulta  [predicted:  help ; correct:  get ]
Obrigada  [predicted:  help ; correct:  thanks ]
cancelar  [predicted:  get ; correct:  cancel ]
oi  [predicted:  get ; correct:  welcome ]
Como cadastro minha encomenda?  [predicted:  get ; correct:  help ]
Burro  [predicted:  help ; correct:  bad ]
como voce me atualiza sobre minha encomenda?  [predicted:  get ; correct:  help ]
Cadastrar  [predicted:  get ; correct:  add ]
cancela  [predicted:  help ; correct:  cancel ]
Tudo bem  [predicted:  get ; correct:  ok ]
Registrar  [predicted:  get ; correct:  add ]
caralho  [predicted:  get ; correct:  bad ]
SCORE:  12 / 30  ( 0.4 )
adicionar objeto  [predicted:  get ; correct:  add ]
Registrar uma encomenda  [predicted:  help ; correct:  add ]
parar  [predicted:  help ; correct:  cancel ]
Gostaria de rastrear um objeto agora  [predicted:  get ; correct:  add ]
Quero registrar uma encomenda  [predicted:  get ; correct:  add ]
Novo pacote  [predicted:  get ; correct:  add ]
Obrigada  [predicted:  get ; correct:  thanks ]
adicionar  [predicted:  help ; correct:  add ]
Gostaria de registrar uma encomenda  [predicted:  get ; correct:  add ]
deletar  [predicted:  help ; correct:  delete ]
para  [predicted:  get ; correct:  cancel ]
descadastrar  [predicted:  get ; correct:  delete ]
palavrão você entende né filho da puta  [predicted:  get ; correct:  bad ]
Quero saber onde está minha encomenda  [predicted:  help ; correct:  get ]
Quero saber onde minha encomenda está  [predicted:  help ; correct:  get ]
Gostaria de registrar  [predicted:  get ; correct:  add ]
E aí, quais são minhas opções?  [predicted:  get ; correct:  help ]
Gostaria de fazer um cadastro  [predicted:  get ; correct:  add ]
Obrigado  [predicted:  get ; correct:  thanks ]
Registrar  [predicted:  get ; correct:  add ]
Eu quero cadastrar uma encomenda  [predicted:  help ; correct:  add ]
Gostaria de fazer um rastreamento  [predicted:  get ; correct:  add ]
o que eu devo fazer?  [predicted:  get ; correct:  help ]
oi  [predicted:  get ; correct:  welcome ]
Novo  [predicted:  help ; correct:  add ]
adeus  [predicted:  get ; correct:  bye ]
Encomenda  [predicted:  help ; correct:  get ]
SCORE:  3 / 30  ( 0.1 )
Como cadastrar um objeto?  [predicted:  add ; correct:  help ]
sair  [predicted:  get ; correct:  cancel ]
Gostaria de uma informação  [predicted:  get ; correct:  help ]
Quero fazer um rastreamento  [predicted:  add ; correct:  get ]
onde está minha encomenda?  [predicted:  help ; correct:  get ]
Olá robô  [predicted:  add ; correct:  welcome ]
Legal! Mas onde está minha encomenda?  [predicted:  help ; correct:  get ]
Todos  [predicted:  help ; correct:  get ]
Como cadastrar um código  [predicted:  add ; correct:  help ]
cadê  [predicted:  add ; correct:  get ]
Meus itens  [predicted:  help ; correct:  get ]
Listar comandos  [predicted:  add ; correct:  help ]
Lista  [predicted:  help ; correct:  get ]
Gostaria de retirar  [predicted:  get ; correct:  delete ]
Olá  [predicted:  add ; correct:  welcome ]
tenha um bom dia  [predicted:  help ; correct:  greeting ]
Gostaria de retirar uma encomenda  [predicted:  get ; correct:  delete ]
tchau  [predicted:  add ; correct:  bye ]
Listar  [predicted:  help ; correct:  get ]
Tudo bem  [predicted:  help ; correct:  ok ]
ok  [predicted:  add ; correct:  ok ]
Onde esta a minha encomenda  [predicted:  help ; correct:  get ]
Cadastrar uma nova encomenda  [predicted:  help ; correct:  add ]
cadê minha encomenda  [predicted:  help ; correct:  get ]
SCORE:  6 / 30  ( 0.2 )
Gostaria de retirar  [predicted:  get ; correct:  delete ]
Muito obrigado  [predicted:  get ; correct:  thanks ]
Como faço pra cadastrar alguma encomenda?  [predicted:  get ; correct:  help ]
Obrigada  [predicted:  get ; correct:  thanks ]
Registrar uma encomenda  [predicted:  get ; correct:  add ]
Não possuo encomenda em trânsito  [predicted:  get ; correct:  cancel ]
Ajuda  [predicted:  get ; correct:  help ]
adicionar objeto  [predicted:  get ; correct:  add ]
como pode me ajudar  [predicted:  get ; correct:  help ]
deletar  [predicted:  get ; correct:  delete ]
adicionar  [predicted:  get ; correct:  add ]
Apagar  [predicted:  get ; correct:  delete ]
Gostaria de uma informação  [predicted:  get ; correct:  help ]
oi  [predicted:  get ; correct:  welcome ]
Não  [predicted:  get ; correct:  cancel ]
boa tarde  [predicted:  get ; correct:  greeting ]
Beleza  [predicted:  get ; correct:  ok ]
E aí, quais são minhas opções?  [predicted:  get ; correct:  help ]
Registrar  [predicted:  get ; correct:  add ]
Gostaria de retirar uma encomenda  [predicted:  get ; correct:  delete ]
descadastrar  [predicted:  get ; correct:  delete ]
boa noite  [predicted:  get ; correct:  greeting ]
Boa tarde então  [predicted:  get ; correct:  greeting ]
Como funciona  [predicted:  get ; correct:  help ]
Obrigado  [predicted:  get ; correct:  thanks ]
Muito obrigada  [predicted:  get ; correct:  thanks ]
adeus  [predicted:  get ; correct:  bye ]
SCORE:  3 / 30  ( 0.1 )
adicionar objeto  [predicted:  get ; correct:  add ]
Como cadastro minha encomenda?  [predicted:  get ; correct:  help ]
caralho  [predicted:  get ; correct:  bad ]
adeus  [predicted:  get ; correct:  bye ]
Como funciona  [predicted:  get ; correct:  help ]
Como cadastro uma encomenda?  [predicted:  get ; correct:  help ]
cancela  [predicted:  get ; correct:  cancel ]
como pode me ajudar  [predicted:  get ; correct:  help ]
Me ajuda  [predicted:  get ; correct:  help ]
Como cadastro?  [predicted:  get ; correct:  help ]
Como cadastrar um objeto?  [predicted:  add ; correct:  help ]
cancelar  [predicted:  get ; correct:  cancel ]
Como cadastrar um código  [predicted:  get ; correct:  help ]
Retirar  [predicted:  get ; correct:  delete ]
Remover  [predicted:  get ; correct:  delete ]
Listar comandos  [predicted:  get ; correct:  help ]
quem é você?  [predicted:  get ; correct:  saymyname ]
adicionar  [predicted:  get ; correct:  add ]
Onde aparece esse código de 13 dígitos?  [predicted:  get ; correct:  help ]
De que vc precisa?  [predicted:  get ; correct:  help ]
sai  [predicted:  get ; correct:  cancel ]
Como cadastrar uma encomenda?  [predicted:  get ; correct:  help ]
SCORE:  8 / 30  ( 0.26666666666666666 )
Me ajuda  [predicted:  get ; correct:  help ]
Não possuo encomenda em trânsito  [predicted:  get ; correct:  cancel ]
Qual o seu nome ?  [predicted:  get ; correct:  saymyname ]
gostaria de cadastrar uma encomenda  [predicted:  help ; correct:  add ]
Listar comandos  [predicted:  get ; correct:  help ]
Novo  [predicted:  help ; correct:  add ]
adeus  [predicted:  get ; correct:  bye ]
favor cadastrar o codigo de rastreio  [predicted:  help ; correct:  add ]
Legal! Mas onde está minha encomenda?  [predicted:  help ; correct:  get ]
Não  [predicted:  get ; correct:  cancel ]
Posso cadastrar encomendas de outros países?  [predicted:  get ; correct:  help ]
Muito obrigado  [predicted:  get ; correct:  thanks ]
o que eu devo fazer?  [predicted:  get ; correct:  help ]
Novo pacote  [predicted:  get ; correct:  add ]
Qual seu nome ?  [predicted:  get ; correct:  saymyname ]
adicionar objeto  [predicted:  get ; correct:  add ]
Gostaria de Rastrear um objeto  [predicted:  get ; correct:  add ]
adicionar  [predicted:  get ; correct:  add ]
qual a situação da minha encomenda?  [predicted:  help ; correct:  get ]
SCORE:  11 / 30  ( 0.36666666666666664 )
Como?  [predicted:  get ; correct:  help ]
Novo  [predicted:  get ; correct:  add ]
Como cadastra?  [predicted:  get ; correct:  help ]
Listar comandos  [predicted:  get ; correct:  help ]
Beleza  [predicted:  get ; correct:  ok ]
como voce me atualiza sobre minha encomenda?  [predicted:  get ; correct:  help ]
Me ajuda  [predicted:  get ; correct:  help ]
Posso cadastrar encomendas de outros países?  [predicted:  add ; correct:  help ]
Como você funciona  [predicted:  get ; correct:  help ]
Tudo bem, tchau  [predicted:  get ; correct:  bye ]
deletar  [predicted:  get ; correct:  delete ]
Apagar  [predicted:  get ; correct:  delete ]
Vai tomar no cu  [predicted:  get ; correct:  bad ]
Como cadastra a encomenda  [predicted:  get ; correct:  help ]
descadastrar  [predicted:  get ; correct:  delete ]
como sou avisado sobre minha encomenda?  [predicted:  get ; correct:  help ]
o que eu devo fazer?  [predicted:  get ; correct:  help ]
Ajuda  [predicted:  get ; correct:  help ]
Quais encomenda você rastreia  [predicted:  get ; correct:  help ]
Como sei onde está a minha encomenda?  [predicted:  get ; correct:  help ]
como sou notificado sobre minha encomenda?  [predicted:  get ; correct:  help ]
E aí, quais são minhas opções?  [predicted:  get ; correct:  help ]
Novo pacote  [predicted:  get ; correct:  add ]
SCORE:  7 / 30  ( 0.23333333333333334 )
deletar  [predicted:  get ; correct:  delete ]
Listar comandos  [predicted:  get ; correct:  help ]
Até logo  [predicted:  get ; correct:  bye ]
Como sei onde está a minha encomenda?  [predicted:  get ; correct:  help ]
Gostaria de rastrear um objeto agora  [predicted:  get ; correct:  add ]
como sou notificado sobre minha encomenda?  [predicted:  get ; correct:  help ]
Boa tarde então  [predicted:  get ; correct:  greeting ]
Até mais  [predicted:  get ; correct:  bye ]
Me ajuda  [predicted:  get ; correct:  help ]
E aí, quais são minhas opções?  [predicted:  get ; correct:  help ]
como sou avisado sobre minha encomenda?  [predicted:  get ; correct:  help ]
adicionar um novo pacote  [predicted:  get ; correct:  add ]
Quero cadastrar uma encomenda  [predicted:  get ; correct:  add ]
Qual seu nome ?  [predicted:  get ; correct:  saymyname ]
Qual o seu nome ?  [predicted:  get ; correct:  saymyname ]
Informação  [predicted:  get ; correct:  help ]
Quero cadastrar um código de rastreio  [predicted:  get ; correct:  add ]
Gostaria de fazer um rastreamento  [predicted:  get ; correct:  add ]
descadastrar  [predicted:  get ; correct:  delete ]
boa tarde  [predicted:  get ; correct:  greeting ]
Tudo bem  [predicted:  get ; correct:  ok ]
boa noite  [predicted:  get ; correct:  greeting ]
Gostaria de fazer um cadastro  [predicted:  get ; correct:  add ]
Quero cadastrar uma encomenda, pode ser?  [predicted:  get ; correct:  add ]
SCORE:  6 / 30  ( 0.2 )
Cadastrar encomenda  [predicted:  help ; correct:  add ]
Informação  [predicted:  get ; correct:  help ]
Cadastrar uma nova encomenda  [predicted:  help ; correct:  add ]
Novo  [predicted:  get ; correct:  add ]
Gostaria de rastrear um objeto agora  [predicted:  get ; correct:  add ]
Ajuda  [predicted:  get ; correct:  help ]
Gostaria de fazer um rastreamento  [predicted:  get ; correct:  add ]
E aí, quais são minhas opções?  [predicted:  get ; correct:  help ]
descadastrar  [predicted:  get ; correct:  delete ]
Novo pacote  [predicted:  get ; correct:  add ]
Obrigada  [predicted:  get ; correct:  thanks ]
oi  [predicted:  get ; correct:  welcome ]
Gostaria de fazer um cadastro  [predicted:  get ; correct:  add ]
Cadastro  [predicted:  get ; correct:  add ]
Cadastro de código  [predicted:  get ; correct:  add ]
o que eu devo fazer?  [predicted:  get ; correct:  help ]
tenha um bom dia  [predicted:  get ; correct:  greeting ]
tchau  [predicted:  get ; correct:  bye ]
Obrigado  [predicted:  get ; correct:  thanks ]
Apagar  [predicted:  get ; correct:  delete ]
Onde aparece esse código de 13 dígitos?  [predicted:  get ; correct:  help ]
deletar  [predicted:  get ; correct:  delete ]
sair  [predicted:  get ; correct:  cancel ]
Beleza  [predicted:  get ; correct:  ok ]
SCORE:  6 / 30  ( 0.2 )
sair  [predicted:  help ; correct:  cancel ]
tchau  [predicted:  help ; correct:  bye ]
Meus itens  [predicted:  help ; correct:  get ]
Onde está  [predicted:  help ; correct:  get ]
Quero rastrear uma encomenda  [predicted:  help ; correct:  get ]
Quero saber onde está minha encomenda  [predicted:  help ; correct:  get ]
bom dia  [predicted:  help ; correct:  greeting ]
Gostaria de fazer um cadastro  [predicted:  help ; correct:  add ]
Quero saber onde minha encomenda está  [predicted:  help ; correct:  get ]
Cadastrar  [predicted:  help ; correct:  add ]
Meus objetos  [predicted:  help ; correct:  get ]
tenha um bom dia  [predicted:  help ; correct:  greeting ]
Gostaria de fazer um rastreamento  [predicted:  help ; correct:  add ]
Já se moveu?  [predicted:  help ; correct:  get ]
Gostaria de rastrear um objeto agora  [predicted:  get ; correct:  add ]
Quero registrar uma encomenda  [predicted:  help ; correct:  add ]
Burro  [predicted:  help ; correct:  bad ]
Quero fazer um rastreamento  [predicted:  help ; correct:  get ]
Já cadastrou?  [predicted:  help ; correct:  get ]
Muito obrigada  [predicted:  help ; correct:  thanks ]
Minhas encomendas  [predicted:  help ; correct:  get ]
SCORE:  9 / 30  ( 0.3 )
tenha um bom dia  [predicted:  get ; correct:  greeting ]
quem é você?  [predicted:  get ; correct:  saymyname ]
Cadastro de código  [predicted:  get ; correct:  add ]
o que eu devo fazer?  [predicted:  get ; correct:  help ]
Como cadastra a encomenda  [predicted:  get ; correct:  help ]
Cadastro  [predicted:  get ; correct:  add ]
Como?  [predicted:  get ; correct:  help ]
Me ajuda  [predicted:  get ; correct:  help ]
Quero cadastrar um código de rastreio  [predicted:  get ; correct:  add ]
Qual o seu nome ?  [predicted:  get ; correct:  saymyname ]
Você não é um robô, você é uma bichona  [predicted:  get ; correct:  bad ]
Você pode me explicar como cadastrar?  [predicted:  get ; correct:  help ]
Quero cadastrar uma encomenda, pode ser?  [predicted:  get ; correct:  add ]
Novo pacote  [predicted:  get ; correct:  add ]
Qual seu nome ?  [predicted:  get ; correct:  saymyname ]
Novo  [predicted:  get ; correct:  add ]
Quero cadastrar uma encomenda  [predicted:  get ; correct:  add ]
sair  [predicted:  get ; correct:  cancel ]
Cadastrar encomenda  [predicted:  get ; correct:  add ]
Quero cadastrar  [predicted:  get ; correct:  add ]
Listar comandos  [predicted:  get ; correct:  help ]
Como cadastra?  [predicted:  get ; correct:  help ]
tchau  [predicted:  get ; correct:  bye ]
SCORE:  7 / 30  ( 0.23333333333333334 )
E aí, quais são minhas opções?  [predicted:  get ; correct:  help ]
Como cadastra?  [predicted:  get ; correct:  help ]
Onde aparece esse código de 13 dígitos?  [predicted:  get ; correct:  help ]
Como faço para rastrear a encomenda?  [predicted:  get ; correct:  help ]
Como faço para cadastrar uma encomenda?  [predicted:  get ; correct:  help ]
Como eu faço?  [predicted:  get ; correct:  help ]
Gostaria de uma informação  [predicted:  get ; correct:  help ]
para  [predicted:  get ; correct:  cancel ]
Até mais  [predicted:  get ; correct:  bye ]
Não possuo encomenda em trânsito  [predicted:  get ; correct:  cancel ]
Como?  [predicted:  get ; correct:  help ]
adicionar um novo pacote  [predicted:  get ; correct:  add ]
descadastrar  [predicted:  get ; correct:  delete ]
Até logo  [predicted:  get ; correct:  bye ]
caralho  [predicted:  get ; correct:  bad ]
cancela  [predicted:  get ; correct:  cancel ]
palavrão você entende né filho da puta  [predicted:  get ; correct:  bad ]
Gostaria de retirar uma encomenda  [predicted:  get ; correct:  delete ]
deletar  [predicted:  get ; correct:  delete ]
Muito obrigado  [predicted:  get ; correct:  thanks ]
Quero registrar uma encomenda  [predicted:  get ; correct:  add ]
cancelar  [predicted:  get ; correct:  cancel ]
parar  [predicted:  get ; correct:  cancel ]
Não  [predicted:  get ; correct:  cancel ]
Gostaria de retirar  [predicted:  get ; correct:  delete ]
SCORE:  5 / 30  ( 0.16666666666666666 )
Tudo bem, tchau  [predicted:  get ; correct:  bye ]
Como faço para rastrear a encomenda?  [predicted:  get ; correct:  help ]
Beleza  [predicted:  get ; correct:  ok ]
Apagar  [predicted:  get ; correct:  delete ]
Como cadastrar um código  [predicted:  add ; correct:  help ]
Como faço para cadastrar uma encomenda?  [predicted:  get ; correct:  help ]
Ajuda  [predicted:  get ; correct:  help ]
Como cadastrar um objeto?  [predicted:  add ; correct:  help ]
Cadastrar encomenda  [predicted:  get ; correct:  add ]
Quais encomenda você rastreia  [predicted:  get ; correct:  help ]
Como cadastrar uma encomenda?  [predicted:  get ; correct:  help ]
como voce me atualiza sobre minha encomenda?  [predicted:  get ; correct:  help ]
Posso cadastrar encomendas de outros países?  [predicted:  add ; correct:  help ]
Não possuo encomenda em trânsito  [predicted:  get ; correct:  cancel ]
Muito obrigado  [predicted:  get ; correct:  thanks ]
Não  [predicted:  get ; correct:  cancel ]
Como eu faço?  [predicted:  get ; correct:  help ]
Como você funciona  [predicted:  get ; correct:  help ]
Vai tomar no cu  [predicted:  get ; correct:  bad ]
Quero registrar uma encomenda  [predicted:  get ; correct:  add ]
SCORE:  10 / 30  ( 0.3333333333333333 )
Gostaria de retirar uma encomenda  [predicted:  get ; correct:  delete ]
sai  [predicted:  get ; correct:  cancel ]
Queria saber onde está minha encomenda  [predicted:  help ; correct:  get ]
quem é você?  [predicted:  help ; correct:  saymyname ]
boa tarde  [predicted:  get ; correct:  greeting ]
Gostaria de retirar  [predicted:  get ; correct:  delete ]
boa noite  [predicted:  get ; correct:  greeting ]
Cadastrar  [predicted:  help ; correct:  add ]
Remover  [predicted:  get ; correct:  delete ]
Gostaria de uma informação  [predicted:  get ; correct:  help ]
Gostaria de registrar  [predicted:  get ; correct:  add ]
Consultar  [predicted:  help ; correct:  get ]
Você não é um robô, você é uma bichona  [predicted:  help ; correct:  bad ]
Quero cadastrar  [predicted:  get ; correct:  add ]
Retirar  [predicted:  get ; correct:  delete ]
Todas  [predicted:  help ; correct:  get ]
De que vc precisa?  [predicted:  get ; correct:  help ]
E aí, quais são minhas opções?  [predicted:  get ; correct:  help ]
deletar  [predicted:  get ; correct:  delete ]
descadastrar  [predicted:  get ; correct:  delete ]
consultar minha encomenda  [predicted:  help ; correct:  get ]
Tudo bem  [predicted:  get ; correct:  ok ]
Gostaria de registrar uma encomenda  [predicted:  get ; correct:  add ]
Burro  [predicted:  get ; correct:  bad ]
bom dia  [predicted:  get ; correct:  greeting ]
Boa tarde então  [predicted:  get ; correct:  greeting ]
SCORE:  4 / 30  ( 0.13333333333333333 )
sair  [predicted:  get ; correct:  cancel ]
Como eu faço?  [predicted:  get ; correct:  help ]
tchau  [predicted:  get ; correct:  bye ]
Posso cadastrar encomendas de outros países?  [predicted:  add ; correct:  help ]
Cadastro  [predicted:  get ; correct:  add ]
Quero cadastrar  [predicted:  get ; correct:  add ]
Encomenda  [predicted:  help ; correct:  get ]
tenha um bom dia  [predicted:  get ; correct:  greeting ]
Listar  [predicted:  help ; correct:  get ]
Você não é um robô, você é uma bichona  [predicted:  help ; correct:  bad ]
bom dia  [predicted:  get ; correct:  greeting ]
Como faço para rastrear a encomenda?  [predicted:  get ; correct:  help ]
Como faço para cadastrar uma encomenda?  [predicted:  get ; correct:  help ]
Gostaria de registrar uma encomenda  [predicted:  get ; correct:  add ]
Cadastrar encomenda  [predicted:  get ; correct:  add ]
Eu quero cadastrar uma encomenda  [predicted:  get ; correct:  add ]
Burro  [predicted:  help ; correct:  bad ]
Gostaria de registrar  [predicted:  get ; correct:  add ]
quem é você?  [predicted:  help ; correct:  saymyname ]
Cadastrar  [predicted:  get ; correct:  add ]
Cadastro de código  [predicted:  get ; correct:  add ]
SCORE:  9 / 30  ( 0.3 )
Gostaria de fazer um rastreamento  [predicted:  get ; correct:  add ]
Registrar  [predicted:  get ; correct:  add ]
Gostaria de fazer um cadastro  [predicted:  get ; correct:  add ]
Cadastro  [predicted:  get ; correct:  add ]
Como cadastrar um objeto?  [predicted:  get ; correct:  help ]
Remover  [predicted:  get ; correct:  delete ]
Cadastrar encomenda  [predicted:  get ; correct:  add ]
Eu quero cadastrar uma encomenda  [predicted:  get ; correct:  add ]
Consultar  [predicted:  help ; correct:  get ]
Gostaria de rastrear um objeto agora  [predicted:  get ; correct:  add ]
Cadastro de código  [predicted:  get ; correct:  add ]
Informação  [predicted:  get ; correct:  help ]
sai  [predicted:  get ; correct:  cancel ]
De que vc precisa?  [predicted:  get ; correct:  help ]
oi  [predicted:  get ; correct:  welcome ]
Como cadastrar um código  [predicted:  get ; correct:  help ]
Obrigado  [predicted:  get ; correct:  thanks ]
Já se moveu?  [predicted:  help ; correct:  get ]
Como cadastrar uma encomenda?  [predicted:  get ; correct:  help ]
Retirar  [predicted:  get ; correct:  delete ]
Obrigada  [predicted:  get ; correct:  thanks ]
Registrar uma encomenda  [predicted:  get ; correct:  add ]
consultar minha encomenda  [predicted:  help ; correct:  get ]
SCORE:  7 / 30  ( 0.23333333333333334 )
Burro  [predicted:  get ; correct:  bad ]
Quero registrar uma encomenda  [predicted:  get ; correct:  add ]
Até logo  [predicted:  get ; correct:  bye ]
Cadastro de código  [predicted:  get ; correct:  add ]
consultar minha encomenda  [predicted:  help ; correct:  get ]
Posso cadastrar encomendas de outros países?  [predicted:  get ; correct:  help ]
Cadastrar encomenda  [predicted:  help ; correct:  add ]
bom dia  [predicted:  get ; correct:  greeting ]
Até mais  [predicted:  get ; correct:  bye ]
Boa tarde então  [predicted:  get ; correct:  greeting ]
Gostaria de registrar uma encomenda  [predicted:  get ; correct:  add ]
Cadastrar  [predicted:  get ; correct:  add ]
Gostaria de registrar  [predicted:  get ; correct:  add ]
De que vc precisa?  [predicted:  get ; correct:  help ]
Listar comandos  [predicted:  get ; correct:  help ]
boa tarde  [predicted:  get ; correct:  greeting ]
Cadastro  [predicted:  get ; correct:  add ]
boa noite  [predicted:  get ; correct:  greeting ]
Me ajuda  [predicted:  get ; correct:  help ]
adicionar um novo pacote  [predicted:  get ; correct:  add ]
SCORE:  10 / 30  ( 0.3333333333333333 )
sair  [predicted:  help ; correct:  cancel ]
Cadastro  [predicted:  help ; correct:  add ]
Cadastrar encomenda  [predicted:  help ; correct:  add ]
Quero ver meus produtos  [predicted:  help ; correct:  get ]
Onde esta a minha encomenda  [predicted:  help ; correct:  get ]
Ótimo!  [predicted:  help ; correct:  ok ]
Cadastro de código  [predicted:  help ; correct:  add ]
adeus  [predicted:  help ; correct:  bye ]
Apagar  [predicted:  get ; correct:  delete ]
Beleza  [predicted:  get ; correct:  ok ]
tchau  [predicted:  help ; correct:  bye ]
adicionar  [predicted:  help ; correct:  add ]
adicionar um novo pacote  [predicted:  help ; correct:  add ]
Registrar uma encomenda  [predicted:  get ; correct:  add ]
adicionar objeto  [predicted:  help ; correct:  add ]
Até mais  [predicted:  help ; correct:  bye ]
Registrar  [predicted:  get ; correct:  add ]
tenha um bom dia  [predicted:  get ; correct:  greeting ]
pacote  [predicted:  get ; correct:  add ]
onde está minha encomenda?  [predicted:  help ; correct:  get ]
Até logo  [predicted:  help ; correct:  bye ]
SCORE:  9 / 30  ( 0.3 )
Como cadastra a encomenda  [predicted:  get ; correct:  help ]
E aí, quais são minhas opções?  [predicted:  get ; correct:  help ]
descadastrar  [predicted:  get ; correct:  delete ]
Quais encomenda você rastreia  [predicted:  get ; correct:  help ]
Gostaria de rastrear um objeto agora  [predicted:  get ; correct:  add ]
Como cadastra?  [predicted:  get ; correct:  help ]
Listar comandos  [predicted:  get ; correct:  help ]
Informação  [predicted:  get ; correct:  help ]
Gostaria de fazer um rastreamento  [predicted:  get ; correct:  add ]
Gostaria de fazer um cadastro  [predicted:  get ; correct:  add ]
Muito obrigada  [predicted:  get ; correct:  thanks ]
Cadastrar uma nova encomenda  [predicted:  get ; correct:  add ]
Como cadastro?  [predicted:  get ; correct:  help ]
Como cadastro uma encomenda?  [predicted:  get ; correct:  help ]
deletar  [predicted:  get ; correct:  delete ]
Como cadastro minha encomenda?  [predicted:  get ; correct:  help ]
Quero registrar uma encomenda  [predicted:  get ; correct:  add ]
Posso cadastrar encomendas de outros países?  [predicted:  add ; correct:  help ]
Me ajuda  [predicted:  get ; correct:  help ]
Como?  [predicted:  get ; correct:  help ]
SCORE:  10 / 30  ( 0.3333333333333333 )
Como cadastrar um objeto?  [predicted:  get ; correct:  help ]
Cadastrar uma nova encomenda  [predicted:  get ; correct:  add ]
Remover  [predicted:  get ; correct:  delete ]
E aí, quais são minhas opções?  [predicted:  get ; correct:  help ]
como voce me atualiza sobre minha encomenda?  [predicted:  get ; correct:  help ]
descadastrar  [predicted:  get ; correct:  delete ]
Eu quero cadastrar uma encomenda  [predicted:  get ; correct:  add ]
Como cadastrar um código  [predicted:  get ; correct:  help ]
sai  [predicted:  get ; correct:  cancel ]
Muito obrigado  [predicted:  get ; correct:  thanks ]
Como cadastro?  [predicted:  get ; correct:  help ]
para  [predicted:  get ; correct:  cancel ]
parar  [predicted:  get ; correct:  cancel ]
Como você funciona  [predicted:  get ; correct:  help ]
Como cadastro uma encomenda?  [predicted:  get ; correct:  help ]
Como cadastrar uma encomenda?  [predicted:  get ; correct:  help ]
como sou notificado sobre minha encomenda?  [predicted:  get ; correct:  help ]
palavrão você entende né filho da puta  [predicted:  get ; correct:  bad ]
como sou avisado sobre minha encomenda?  [predicted:  get ; correct:  help ]
deletar  [predicted:  get ; correct:  delete ]
Como sei onde está a minha encomenda?  [predicted:  get ; correct:  help ]
Não possuo encomenda em trânsito  [predicted:  get ; correct:  cancel ]
Como cadastro minha encomenda?  [predicted:  get ; correct:  help ]
Não  [predicted:  get ; correct:  cancel ]
Retirar  [predicted:  get ; correct:  delete ]
SCORE:  5 / 30  ( 0.16666666666666666 )
Quero saber onde está minha encomenda  [predicted:  help ; correct:  get ]
Quero registrar uma encomenda  [predicted:  get ; correct:  add ]
Cadastrar  [predicted:  get ; correct:  add ]
Burro  [predicted:  get ; correct:  bad ]
caralho  [predicted:  get ; correct:  bad ]
boa noite  [predicted:  get ; correct:  greeting ]
cancela  [predicted:  get ; correct:  cancel ]
Como faço pra cadastrar alguma encomenda?  [predicted:  get ; correct:  help ]
De que vc precisa?  [predicted:  get ; correct:  help ]
Quero saber onde minha encomenda está  [predicted:  help ; correct:  get ]
consultar minha encomenda  [predicted:  help ; correct:  get ]
boa tarde  [predicted:  get ; correct:  greeting ]
como pode me ajudar  [predicted:  get ; correct:  help ]
bom dia  [predicted:  get ; correct:  greeting ]
Quero cadastrar uma encomenda, pode ser?  [predicted:  help ; correct:  add ]
Gostaria de registrar  [predicted:  get ; correct:  add ]
Quero cadastrar um código de rastreio  [predicted:  get ; correct:  add ]
Posso cadastrar encomendas de outros países?  [predicted:  get ; correct:  help ]
Como funciona  [predicted:  get ; correct:  help ]
Gostaria de registrar uma encomenda  [predicted:  get ; correct:  add ]
Quero cadastrar uma encomenda  [predicted:  get ; correct:  add ]
cancelar  [predicted:  get ; correct:  cancel ]
Boa tarde então  [predicted:  get ; correct:  greeting ]
SCORE:  7 / 30  ( 0.23333333333333334 )
Cadastrar uma nova encomenda  [predicted:  help ; correct:  add ]
palavrão você entende né filho da puta  [predicted:  get ; correct:  bad ]
para  [predicted:  get ; correct:  cancel ]
Obrigado  [predicted:  get ; correct:  thanks ]
bom dia  [predicted:  get ; correct:  greeting ]
Onde aparece esse código de 13 dígitos?  [predicted:  get ; correct:  help ]
o que eu devo fazer?  [predicted:  get ; correct:  help ]
oi  [predicted:  get ; correct:  welcome ]
Novo pacote  [predicted:  get ; correct:  add ]
Novo  [predicted:  get ; correct:  add ]
parar  [predicted:  get ; correct:  cancel ]
quem é você?  [predicted:  get ; correct:  saymyname ]
Obrigada  [predicted:  help ; correct:  thanks ]
Você não é um robô, você é uma bichona  [predicted:  help ; correct:  bad ]
Eu quero cadastrar uma encomenda  [predicted:  get ; correct:  add ]
Cadastrar  [predicted:  help ; correct:  add ]
Quero cadastrar  [predicted:  get ; correct:  add ]
Burro  [predicted:  get ; correct:  bad ]
SCORE:  12 / 30  ( 0.4 )
cadê minha encomenda  [predicted:  help ; correct:  get ]
