oi  [predicted:  help ; correct:  welcome ]
Como faço pra cadastrar alguma encomenda?  [predicted:  get ; correct:  help ]
Gostaria de registrar  [predicted:  get ; correct:  add ]
Olá  [predicted:  get ; correct:  welcome ]
bom dia  [predicted:  get ; correct:  greeting ]
Como faço para cadastrar uma encomenda?  [predicted:  get ; correct:  help ]
Você não é um robô, você é uma bichona  [predicted:  help ; correct:  bad ]
Muito obrigada  [predicted:  get ; correct:  thanks ]
Você pode me explicar como cadastrar?  [predicted:  get ; correct:  help ]
como pode me ajudar  [predicted:  get ; correct:  help ]
Como eu faço?  [predicted:  get ; correct:  help ]
Me ajuda  [predicted:  get ; correct:  help ]
Como funciona  [predicted:  get ; correct:  help ]
SCORE:  10 / 30  ( 0.3333333333333333 )
Olá, gostaria de rastrear um objeto  [predicted:  add ; correct:  get ]
Registrar  [predicted:  get ; correct:  add ]
tchau  [predicted:  get ; correct:  bye ]
Onde aparece esse código de 13 dígitos?  [predicted:  get ; correct:  help ]
sair  [predicted:  get ; correct:  cancel ]
Registrar uma encomenda  [predicted:  get ; correct:  add ]
Quero cadastrar  [predicted:  get ; correct:  add ]
Como cadastro uma encomenda?  [predicted:  get ; correct:  help ]
Tudo bem  [predicted:  get ; correct:  ok ]
quem é você?  [predicted:  help ; correct:  saymyname ]
Como cadastra?  [predicted:  get ; correct:  help ]
tenha um bom dia  [predicted:  get ; correct:  greeting ]
Como cadastro?  [predicted:  get ; correct:  help ]
Você não é um robô, você é uma bichona  [predicted:  help ; correct:  bad ]
Como cadastro minha encomenda?  [predicted:  get ; correct:  help ]
Você pode rastrear um objeto para mim?  [predicted:  help ; correct:  get ]
Como?  [predicted:  get ; correct:  help ]
Como cadastra a encomenda  [predicted:  get ; correct:  help ]
SCORE:  12 / 30  ( 0.4 )
pacote  [predicted:  get ; correct:  add ]
O que você sabe fazer ?  [predicted:  get ; correct:  help ]
Me ajuda  [predicted:  get ; correct:  help ]
Como cadastrar uma encomenda?  [predicted:  get ; correct:  help ]
Gostaria de registrar uma encomenda  [predicted:  get ; correct:  add ]
Obrigada  [predicted:  get ; correct:  thanks ]
Quero registrar uma encomenda  [predicted:  get ; correct:  add ]
Como cadastrar um código  [predicted:  get ; correct:  help ]
Gostaria de registrar  [predicted:  get ; correct:  add ]
Registrar uma encomenda  [predicted:  get ; correct:  add ]
Listar comandos  [predicted:  get ; correct:  help ]
E aí, quais são minhas opções?  [predicted:  get ; correct:  help ]
descadastrar  [predicted:  get ; correct:  delete ]
Registrar  [predicted:  get ; correct:  add ]
Como cadastrar um objeto?  [predicted:  get ; correct:  help ]
oi  [predicted:  get ; correct:  welcome ]
Cadastrar uma nova encomenda  [predicted:  get ; correct:  add ]
Ótimo!  [predicted:  get ; correct:  ok ]
Eu quero cadastrar uma encomenda  [predicted:  get ; correct:  add ]
Obrigado  [predicted:  get ; correct:  thanks ]
deletar  [predicted:  get ; correct:  delete ]
SCORE:  9 / 30  ( 0.3 )
como pode me ajudar  [predicted:  get ; correct:  help ]
Ótimo!  [predicted:  get ; correct:  ok ]
Como funciona  [predicted:  get ; correct:  help ]
Gostaria de rastrear um objeto agora  [predicted:  get ; correct:  add ]
Quero cadastrar uma encomenda  [predicted:  get ; correct:  add ]
Gostaria de fazer um cadastro  [predicted:  get ; correct:  add ]
Gostaria de fazer um rastreamento  [predicted:  get ; correct:  add ]
tchau  [predicted:  get ; correct:  bye ]
Onde aparece esse código de 13 dígitos?  [predicted:  get ; correct:  help ]
Eu quero cadastrar uma encomenda  [predicted:  get ; correct:  add ]
Quero cadastrar uma encomenda, pode ser?  [predicted:  get ; correct:  add ]
Quero cadastrar um código de rastreio  [predicted:  get ; correct:  add ]
como voce me atualiza sobre minha encomenda?  [predicted:  get ; correct:  help ]
pacote  [predicted:  get ; correct:  add ]
tenha um bom dia  [predicted:  get ; correct:  greeting ]
O que você sabe fazer ?  [predicted:  get ; correct:  help ]
sair  [predicted:  get ; correct:  cancel ]
Como você funciona  [predicted:  get ; correct:  help ]
SCORE:  12 / 30  ( 0.4 )
Burro  [predicted:  get ; correct:  bad ]
Como cadastro minha encomenda?  [predicted:  get ; correct:  help ]
Quero registrar uma encomenda  [predicted:  get ; correct:  add ]
para  [predicted:  get ; correct:  cancel ]
adicionar um novo pacote  [predicted:  get ; correct:  add ]
Gostaria de registrar  [predicted:  get ; correct:  add ]
Até mais  [predicted:  get ; correct:  bye ]
Até logo  [predicted:  get ; correct:  bye ]
Beleza  [predicted:  get ; correct:  ok ]
Me ajuda  [predicted:  get ; correct:  help ]
Muito obrigada  [predicted:  get ; correct:  thanks ]
Você não é um robô, você é uma bichona  [predicted:  help ; correct:  bad ]
palavrão você entende né filho da puta  [predicted:  help ; correct:  bad ]
Como cadastro uma encomenda?  [predicted:  get ; correct:  help ]
Cadastrar  [predicted:  get ; correct:  add ]
Como cadastro?  [predicted:  get ; correct:  help ]
bom dia  [predicted:  get ; correct:  greeting ]
Ajuda  [predicted:  get ; correct:  help ]
parar  [predicted:  get ; correct:  cancel ]
Apagar  [predicted:  get ; correct:  delete ]
Listar comandos  [predicted:  get ; correct:  help ]
Gostaria de registrar uma encomenda  [predicted:  get ; correct:  add ]
SCORE:  8 / 30  ( 0.26666666666666666 )
Gostaria de rastrear um objeto agora  [predicted:  get ; correct:  add ]
Obrigado  [predicted:  get ; correct:  thanks ]
ok  [predicted:  get ; correct:  ok ]
Gostaria de uma informação  [predicted:  get ; correct:  help ]
Olá  [predicted:  get ; correct:  welcome ]
cancelar  [predicted:  get ; correct:  cancel ]
deletar  [predicted:  get ; correct:  delete ]
Como cadastra a encomenda  [predicted:  get ; correct:  help ]
E aí, quais são minhas opções?  [predicted:  get ; correct:  help ]
adicionar objeto  [predicted:  get ; correct:  add ]
Como cadastra?  [predicted:  get ; correct:  help ]
adeus  [predicted:  get ; correct:  bye ]
Gostaria de retirar uma encomenda  [predicted:  get ; correct:  delete ]
oi  [predicted:  get ; correct:  welcome ]
Até mais  [predicted:  get ; correct:  bye ]
Gostaria de retirar  [predicted:  get ; correct:  delete ]
caralho  [predicted:  get ; correct:  bad ]
Ajuda  [predicted:  get ; correct:  help ]
Obrigada  [predicted:  get ; correct:  thanks ]
adicionar um novo pacote  [predicted:  get ; correct:  add ]
Apagar  [predicted:  get ; correct:  delete ]
Olá robô  [predicted:  get ; correct:  welcome ]
Gostaria de fazer um rastreamento  [predicted:  get ; correct:  add ]
Como?  [predicted:  get ; correct:  help ]
descadastrar  [predicted:  get ; correct:  delete ]
Até logo  [predicted:  get ; correct:  bye ]
Beleza  [predicted:  get ; correct:  ok ]
adicionar  [predicted:  get ; correct:  add ]
cancela  [predicted:  get ; correct:  cancel ]
Gostaria de fazer um cadastro  [predicted:  get ; correct:  add ]
SCORE:  0 / 30  ( 0.0 )
para  [predicted:  get ; correct:  cancel ]
Ajuda  [predicted:  get ; correct:  help ]
Quero cadastrar  [predicted:  help ; correct:  add ]
parar  [predicted:  get ; correct:  cancel ]
Como sei onde está a minha encomenda?  [predicted:  get ; correct:  help ]
Tudo bem, tchau  [predicted:  get ; correct:  bye ]
Vai tomar no cu  [predicted:  get ; correct:  bad ]
onde eu insiro o código de rastreio?  [predicted:  get ; correct:  help ]
Gostaria de retirar  [predicted:  help ; correct:  delete ]
Cadastrar uma nova encomenda  [predicted:  help ; correct:  add ]
palavrão você entende né filho da puta  [predicted:  help ; correct:  bad ]
quem é você?  [predicted:  help ; correct:  saymyname ]
cadê  [predicted:  help ; correct:  get ]
Gostaria de retirar uma encomenda  [predicted:  help ; correct:  delete ]
Beleza  [predicted:  get ; correct:  ok ]
Apagar  [predicted:  get ; correct:  delete ]
SCORE:  14 / 30  ( 0.4666666666666667 )
quem é você?  [predicted:  help ; correct:  saymyname ]
boa noite  [predicted:  get ; correct:  greeting ]
Boa tarde então  [predicted:  get ; correct:  greeting ]
cadê minha encomenda  [predicted:  help ; correct:  get ]
Não  [predicted:  help ; correct:  cancel ]
Cadastrar uma nova encomenda  [predicted:  help ; correct:  add ]
parar  [predicted:  help ; correct:  cancel ]
tchau  [predicted:  help ; correct:  bye ]
Olá robô  [predicted:  help ; correct:  welcome ]
onde eu insiro o código de rastreio?  [predicted:  get ; correct:  help ]
Olá  [predicted:  help ; correct:  welcome ]
Muito obrigado  [predicted:  help ; correct:  thanks ]
sair  [predicted:  get ; correct:  cancel ]
Eu quero cadastrar uma encomenda  [predicted:  help ; correct:  add ]
boa tarde  [predicted:  get ; correct:  greeting ]
Não possuo encomenda em trânsito  [predicted:  help ; correct:  cancel ]
tenha um bom dia  [predicted:  get ; correct:  greeting ]
palavrão você entende né filho da puta  [predicted:  help ; correct:  bad ]
Quero cadastrar  [predicted:  help ; correct:  add ]
De que vc precisa?  [predicted:  get ; correct:  help ]
cadê  [predicted:  help ; correct:  get ]
para  [predicted:  help ; correct:  cancel ]
ok  [predicted:  help ; correct:  ok ]
SCORE:  7 / 30  ( 0.23333333333333334 )
palavrão você entende né filho da puta  [predicted:  get ; correct:  bad ]
Gostaria de fazer um rastreamento  [predicted:  get ; correct:  add ]
Gostaria de retirar uma encomenda  [predicted:  get ; correct:  delete ]
Como?  [predicted:  get ; correct:  help ]
Posso cadastrar encomendas de outros países?  [predicted:  get ; correct:  help ]
Como cadastrar um código  [predicted:  get ; correct:  help ]
para  [predicted:  get ; correct:  cancel ]
Como cadastrar um objeto?  [predicted:  get ; correct:  help ]
Registrar  [predicted:  get ; correct:  add ]
Como você funciona  [predicted:  get ; correct:  help ]
bom dia  [predicted:  get ; correct:  greeting ]
Gostaria de retirar  [predicted:  get ; correct:  delete ]
Cadastrar  [predicted:  get ; correct:  add ]
Gostaria de fazer um cadastro  [predicted:  get ; correct:  add ]
Gostaria de rastrear um objeto agora  [predicted:  get ; correct:  add ]
Como cadastra?  [predicted:  get ; correct:  help ]
Burro  [predicted:  get ; correct:  bad ]
Registrar uma encomenda  [predicted:  get ; correct:  add ]
parar  [predicted:  get ; correct:  cancel ]
Obrigado  [predicted:  get ; correct:  thanks ]
Como cadastra a encomenda  [predicted:  get ; correct:  help ]
Como cadastrar uma encomenda?  [predicted:  get ; correct:  help ]
como voce me atualiza sobre minha encomenda?  [predicted:  get ; correct:  help ]
oi  [predicted:  get ; correct:  welcome ]
Gostaria de uma informação  [predicted:  get ; correct:  help ]
Quais encomenda você rastreia  [predicted:  get ; correct:  help ]
Obrigada  [predicted:  get ; correct:  thanks ]
SCORE:  3 / 30  ( 0.1 )
Gostaria de registrar  [predicted:  help ; correct:  add ]
Como sei onde está a minha encomenda?  [predicted:  get ; correct:  help ]
cadê minha encomenda  [predicted:  help ; correct:  get ]
Todas  [predicted:  help ; correct:  get ]
Listar comandos  [predicted:  get ; correct:  help ]
Tudo bem  [predicted:  help ; correct:  ok ]
cadê  [predicted:  help ; correct:  get ]
Ajuda  [predicted:  get ; correct:  help ]
Meus objetos  [predicted:  help ; correct:  get ]
gostaria de procurar um objeto  [predicted:  help ; correct:  get ]
Cadastrar uma nova encomenda  [predicted:  help ; correct:  add ]
Gostaria de fazer um rastreamento  [predicted:  help ; correct:  add ]
Gostaria de registrar uma encomenda  [predicted:  help ; correct:  add ]
Já cadastrou?  [predicted:  help ; correct:  get ]
Gostaria de fazer um cadastro  [predicted:  help ; correct:  add ]
Me ajuda  [predicted:  get ; correct:  help ]
Muito obrigada  [predicted:  help ; correct:  thanks ]
Gostaria de rastrear um objeto agora  [predicted:  help ; correct:  add ]
Meus itens  [predicted:  help ; correct:  get ]
Beleza  [predicted:  get ; correct:  ok ]
Apagar  [predicted:  get ; correct:  delete ]
SCORE:  9 / 30  ( 0.3 )
favor cadastrar o codigo de rastreio  [predicted:  help ; correct:  add ]
Olá robô  [predicted:  get ; correct:  welcome ]
descadastrar  [predicted:  get ; correct:  delete ]
Qual seu nome ?  [predicted:  get ; correct:  saymyname ]
bom dia  [predicted:  get ; correct:  greeting ]
ok  [predicted:  get ; correct:  ok ]
tchau  [predicted:  get ; correct:  bye ]
Olá  [predicted:  get ; correct:  welcome ]
Como funciona  [predicted:  get ; correct:  help ]
Muito obrigada  [predicted:  get ; correct:  thanks ]
Burro  [predicted:  get ; correct:  bad ]
como pode me ajudar  [predicted:  get ; correct:  help ]
Cadastrar  [predicted:  get ; correct:  add ]
tenha um bom dia  [predicted:  get ; correct:  greeting ]
deletar  [predicted:  get ; correct:  delete ]
Qual o seu nome ?  [predicted:  get ; correct:  saymyname ]
De que vc precisa?  [predicted:  get ; correct:  help ]
Gostaria de Rastrear um objeto  [predicted:  get ; correct:  add ]
E aí, quais são minhas opções?  [predicted:  get ; correct:  help ]
gostaria de cadastrar uma encomenda  [predicted:  help ; correct:  add ]
sair  [predicted:  get ; correct:  cancel ]
SCORE:  9 / 30  ( 0.3 )
Quero registrar uma encomenda  [predicted:  help ; correct:  add ]
Qual o seu nome ?  [predicted:  help ; correct:  saymyname ]
adicionar  [predicted:  help ; correct:  add ]
Já cadastrou?  [predicted:  help ; correct:  get ]
ok  [predicted:  help ; correct:  ok ]
Olá  [predicted:  help ; correct:  welcome ]
Olá robô  [predicted:  help ; correct:  welcome ]
Rastrear encomenda  [predicted:  help ; correct:  get ]
Até mais  [predicted:  help ; correct:  bye ]
Gostaria de registrar  [predicted:  help ; correct:  add ]
Até logo  [predicted:  help ; correct:  bye ]
Quero ver meus produtos  [predicted:  help ; correct:  get ]
Burro  [predicted:  help ; correct:  bad ]
qual a situação da minha encomenda?  [predicted:  help ; correct:  get ]
adeus  [predicted:  help ; correct:  bye ]
bom dia  [predicted:  help ; correct:  greeting ]
quem é você?  [predicted:  help ; correct:  saymyname ]
Quero cadastrar  [predicted:  help ; correct:  add ]
adicionar objeto  [predicted:  help ; correct:  add ]
Já se moveu?  [predicted:  help ; correct:  get ]
adicionar um novo pacote  [predicted:  help ; correct:  add ]
gostaria de procurar um objeto  [predicted:  help ; correct:  get ]
Qual seu nome ?  [predicted:  help ; correct:  saymyname ]
Cadastrar  [predicted:  help ; correct:  add ]
Gostaria de registrar uma encomenda  [predicted:  help ; correct:  add ]
Rastrear  [predicted:  help ; correct:  get ]
SCORE:  4 / 30  ( 0.13333333333333333 )
Quero registrar uma encomenda  [predicted:  get ; correct:  add ]
descadastrar  [predicted:  get ; correct:  delete ]
Muito obrigado  [predicted:  get ; correct:  thanks ]
Ajuda  [predicted:  get ; correct:  help ]
Não possuo encomenda em trânsito  [predicted:  get ; correct:  cancel ]
Apagar  [predicted:  get ; correct:  delete ]
tchau  [predicted:  get ; correct:  bye ]
Posso cadastrar encomendas de outros países?  [predicted:  get ; correct:  help ]
deletar  [predicted:  get ; correct:  delete ]
E aí, quais são minhas opções?  [predicted:  get ; correct:  help ]
Quero cadastrar um código de rastreio  [predicted:  get ; correct:  add ]
Não  [predicted:  get ; correct:  cancel ]
Informação  [predicted:  get ; correct:  help ]
Quero cadastrar uma encomenda  [predicted:  get ; correct:  add ]
sair  [predicted:  get ; correct:  cancel ]
tenha um bom dia  [predicted:  get ; correct:  greeting ]
adicionar  [predicted:  get ; correct:  add ]
adicionar objeto  [predicted:  get ; correct:  add ]
Quais encomenda você rastreia  [predicted:  get ; correct:  help ]
Cadastrar uma nova encomenda  [predicted:  get ; correct:  add ]
adeus  [predicted:  get ; correct:  bye ]
Quero cadastrar uma encomenda, pode ser?  [predicted:  get ; correct:  add ]
Beleza  [predicted:  get ; correct:  ok ]
SCORE:  7 / 30  ( 0.23333333333333334 )
Cadastrar encomenda  [predicted:  get ; correct:  add ]
descadastrar  [predicted:  get ; correct:  delete ]
Gostaria de retirar  [predicted:  get ; correct:  delete ]
Gostaria de Rastrear um objeto  [predicted:  get ; correct:  add ]
como voce me atualiza sobre minha encomenda?  [predicted:  get ; correct:  help ]
Ajuda  [predicted:  get ; correct:  help ]
Registrar  [predicted:  get ; correct:  add ]
adicionar objeto  [predicted:  get ; correct:  add ]
onde eu insiro o código de rastreio?  [predicted:  get ; correct:  help ]
Beleza  [predicted:  get ; correct:  ok ]
deletar  [predicted:  get ; correct:  delete ]
Cadastro  [predicted:  get ; correct:  add ]
favor cadastrar o codigo de rastreio  [predicted:  get ; correct:  add ]
Cadastro de código  [predicted:  get ; correct:  add ]
adicionar  [predicted:  get ; correct:  add ]
gostaria de cadastrar uma encomenda  [predicted:  get ; correct:  add ]
quem é você?  [predicted:  get ; correct:  saymyname ]
adeus  [predicted:  get ; correct:  bye ]
E aí, quais são minhas opções?  [predicted:  get ; correct:  help ]
Apagar  [predicted:  get ; correct:  delete ]
Gostaria de retirar uma encomenda  [predicted:  get ; correct:  delete ]
Quero cadastrar  [predicted:  get ; correct:  add ]
Gostaria de uma informação  [predicted:  get ; correct:  help ]
Como você funciona  [predicted:  get ; correct:  help ]
Registrar uma encomenda  [predicted:  get ; correct:  add ]
SCORE:  5 / 30  ( 0.16666666666666666 )
ok  [predicted:  help ; correct:  ok ]
Tudo bem  [predicted:  get ; correct:  ok ]
Ótimo!  [predicted:  get ; correct:  ok ]
como sou avisado sobre minha encomenda?  [predicted:  get ; correct:  help ]
Como sei onde está a minha encomenda?  [predicted:  get ; correct:  help ]
como sou notificado sobre minha encomenda?  [predicted:  get ; correct:  help ]
Cadastrar uma nova encomenda  [predicted:  help ; correct:  add ]
Como faço para rastrear a encomenda?  [predicted:  get ; correct:  help ]
palavrão você entende né filho da puta  [predicted:  help ; correct:  bad ]
Como faço para cadastrar uma encomenda?  [predicted:  get ; correct:  help ]
Quero registrar uma encomenda  [predicted:  get ; correct:  add ]
Onde aparece esse código de 13 dígitos?  [predicted:  get ; correct:  help ]
parar  [predicted:  get ; correct:  cancel ]
Como eu faço?  [predicted:  get ; correct:  help ]
para  [predicted:  get ; correct:  cancel ]
Muito obrigada  [predicted:  get ; correct:  thanks ]
Olá robô  [predicted:  get ; correct:  welcome ]
pacote  [predicted:  get ; correct:  add ]
Olá  [predicted:  get ; correct:  welcome ]
SCORE:  11 / 30  ( 0.36666666666666664 )
Não  [predicted:  get ; correct:  cancel ]
Gostaria de registrar  [predicted:  get ; correct:  add ]
E aí, quais são minhas opções?  [predicted:  get ; correct:  help ]
Como cadastro?  [predicted:  get ; correct:  help ]
Não possuo encomenda em trânsito  [predicted:  get ; correct:  cancel ]
como voce me atualiza sobre minha encomenda?  [predicted:  get ; correct:  help ]
descadastrar  [predicted:  get ; correct:  delete ]
tchau  [predicted:  get ; correct:  bye ]
Você não é um robô, você é uma bichona  [predicted:  help ; correct:  bad ]
quem é você?  [predicted:  get ; correct:  saymyname ]
Qual seu nome ?  [predicted:  get ; correct:  saymyname ]
Como cadastro minha encomenda?  [predicted:  get ; correct:  help ]
Como você funciona  [predicted:  get ; correct:  help ]
Quero cadastrar  [predicted:  get ; correct:  add ]
Cadastrar uma nova encomenda  [predicted:  get ; correct:  add ]
Como cadastro uma encomenda?  [predicted:  get ; correct:  help ]
tenha um bom dia  [predicted:  get ; correct:  greeting ]
Muito obrigado  [predicted:  get ; correct:  thanks ]
sair  [predicted:  get ; correct:  cancel ]
deletar  [predicted:  get ; correct:  delete ]
Qual o seu nome ?  [predicted:  get ; correct:  saymyname ]
Gostaria de registrar uma encomenda  [predicted:  get ; correct:  add ]
SCORE:  8 / 30  ( 0.26666666666666666 )
Olá robô  [predicted:  get ; correct:  welcome ]
ok  [predicted:  get ; correct:  ok ]
Novo pacote  [predicted:  get ; correct:  add ]
E aí, quais são minhas opções?  [predicted:  get ; correct:  help ]
Novo  [predicted:  get ; correct:  add ]
o que eu devo fazer?  [predicted:  get ; correct:  help ]
Como cadastro?  [predicted:  get ; correct:  help ]
deletar  [predicted:  get ; correct:  delete ]
adicionar um novo pacote  [predicted:  get ; correct:  add ]
Como faço para cadastrar uma encomenda?  [predicted:  get ; correct:  help ]
Como faço para rastrear a encomenda?  [predicted:  get ; correct:  help ]
Como cadastro uma encomenda?  [predicted:  get ; correct:  help ]
De que vc precisa?  [predicted:  get ; correct:  help ]
Até mais  [predicted:  get ; correct:  bye ]
Cadastrar  [predicted:  get ; correct:  add ]
Olá  [predicted:  get ; correct:  welcome ]
Como eu faço?  [predicted:  get ; correct:  help ]
descadastrar  [predicted:  get ; correct:  delete ]
bom dia  [predicted:  get ; correct:  greeting ]
Qual seu nome ?  [predicted:  get ; correct:  saymyname ]
Até logo  [predicted:  get ; correct:  bye ]
Burro  [predicted:  get ; correct:  bad ]
Qual o seu nome ?  [predicted:  get ; correct:  saymyname ]
Como cadastro minha encomenda?  [predicted:  get ; correct:  help ]
SCORE:  6 / 30  ( 0.2 )
cancela  [predicted:  get ; correct:  cancel ]
Ajuda  [predicted:  get ; correct:  help ]
caralho  [predicted:  get ; correct:  bad ]
Gostaria de retirar  [predicted:  get ; correct:  delete ]
Gostaria de retirar uma encomenda  [predicted:  get ; correct:  delete ]
Onde aparece esse código de 13 dígitos?  [predicted:  get ; correct:  help ]
Eu quero cadastrar uma encomenda  [predicted:  get ; correct:  add ]
Remover  [predicted:  get ; correct:  delete ]
Até logo  [predicted:  get ; correct:  bye ]
adicionar um novo pacote  [predicted:  get ; correct:  add ]
Como sei onde está a minha encomenda?  [predicted:  get ; correct:  help ]
Gostaria de uma informação  [predicted:  get ; correct:  help ]
sai  [predicted:  get ; correct:  cancel ]
Beleza  [predicted:  get ; correct:  ok ]
Retirar  [predicted:  get ; correct:  delete ]
Até mais  [predicted:  get ; correct:  bye ]
Apagar  [predicted:  get ; correct:  delete ]
Você não é um robô, você é uma bichona  [predicted:  help ; correct:  bad ]
como sou avisado sobre minha encomenda?  [predicted:  get ; correct:  help ]
cancelar  [predicted:  get ; correct:  cancel ]
como sou notificado sobre minha encomenda?  [predicted:  get ; correct:  help ]
SCORE:  9 / 30  ( 0.3 )
adicionar um novo pacote  [predicted:  get ; correct:  add ]
sair  [predicted:  get ; correct:  cancel ]
Cadastro de código  [predicted:  get ; correct:  add ]
o que eu devo fazer?  [predicted:  get ; correct:  help ]
Obrigada  [predicted:  get ; correct:  thanks ]
Até logo  [predicted:  get ; correct:  bye ]
Como sei onde está a minha encomenda?  [predicted:  get ; correct:  help ]
como sou notificado sobre minha encomenda?  [predicted:  get ; correct:  help ]
tenha um bom dia  [predicted:  get ; correct:  greeting ]
Novo  [predicted:  get ; correct:  add ]
Cadastrar encomenda  [predicted:  get ; correct:  add ]
Burro  [predicted:  get ; correct:  bad ]
Cadastro  [predicted:  get ; correct:  add ]
Me ajuda  [predicted:  get ; correct:  help ]
Obrigado  [predicted:  get ; correct:  thanks ]
oi  [predicted:  get ; correct:  welcome ]
tchau  [predicted:  get ; correct:  bye ]
Quero registrar uma encomenda  [predicted:  get ; correct:  add ]
Até mais  [predicted:  get ; correct:  bye ]
bom dia  [predicted:  get ; correct:  greeting ]
Cadastrar  [predicted:  get ; correct:  add ]
Listar comandos  [predicted:  get ; correct:  help ]
como sou avisado sobre minha encomenda?  [predicted:  get ; correct:  help ]
Novo pacote  [predicted:  get ; correct:  add ]
SCORE:  6 / 30  ( 0.2 )
Como sei onde está a minha encomenda?  [predicted:  get ; correct:  help ]
Tudo bem, tchau  [predicted:  get ; correct:  bye ]
Gostaria de Rastrear um objeto  [predicted:  get ; correct:  add ]
Registrar  [predicted:  get ; correct:  add ]
Ajuda  [predicted:  get ; correct:  help ]
favor cadastrar o codigo de rastreio  [predicted:  help ; correct:  add ]
Registrar uma encomenda  [predicted:  get ; correct:  add ]
Vai tomar no cu  [predicted:  get ; correct:  bad ]
Listar comandos  [predicted:  get ; correct:  help ]
Não possuo encomenda em trânsito  [predicted:  help ; correct:  cancel ]
gostaria de procurar um objeto  [predicted:  help ; correct:  get ]
Me ajuda  [predicted:  get ; correct:  help ]
Muito obrigado  [predicted:  get ; correct:  thanks ]
Tudo bem  [predicted:  get ; correct:  ok ]
Gostaria de registrar uma encomenda  [predicted:  help ; correct:  add ]
Apagar  [predicted:  get ; correct:  delete ]
Informação  [predicted:  get ; correct:  help ]
Gostaria de registrar  [predicted:  help ; correct:  add ]
Não  [predicted:  get ; correct:  cancel ]
gostaria de cadastrar uma encomenda  [predicted:  help ; correct:  add ]
Beleza  [predicted:  get ; correct:  ok ]
SCORE:  9 / 30  ( 0.3 )
Gostaria de Rastrear um objeto  [predicted:  get ; correct:  add ]
para  [predicted:  get ; correct:  cancel ]
Registrar uma encomenda  [predicted:  get ; correct:  add ]
Gostaria de retirar  [predicted:  help ; correct:  delete ]
Gostaria de retirar uma encomenda  [predicted:  help ; correct:  delete ]
palavrão você entende né filho da puta  [predicted:  help ; correct:  bad ]
Cadastrar uma nova encomenda  [predicted:  help ; correct:  add ]
Ajuda  [predicted:  get ; correct:  help ]
parar  [predicted:  get ; correct:  cancel ]
Você não é um robô, você é uma bichona  [predicted:  help ; correct:  bad ]
Gostaria de fazer um rastreamento  [predicted:  get ; correct:  add ]
favor cadastrar o codigo de rastreio  [predicted:  help ; correct:  add ]
Apagar  [predicted:  get ; correct:  delete ]
Registrar  [predicted:  get ; correct:  add ]
Beleza  [predicted:  get ; correct:  ok ]
gostaria de cadastrar uma encomenda  [predicted:  help ; correct:  add ]
Quero registrar uma encomenda  [predicted:  get ; correct:  add ]
Onde aparece esse código de 13 dígitos?  [predicted:  get ; correct:  help ]
Gostaria de rastrear um objeto agora  [predicted:  help ; correct:  add ]
Gostaria de fazer um cadastro  [predicted:  help ; correct:  add ]
Gostaria de uma informação  [predicted:  get ; correct:  help ]
SCORE:  9 / 30  ( 0.3 )
Como eu faço?  [predicted:  get ; correct:  help ]
Me ajuda  [predicted:  get ; correct:  help ]
Posso cadastrar encomendas de outros países?  [predicted:  add ; correct:  help ]
Listar comandos  [predicted:  get ; correct:  help ]
Você pode me explicar como cadastrar?  [predicted:  add ; correct:  help ]
Como cadastra a encomenda  [predicted:  get ; correct:  help ]
Você não é um robô, você é uma bichona  [predicted:  add ; correct:  bad ]
Como faço para cadastrar uma encomenda?  [predicted:  add ; correct:  help ]
Como você funciona  [predicted:  add ; correct:  help ]
Como?  [predicted:  get ; correct:  help ]
sai  [predicted:  get ; correct:  cancel ]
Como faço para rastrear a encomenda?  [predicted:  get ; correct:  help ]
Como faço pra cadastrar alguma encomenda?  [predicted:  get ; correct:  help ]
Como funciona  [predicted:  get ; correct:  help ]
Remover  [predicted:  get ; correct:  delete ]
como pode me ajudar  [predicted:  get ; correct:  help ]
Quero fazer um rastreamento  [predicted:  add ; correct:  get ]
Quais encomenda você rastreia  [predicted:  get ; correct:  help ]
Como cadastra?  [predicted:  get ; correct:  help ]
Retirar  [predicted:  get ; correct:  delete ]
como voce me atualiza sobre minha encomenda?  [predicted:  get ; correct:  help ]
SCORE:  9 / 30  ( 0.3 )
para  [predicted:  get ; correct:  cancel ]
Qual seu nome ?  [predicted:  get ; correct:  saymyname ]
Gostaria de retirar  [predicted:  get ; correct:  delete ]
O que você sabe fazer ?  [predicted:  get ; correct:  help ]
gostaria de cadastrar uma encomenda  [predicted:  get ; correct:  add ]
sai  [predicted:  get ; correct:  cancel ]
Gostaria de retirar uma encomenda  [predicted:  get ; correct:  delete ]
Retirar  [predicted:  get ; correct:  delete ]
Gostaria de uma informação  [predicted:  get ; correct:  help ]
favor cadastrar o codigo de rastreio  [predicted:  get ; correct:  add ]
caralho  [predicted:  get ; correct:  bad ]
adicionar um novo pacote  [predicted:  get ; correct:  add ]
Eu quero cadastrar uma encomenda  [predicted:  get ; correct:  add ]
Gostaria de Rastrear um objeto  [predicted:  get ; correct:  add ]
palavrão você entende né filho da puta  [predicted:  get ; correct:  bad ]
Remover  [predicted:  get ; correct:  delete ]
Até logo  [predicted:  get ; correct:  bye ]
Ótimo!  [predicted:  get ; correct:  ok ]
Cadastrar  [predicted:  get ; correct:  add ]
pacote  [predicted:  get ; correct:  add ]
cancela  [predicted:  get ; correct:  cancel ]
